steps,seed,time,action,state,area,config_id,reward,frame,experiment.update_freq,experiment.checkpoint,compatibility_mode,experiment.step_duration,filepath,environment.zone,environment.path,experiment.image_save_keys,environment,algorithm
110,0,1744385399.1695616,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422535e+09],"[ 67.5     82.875  109.25    76.5625  77.      84.125  100.6875  56.0625
 119.     129.75    82.125   89.0625  50.375   89.125   66.8125  97.
 127.8125  43.      21.75    60.9375  47.5625  54.4375  62.1875  44.0625
  66.1875  90.3125  63.75    52.      22.75    41.3125  46.25    24.5625
  23.8125  59.125   57.8125  52.125 ]",4895702158111329364,-0.12915991938058302,109,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
111,0,1744385401.815502,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.7442254e+09],"[ 65.6875  83.     112.4375  75.1875  78.75    89.6875 103.4375  53.
 118.625  122.1875  83.0625  88.875   52.0625  95.3125  63.1875 101.6875
 124.5625  42.1875  19.625   63.3125  49.9375  54.8125  60.0625  42.375
  65.0625  96.625   61.375   50.8125  24.4375  40.5625  39.8125  21.375
  23.25    60.      58.6875  45.0625]",4895702158111329364,0.0017453529676077152,110,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
112,0,1744385404.1037855,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422546e+09],"[ 64.25    83.     113.125   73.625   78.0625  84.625  104.5625  55.3125
 118.4375 120.5     80.4375  90.5625  48.25    96.1875  58.5     99.5625
 131.      42.75    19.625   65.3125  48.75    55.3125  60.75    42.5625
  65.125   91.8125  42.0625  50.75    24.5625  41.375   44.0625  24.75
  25.875   54.125   58.0625  47.375 ]",4895702158111329364,-0.019779093842429984,111,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
113,0,1744385406.3000188,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422551e+09],"[ 64.125   90.3125 116.625   72.6875  77.1875  78.1875 100.      51.75
 122.375  133.1875  81.75    89.625   48.9375  90.3125  67.4375  98.875
 127.625   41.4375  18.      61.3125  47.4375  54.      59.0625  42.25
  69.8125  86.375   60.375   50.9375  23.4375  37.625   20.25    20.75
  23.125   41.25    56.125   51.6875]",4895702158111329364,-0.0181212552650151,112,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
114,0,1744385408.5051613,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422557e+09],"[ 65.3125  81.875  115.3125  73.8125  76.1875  87.0625 103.0625  54.25
 117.3125 122.875   82.6875  88.75    49.125   91.3125  61.5625 100.1875
 128.      38.6875  16.625   62.4375  48.4375  53.9375  59.5625  43.875
  67.625   97.25    61.25    49.9375  24.      39.75    40.75    22.5625
  24.      42.625   58.4375  43.4375]",4895702158111329364,0.01596406196372796,113,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
115,0,1744385410.706363,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422562e+09],"[ 66.1875  87.875  111.0625  75.1875  79.5625  84.0625  99.25    56.25
 119.1875 124.9375  83.875   86.      47.8125  94.9375  62.3125  97.
 127.25    42.6875  16.4375  61.      46.75    55.6875  56.5625  42.
  60.875   91.1875  60.6875  51.9375  22.1875  39.375   22.1875  21.5
  22.625   43.4375  56.      50.25  ]",4895702158111329364,-0.012036001918065413,114,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
116,0,1744385412.9292333,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422568e+09],"[ 65.6875  87.875  107.25    74.25    76.4375  80.5625  97.5625  54.3125
 119.375  126.625   79.25    88.4375  48.75    83.5     60.875  100.125
 125.5     41.875   17.375   60.      47.      54.3125  56.125   42.625
  64.4375  88.125   45.375   52.5     23.0625  38.875   22.3125  23.5625
  21.      58.25    56.4375  46.6875]",4895702158111329364,-0.015418771216286077,115,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
117,0,1744385415.7169392,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422573e+09],"[ 66.25    81.5    110.375   75.8125  75.875   82.6875 103.125   54.5625
 119.75   125.5625  81.375   82.125   48.625   95.0625  62.375   97.25
 126.3125  37.125   16.      62.3125  46.75    54.      59.375   42.4375
  65.125   93.875   65.5     49.1875  24.0625  38.25    39.625   11.125
  20.875   43.875   55.8125  45.4375]",4895702158111329364,0.017602066944102313,116,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
118,0,1744385418.1574326,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422579e+09],"[ 64.125   79.9375 109.125   74.3125  80.4375  83.375  101.9375  55.4375
 111.875  126.25    81.625   88.875   48.5     91.5     62.      97.5625
 128.9375  40.      16.3125  59.4375  48.0625  51.      58.75    42.3125
  62.1875  97.8125  59.3125  49.25    22.8125  38.4375  21.125   20.9375
  21.4375  60.5625  55.125   48.625 ]",4895702158111329364,-0.001108421553009651,117,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
119,0,1744385420.3262918,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422585e+09],"[ 69.625   84.0625 107.1875  72.25    79.625   81.6875  98.125   54.9375
 119.9375 124.4375  82.4375  84.5625  48.125   87.875   68.625   98.6875
 122.375   39.8125  16.375   59.125   46.5625  54.9375  59.375   43.3125
  60.5625  86.625   59.5625  48.125   22.8125  38.6875  25.9375  20.0625
  21.125   55.8125  55.625   49.1875]",4895702158111329364,-0.005247120515234026,118,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
120,0,1744385422.4161723,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.7442259e+09],"[ 64.625   82.4375 109.625   75.0625  81.1875  89.0625  96.5     54.9375
 122.8125 127.375   79.      83.5     49.5625  88.5625  67.0625  95.375
 122.1875  38.25    15.75    62.625   49.5625  51.875   56.375   41.8125
  61.5     90.0625  58.      50.0625  22.0625  40.75    20.0625  20.0625
  19.5625  55.9375  52.5     45.75  ]",4895702158111329364,-0.005520121300089053,119,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
121,0,1744385424.778396,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422596e+09],"[ 63.375   83.375  110.25    75.125   75.3125  87.75    97.      52.4375
 120.625  119.625   83.125   84.9375  48.0625  91.875   60.5625  97.4375
 122.5625  39.5625  17.5     60.      44.875   52.875   54.3125  41.4375
  64.5     94.6875  58.6875  50.6875  22.6875  39.625   20.375   21.3125
  21.25    55.25    53.9375  45.3125]",4895702158111329364,-0.0029119737427100974,120,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
122,0,1744385427.1664443,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422601e+09],"[ 64.8125  87.25   109.625   72.5     77.375   85.875   99.8125  54.
 119.     127.      82.9375  85.6875  47.875   84.4375  65.1875  98.
 127.125   39.625   16.5625  59.0625  45.4375  53.1875  57.5625  41.5625
  56.6875  90.9375  60.875   48.4375  22.125   39.75    19.4375  20.4375
  20.4375  43.4375  54.8125  44.9375]",4895702158111329364,-0.00825574952261914,121,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
123,0,1744385429.4103131,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422607e+09],"[ 65.0625  84.25   113.1875  75.6875  79.9375  83.6875 103.6875  55.1875
 117.25   130.1875  79.5625  88.4375  47.25    89.375   59.9375  98.375
 127.6875  39.9375  16.75    60.8125  46.9375  52.625   58.9375  42.9375
  63.5625  94.125   62.9375  50.25    22.75    38.125   38.625   20.8125
  20.5625  52.25    55.9375  44.5625]",4895702158111329364,0.02729095868303788,122,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
124,0,1744385431.8209524,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422613e+09],"[ 64.1875  82.9375 111.625   75.      80.1875  83.75    99.3125  54.0625
 115.9375 124.3125  77.4375  88.125   47.1875  89.75    61.1875  98.9375
 126.3125  40.8125  17.8125  59.5     46.625   54.375   57.      43.
  59.6875  98.5625  61.625   47.375   23.      38.25    21.5     20.5
  22.4375  53.4375  55.1875  37.875 ]",4895702158111329364,-0.019282239672990423,123,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
125,0,1744385433.9215424,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422618e+09],"[ 65.3125  87.75   107.875   72.0625  78.3125  82.     101.      53.25
 115.     127.9375  80.375   87.625   46.9375  89.125   64.125   97.875
 121.375   40.875   17.875   58.625   45.25    53.125   57.625   40.75
  60.5625  87.5625  41.      48.125   23.      37.4375  19.5625  24.625
  22.9375  55.4375  53.8125  45.375 ]",4895702158111329364,-0.012696995655234805,124,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
126,0,1744385436.0613759,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422624e+09],"[ 65.75    84.875  109.      71.5     76.25    83.3125 101.625   54.5
 112.125  124.8125  80.4375  88.1875  46.8125  84.8125  64.125   98.75
 131.6875  38.375   17.375   59.875   49.625   52.4375  56.0625  40.9375
  61.1875  91.125   58.9375  50.8125  24.9375  37.5     21.25    21.375
  19.75    47.125   56.4375  46.5   ]",4895702158111329364,0.009564318877584146,125,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
127,0,1744385438.2716672,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422629e+09],"[ 65.6875  83.1875 108.5     72.8125  75.9375  82.0625  96.9375  54.9375
 119.1875 123.375   82.1875  88.5     46.3125  86.9375  60.75    99.3125
 128.1875  40.75    16.375   59.4375  46.5625  54.5     56.      41.75
  65.25    88.0625  61.5     47.875   22.4375  36.1875  40.625   21.5
  21.1875  58.4375  55.625   38.25  ]",4895702158111329364,0.007621121001501345,126,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
128,0,1744385440.676345,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422635e+09],"[ 64.875   80.125  112.6875  73.6875  76.5625  85.375   97.375   55.25
 120.     126.6875  81.6875  87.6875  47.9375  85.625   61.6875  99.625
 121.4375  40.9375  18.125   61.5     47.625   51.8125  56.5     42.125
  59.75    91.75    59.75    48.875   23.625   38.625   27.5625   0.
  20.375   59.375   52.3125  47.125 ]",4895702158111329364,-0.001821017466877806,127,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
129,0,1744385442.7740083,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422641e+09],"[ 63.5     81.1875 111.875   73.      76.5625  79.5     99.0625  54.5
 119.625  125.25    81.4375  85.5625  46.125   87.4375  59.1875 100.4375
 126.5625  41.      15.0625  57.125   46.8125  50.4375  56.      42.8125
  61.375   99.8125  41.375   48.375   23.125   40.375   38.5625  21.75
  24.375   47.375   53.5625  43.0625]",4895702158111329364,-0.015577809300540377,128,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
130,0,1744385444.857261,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422646e+09],"[ 62.5625  85.875  106.6875  73.1875  77.75    83.1875  95.75    52.75
 113.25   122.75    80.125   83.      47.75    87.625   60.9375 100.125
 127.25    39.0625  16.4375  64.0625  47.125   52.1875  57.5625  45.6875
  61.375   90.1875  58.8125  48.      22.5625  38.4375  44.375   22.1875
  22.125   59.75    53.875   45.875 ]",4895702158111329364,0.023328247961687195,129,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
131,0,1744385447.0628865,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422652e+09],"[ 62.125   81.0625 109.8125  72.9375  77.6875  80.9375  99.625   53.75
 119.0625 125.0625  82.25    87.25    46.5     94.      67.1875 100.1875
 130.375   37.875   18.      62.125   47.25    52.3125  57.6875  40.9375
  62.0625 100.5625  60.75    47.9375  29.6875  38.0625  20.75    21.375
  20.1875  55.9375  53.875   39.875 ]",4895702158111329364,-0.0025422150170181287,130,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
132,0,1744385449.370516,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422657e+09],"[ 66.4375  79.5625 106.3125  71.25    77.75    78.5    101.      54.875
 119.4375 119.75    80.625   85.9375  46.625   93.25    60.     101.3125
 131.      40.875   16.6875  61.125   47.8125  53.75    57.5625  41.5625
  65.6875  99.25    41.0625  50.3125  22.5625  36.25    21.5     19.3125
  22.625   45.0625  53.9375  46.5625]",4895702158111329364,-0.017942531734264962,131,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
133,0,1744385451.4552085,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422663e+09],"[ 67.375   80.4375 111.5625  76.125   76.125   86.6875 107.625   53.
 111.5625 122.8125  80.125   84.625   44.75    88.875   62.875  101.9375
 125.4375  40.125   16.0625  60.0625  47.5625  52.6875  54.      41.9375
  62.3125  87.4375  40.9375  48.3125  22.4375  37.25    21.125   42.25
  23.8125  57.9375  55.75    45.5   ]",4895702158111329364,0.013574739704004633,132,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
134,0,1744385453.617048,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422669e+09],"[ 66.75    81.5625 110.3125  74.5625  77.625   84.25    98.      54.0625
 114.9375 126.625   84.5     86.25    49.6875  88.5     66.875   99.3125
 125.5625  39.25    19.875   62.      46.5625  52.5625  58.75    44.875
  63.0625  87.375   59.8125  47.4375  23.75    38.6875  21.75    23.375
  22.625   53.375   51.75    38.3125]",4895702158111329364,-0.0028758981787476625,133,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
135,0,1744385455.8571029,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422674e+09],"[ 66.5625  81.8125 108.375   77.1875  76.6875  87.6875  97.25    52.6875
 116.3125 123.875   81.8125  84.5     48.8125  87.9375  62.25    99.125
 123.4375  40.1875  18.      64.5     45.6875  52.125   58.5     40.5
  64.375   94.625   41.125   48.625   23.1875  40.4375  20.3125  28.5625
  21.625   54.5     55.375   38.875 ]",4895702158111329364,-0.004047203439921439,134,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
136,0,1744385458.4759452,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.7442268e+09],"[ 64.9375  81.4375 111.25    73.875   76.      83.1875 101.375   54.4375
 114.3125 124.4375  83.875   84.5     49.75    90.6875  67.625   98.9375
 126.8125  40.0625  22.75    57.8125  48.75    53.125   55.4375  40.875
  66.5     86.      41.125   48.0625  22.75    37.4375  42.      21.4375
  20.75    56.5     52.      47.5   ]",4895702158111329364,0.006467696658743189,135,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
137,0,1744385460.968577,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422685e+09],"[ 63.      82.375  111.8125  73.375   77.3125  85.0625  97.      55.375
 121.75   121.625   81.625   81.9375  47.0625  86.9375  61.3125  98.5625
 121.6875  39.9375  17.375   59.4375  48.4375  53.25    55.3125  41.875
  63.      96.375   58.8125  47.375   21.9375  37.5     20.0625  22.5
  37.625   58.125   53.3125  44.875 ]",4895702158111329364,0.0013305065280538363,136,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
138,0,1744385463.510622,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422691e+09],"[ 66.5625  83.125  114.25    76.25    77.625   82.9375  98.3125  54.625
 119.9375 128.6875  83.75    86.25    46.5     90.875   59.9375  98.
 127.125   39.9375  17.9375  58.25    47.625   52.6875  57.5625  39.375
  64.8125  93.125   60.1875  48.0625  22.75    37.      20.6875  36.375
  20.0625  58.8125  53.375   48.8125]",4895702158111329364,0.008119722943890009,137,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
139,0,1744385466.0166564,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422697e+09],"[ 66.125   78.9375 111.8125  73.0625  76.0625  83.5625 100.875   55.3125
 115.25   125.75    80.6875  88.8125  47.625   81.6875  62.5625  98.25
 124.1875  39.6875  18.375   62.0625  47.75    53.4375  57.75    42.875
  65.      92.9375  39.5625  48.6875  22.875   36.6875  20.8125  21.5
  20.375   47.9375  53.5     48.75  ]",4895702158111329364,-0.02683731443637465,138,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
140,0,1744385468.3672364,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422702e+09],"[ 64.875   80.5625 114.625   73.4375  80.1875  85.875   96.1875  54.0625
 121.75   125.625   81.8125  85.5     45.875   83.4375  63.9375  98.625
 130.125   40.1875  17.      59.25    46.3125  51.25    53.375   42.25
  61.1875  93.      40.6875  46.875   22.25    36.9375  21.625   21.3125
  22.5     58.125   53.75    48.875 ]",4895702158111329364,-0.0023558314422733153,139,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
141,0,1744385470.9532995,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422708e+09],"[ 65.5625  83.     109.1875  74.5     74.625   84.1875  95.6875  52.8125
 123.125  123.75    82.0625  87.125   50.4375  87.6875  61.625   97.8125
 126.      37.5     17.3125  58.      48.4375  50.8125  56.5625  40.
  61.4375  93.875   40.625   48.      23.125   37.4375  43.0625  20.125
  22.4375  59.1875  52.5625  42.5625]",4895702158111329364,0.010380762847729612,140,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
142,0,1744385473.702678,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422713e+09],"[ 65.75    77.75   112.4375  73.125   78.8125  80.875  100.5625  52.4375
 117.3125 123.9375  80.25    86.4375  45.625   87.25    64.0625  98.125
 128.375   41.25    17.1875  59.75    47.75    53.      59.875   41.75
  63.      93.75    59.9375  47.6875  22.6875  37.5625  44.      21.375
  20.75    59.      55.625   47.8125]",4895702158111329364,0.019957956951127686,141,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
143,0,1744385476.194565,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422719e+09],"[ 65.375   83.125  114.125   72.1875  77.375   80.     101.3125  55.375
 120.875  119.      80.9375  82.8125  47.9375  90.5     63.875   97.3125
 134.75    40.5625  16.3125  61.9375  46.875   53.3125  55.9375  41.4375
  61.6875  97.125   41.625   48.      22.0625  38.375   45.      22.25
  24.875   50.8125  52.5     48.375 ]",4895702158111329364,-0.011786842763488929,142,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
144,0,1744385478.608472,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422725e+09],"[ 64.125   77.5    110.75    73.875   79.125   81.5625 105.75    55.8125
 122.875  132.0625  81.375   86.      48.75    82.0625  62.6875 100.8125
 125.375   39.25    17.75    61.5625  46.75    51.5625  56.75    43.375
  62.1875  89.125   60.      48.1875  21.6875  38.6875  22.4375  20.625
  21.625   49.875   53.9375  37.0625]",4895702158111329364,-0.012140453238802707,143,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
145,0,1744385480.8053608,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.7442273e+09],"[ 66.75    80.5    109.5625  72.3125  77.375   85.375  105.3125  52.9375
 114.625  121.0625  80.875   90.5     45.8125  89.125   63.3125  96.25
 125.875   40.3125  17.625   60.8125  46.9375  52.9375  57.125   41.5625
  65.6875  96.5625  64.875   48.375   22.6875  38.125   21.      20.8125
  21.4375  57.6875  54.3125  45.8125]",4895702158111329364,0.022504281310566275,144,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
146,0,1744385483.2062483,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422736e+09],"[ 66.      85.4375 113.4375  76.6875  76.625   85.375   99.9375  56.5
 114.875  127.25    83.75    86.5     46.875   84.6875  62.625   96.625
 129.      43.      17.5625  63.625   46.5625  54.3125  55.375   42.5625
  63.375   92.25    42.5     50.125   22.5     36.875   21.625   20.875
  19.6875  46.1875  52.875   38.6875]",4895702158111329364,-0.02349885650015663,145,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
147,0,1744385485.5968018,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422742e+09],"[ 68.125   81.     117.5     71.0625  73.8125  83.      97.9375  53.8125
 119.75   124.0625  81.4375  86.625   46.625   85.      61.25    96.9375
 123.75    42.875   18.625   62.375   46.4375  53.125   58.375   41.
  61.75    97.375   62.1875  48.125   22.3125  37.125   39.5625   0.
  21.375   57.875   52.8125  46.0625]",4895702158111329364,0.019847299184499307,146,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
148,0,1744385488.1877294,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422747e+09],"[ 67.625   81.625  107.75    70.375   74.875   80.8125  99.6875  56.75
 123.625  130.3125  79.5625  86.1875  49.6875  87.      68.4375  98.0625
 128.875   39.25    16.3125  56.375   45.5625  53.3125  55.8125  40.8125
  64.8125  89.875   40.875   49.5625  22.8125  36.5     21.375    0.
  23.625   61.9375  55.5     46.0625]",4895702158111329364,-0.018639672801095183,147,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
149,0,1744385490.709266,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422753e+09],"[ 65.0625  83.25   116.0625  71.9375  75.3125  85.3125  98.8125  53.9375
 117.25   122.6875  82.5625  87.375   46.3125  90.0625  65.6875  98.5
 121.125   40.1875  19.625   56.6875  48.125   53.5625  56.4375  41.625
  58.625   98.3125  62.25    48.4375  21.875   37.5625  41.625   19.5
  20.9375  62.375   56.6875  48.9375]",4895702158111329364,0.03075956642013463,148,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
150,0,1744385493.1177146,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422758e+09],"[ 65.75    78.3125 114.125   74.75    78.6875  85.     102.375   53.375
 118.5    124.1875  87.25    86.      44.8125  88.125   65.375   98.875
 124.375   41.5625  14.8125  58.875   47.625   52.6875  57.4375  42.375
  61.25    94.8125  61.875   51.1875  23.125   36.5625  21.5      0.
  20.4375  63.75    56.375   45.9375]",4895702158111329364,-0.006319656639189343,149,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
151,0,1744385495.448588,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.74422764e+09],"[ 65.375   83.5625 109.5     74.125   74.3125  84.5625 105.0625  50.0625
 118.125  124.9375  84.625   85.375   47.      89.875   60.3125  98.3125
 123.9375  40.5625  17.25    60.25    47.5     50.75    55.9375  41.75
  60.8125  91.75    42.      48.      21.6875  38.      41.0625  20.8125
  21.5625  51.      56.4375  48.25  ]",4895702158111329364,-0.015359858842645477,150,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
152,0,1744385497.6359825,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],[1.7442277e+09],"[ 69.8125  80.5    114.      72.9375  76.6875  84.9375 100.4375  56.9375
 115.     124.1875  84.875   87.8125  46.4375  89.375   61.5625 100.0625
 133.875   39.9375  30.125   58.375   45.25    53.8125  55.75    44.6875
  67.0625  92.4375  42.1875  48.      23.1875  38.      27.375   25.125
  17.75    49.75    53.625   43.5   ]",4895702158111329364,-0.0009854990171475867,151,1,0,0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,1,/data/plant-rl/online/E6/P3/Spreadsheet-1/z1,*,P3,Spreadsheet1
