area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm,seed_offline,time_offline,action_offline,config_id_offline,frame_offline,experiment.update_freq_offline,experiment.checkpoint,compatibility_mode_offline,experiment.step_duration_offline,filepath_offline,environment.path,experiment.image_save_keys,environment_offline,algorithm_offline
"[38.4375 12.4375 17.9375 44.5625 62.75   39.1875 54.3125 56.6875 41.875
 50.125  48.75   59.3125 35.375  36.0625 56.     60.8125 25.125  65.5
 32.375  12.5625 43.125  53.1875 29.8125 30.     34.1875 11.4375 12.8125
 27.0625 31.875  26.25   29.6875 34.6875 37.5    21.1875 18.5625 19.9375]",[1.74421875e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240349.706298,10,11,-8144594618283321666,-0.0307131708178301,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385197.4803782,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,10.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.125  13.25   18.125  42.     55.625  37.8125 48.6875 57.625  40.75
 50.9375 45.375  58.75   37.125  36.     54.75   64.     25.0625 65.25
 36.25   11.125  42.     53.4375 29.3125 33.625  29.375  12.125  14.125
 22.4375 45.125  75.9375 30.6875 31.125  36.875  20.625  19.125  18.8125]",[1.74421881e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240407.4402285,11,12,-8144594618283321666,0.02525941101179,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385200.1358526,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,11.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[39.375  14.0625 21.     43.1875 60.6875 39.0625 49.8125 58.25   41.4375
 50.0625 44.8125 57.875  39.3125 37.1875 56.8125 64.25   14.625  64.125
 31.5    12.     41.375  55.5625 26.125  38.1875 29.5    10.5625 23.5625
 23.375  32.1875  0.     31.     35.25   35.375  20.5625 17.125  14.3125]",[1.74421886e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240463.374558,12,13,-8144594618283321666,-0.0495226502004859,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385203.0501378,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,12.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[43.6875 13.25   19.3125 43.125  61.     38.0625 48.125  57.6875 43.5
 48.4375 48.125  59.5625 35.     37.0625 54.     63.0625 25.5    68.9375
 30.5    11.8125 46.6875 53.1875 29.875  32.5625 27.6875 13.5625 13.75
 24.0625 31.9375  0.     29.375  34.625  35.875  19.375  17.25   22.1875]",[1.74421892e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240519.6025438,13,14,-8144594618283321666,0.0010101142503623,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385205.4167676,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,13.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[42.9375 13.4375 18.6875 45.875  58.5    39.75   49.3125 58.1875 42.1875
 50.5    42.4375 57.8125 35.125  37.75   56.5625 60.8125 22.3125 64.625
 32.0625 11.9375 43.625  51.9375 26.0625 31.3125 30.4375 11.125  14.125
 23.875  43.6875  0.     31.     30.5    35.875  21.8125 18.375  23.8125]",[1.74421898e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240575.6627293,14,15,-8144594618283321666,0.0092322177092946,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385207.8765426,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,14.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.     13.     21.     43.     60.5    41.1875 51.0625 58.4375 41.8125
 51.375  41.9375 57.75   36.375  36.5    54.3125 60.875  17.9375 63.125
 32.25   11.5625 42.5625 53.9375 38.8125 40.875  29.8125 11.     13.125
 23.4375 31.8125 23.9375 31.3125 33.125  39.4375 19.9375 19.5    28.75  ]",[1.74421903e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240631.619463,15,16,-8144594618283321666,0.0246974390402759,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385210.4229546,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,15.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[42.5625 14.125  18.0625 43.3125 61.25   40.5625 48.125  58.25   42.3125
 51.     46.8125 57.8125 35.5625 39.     56.375  63.625  22.875  64.4375
 30.4375 11.5625 44.8125 53.8125 26.875  33.125  31.875  11.0625 14.1875
 23.1875 32.875   0.     31.8125 33.     39.4375 19.125  17.0625 29.8125]",[1.74421909e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240686.741771,16,17,-8144594618283321666,-0.0186525414336247,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385213.2568133,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,16.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[41.125  13.6875 18.6875 43.375  62.625  41.4375 51.0625 59.0625 41.75
 51.3125 44.5625 59.6875 40.5    39.     55.875  62.25   18.625  66.
 31.375  12.3125 44.8125 53.25   25.625  33.3125 29.875  10.875  13.125
 24.375  30.      0.     31.5625 32.75   36.5    22.3125 18.75   14.1875]",[1.74421914e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240743.6982255,17,18,-8144594618283321666,-0.017109015134898,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385215.3625326,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,17.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[ 43.8125  13.4375  19.375   45.375   60.25    39.375   49.9375  58.375
  41.75    50.0625  45.0625  56.375   36.375   36.6875  54.6875  60.1875
  22.3125  62.9375  29.6875  11.0625  43.0625  55.9375  27.5625  31.375
  28.375   11.125   16.4375  24.      32.1875  25.875   30.375   30.0625
  35.5625  18.875   19.4375 188.5625]",[1.7442192e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240799.326176,18,19,-8144594618283321666,0.0427453823169939,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385217.7607238,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,18.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
"[40.0625 13.4375 18.5    42.875  61.9375 40.625  55.375  58.0625 43.375
 49.625  41.875  57.25   37.25   34.875  56.25   58.25   18.9375 65.25
 30.6875 13.25   42.5625 56.0625 28.375  42.0625 31.3125 10.     13.9375
 23.375  34.75   11.6875 32.3125 33.125  38.6875 19.375  18.375  27.375 ]",[1.74421925e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240854.2263007,19,20,-8144594618283321666,-0.0222297214244072,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,2,P3,Spreadsheet2,0.0,1744385219.946417,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1.1997813580787543e+18,19.0,1.0,0.0,0.0,0.01,experiments/online/E6/P3/plant_reaction_test.xlsx,/data/plant-rl/online/E6/P3/Spreadsheet-2/z2,*,P3,Spreadsheet2
