timestamp,zone,scalar_action,power_w
2026-06-16T09:21:50,alliance-zone10,-0.9,45.94766666666666
2026-06-16T09:21:50,alliance-zone10,-0.8,45.98
2026-06-16T09:21:50,alliance-zone10,-0.7,46.059333333333335
2026-06-16T09:21:50,alliance-zone10,-0.6,46.28266666666667
2026-06-16T09:21:50,alliance-zone10,-0.5,46.435
2026-06-16T09:21:50,alliance-zone10,-0.4,46.668
2026-06-16T09:21:50,alliance-zone10,-0.3,46.946666666666665
2026-06-16T09:21:50,alliance-zone10,-0.2,47.672
2026-06-16T09:21:50,alliance-zone10,-0.1,48.031666666666666
2026-06-16T09:21:50,alliance-zone10,0.0,48.54866666666667
2026-06-16T09:21:50,alliance-zone10,0.1,49.102666666666664
2026-06-16T09:21:50,alliance-zone10,0.2,48.955666666666666
2026-06-16T09:21:50,alliance-zone10,0.3,48.967000000000006
2026-06-16T09:21:50,alliance-zone10,0.4,49.15533333333334
2026-06-16T09:21:50,alliance-zone10,0.5,49.53133333333333
2026-06-16T09:21:50,alliance-zone10,0.6,49.647999999999996
2026-06-16T09:21:50,alliance-zone10,0.7,50.077333333333335
2026-06-16T09:21:50,alliance-zone10,0.8,50.465666666666664
2026-06-16T09:21:50,alliance-zone10,0.9,51.004999999999995
2026-06-16T09:21:50,alliance-zone10,1.0,52.22933333333333
