area,state,seed,action,time,frame,steps,config_id,reward,experiment.step_duration,compatibility_mode,filepath,experiment.update_freq,environment.zone,environment,algorithm
"[  77.75     86.125   104.9375  122.4375   63.375   209.9375  413.9375
  164.625    92.625    96.3125   89.9375  148.6875   69.3125   85.
   82.5      62.8125 2185.75     74.       66.4375   96.6875   67.5
   99.25     69.6875  104.3125  138.3125  974.875   179.1875  121.125
   99.      158.375   113.375   145.6875   86.9375  121.625    67.
   91.5   ]",[1.7442405e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240523.4582813,10,11,-2625447392661257852,0.03277436278968199,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 59.25    82.125   98.375  147.3125  65.     186.0625 343.4375 152.1875
  96.125   85.0625  88.9375 140.3125  68.875   85.75    75.0625  61.375
  86.375   69.875   63.9375  95.0625  57.625   89.0625  96.1875 103.5625
 132.625   92.5625 178.9375 126.375  114.25   107.     130.5625 143.8125
  90.8125 117.8125  65.4375  94.3125]",[1.74424056e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240587.1880682,11,12,-2625447392661257852,-0.0686311592286481,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 72.5625  93.9375  98.875  134.8125  72.3125 170.125  384.125  169.9375
  89.125   82.125   88.9375 138.5625  74.25    89.9375  79.0625  60.
  84.      70.875   62.25   100.875   54.875  103.1875  75.6875 115.9375
 134.5     96.     176.1875 126.125  107.     170.875  117.875  140.875
  94.9375 116.4375  73.3125  94.0625]",[1.74424062e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240649.502314,12,13,-2625447392661257852,0.027105259240345132,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  75.6875   66.5     104.75    114.875    66.8125  187.375   357.875
  163.625    84.375    96.6875   90.375   133.5      73.0625   75.875
   76.625    56.     2073.125    69.75     64.4375   99.9375   62.875
   97.       65.875   107.75    123.       95.9375  209.4375  115.625
   92.3125  100.625   119.5625  147.4375   85.375   123.5      61.5
   95.    ]",[1.74424068e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240713.453857,13,14,-2625447392661257852,-0.036900028850393264,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 74.75    69.75    93.6875 106.9375  74.     164.3125 104.75   150.125
  95.0625  96.75    83.3125 152.75    66.0625  75.0625  75.375   59.625
  86.8125  68.0625  64.75   102.1875  51.625  104.0625  87.8125 140.1875
 135.5625  95.8125 176.375  124.625   84.0625  86.125  118.125  147.1875
  82.5625 128.0625  68.3125  98.625 ]",[1.74424075e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240778.394846,14,15,-2625447392661257852,-0.01967887461435799,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  88.5      85.3125   91.25    118.       66.5     205.5625  384.5625
  157.1875   79.4375   94.8125  101.5     183.375    77.       84.3125
   80.9375   64.75   1961.       64.125    63.75    100.0625   59.8125
   97.375    62.25    141.4375  130.5625   94.125   165.9375  114.5
  118.6875  163.5625  117.4375  144.6875   91.5     116.625    62.0625
   95.4375]",[1.74424081e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240842.6093893,15,16,-2625447392661257852,0.08417813915600121,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 74.625   96.5625  90.5    115.75    73.5    184.875  142.625  171.875
  91.25   107.3125  95.5625 138.4375  77.875   83.      80.      63.0625
  86.375   73.6875  64.1875 101.      62.125  108.5625  66.4375 106.4375
 125.6875  87.5625 187.3125 139.875   98.6875 153.8125 104.6875 146.0625
  95.8125 127.875   69.25    95.375 ]",[1.74424088e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240906.5342422,16,17,-2625447392661257852,-0.0386278655223465,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  85.5625   82.375   100.9375  109.625    78.25    186.5625  391.75
  159.6875   80.4375   95.875    99.25    155.       83.875    83.75
   76.5625   69.5625 1997.25     74.375    70.625    83.5      66.75
   99.875    76.875   111.3125  127.       95.5     167.5625  128.75
   96.875    96.3125  118.      134.125    98.3125  123.5625   67.4375
  100.375 ]",[1.74424094e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744240970.1585793,17,18,-2625447392661257852,0.0077330234567377,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[  73.3125   96.6875   87.0625  125.5      72.5625  182.0625  404.375
  167.1875   86.9375   92.3125   97.375   152.625    74.125    88.8125
   73.       66.9375 2092.0625   70.3125   71.125    94.1875   65.4375
  105.       76.25    110.4375  125.0625   98.0625  171.8125  130.
  112.5625  106.3125  113.5625  142.375    94.4375  124.0625   62.125
   95.125 ]",[1.74424101e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241033.6583939,18,19,-2625447392661257852,0.010492827463157932,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
"[ 87.9375  86.625   88.875  108.9375  84.4375 196.875  362.8125 159.4375
  74.125   92.625   93.1875 150.625   73.875   86.125   82.0625  64.5
  87.8125  71.6875  64.75    86.3125  57.875   91.8125  82.6875 115.125
 133.875   88.3125 164.8125 120.75   103.3125  92.0625 103.875  134.0625
  92.8125 110.9375  76.8125 100.125 ]",[1.74424107e+09],0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],1744241096.6043856,19,20,-2625447392661257852,-0.05553138725539961,60,0,experiments/online/E6/P3/plant_reaction_test.xlsx,1,6,P3,Spreadsheet6
