reward,action,seed,frame,config_id,area,steps,state,time,experiment.update_freq,filepath,environment.zone,compatibility_mode,experiment.step_duration,environment,algorithm
0.4652989253501315,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,11,-4592064833075157467,"[ 89.875   69.0625 102.5    118.8125  69.625  203.9375 348.25   151.625
  94.0625  90.25    81.1875 144.25    64.25    79.1875  79.      62.8125
  88.875   76.5625  74.3125  87.5625  58.625   93.4375  67.5     98.4375
 135.      92.5625 161.6875 121.625  107.125  178.9375 120.9375 138.75
 103.0625 133.8125  63.3125  96.125 ]",12,[1.74426435e+09],1744264391.1144524,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
0.04205385280055587,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,12,-4592064833075157467,"[  87.6875   72.5625   99.0625  115.4375   78.375   205.25    143.75
  155.125    79.875    92.0625   98.0625  159.0625   76.75     81.8125
   82.6875   68.875  2058.8125   70.125    68.375    91.25    177.875
   98.4375   56.125   112.1875  127.75     95.1875  175.9375  116.5
  102.875   104.875   110.9375  152.8125   98.3125  119.4375   68.6875
  102.625 ]",13,[1.74426465e+09],1744264673.8313286,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.05313766718520055,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,13,-4592064833075157467,"[  67.0625   92.375   101.8125  111.8125   71.9375  183.5     392.25
  157.25     81.875    94.25     95.0625  145.       74.6875   81.375
   78.5625   64.8125 1992.875    76.       70.6875   84.75     52.3125
   92.1875   76.0625  110.375   125.375    87.75    172.5     115.9375
   96.0625  101.875   121.4375  142.3125   84.875   106.4375   69.4375
   96.0625]",14,[1.74426495e+09],1744264973.1711562,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
0.02205778508370699,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,14,-4592064833075157467,"[ 89.0625  88.875   98.9375 119.0625  70.375  189.25   362.1875 158.3125
  67.8125  91.4375 101.125  150.      79.9375  81.875   81.8125  62.4375
  95.5     72.25    66.75   101.8125  53.25   108.125   66.25   106.0625
 131.0625  86.125  169.5625 127.625  112.8125 113.625  113.5625 164.4375
  94.     125.375   68.625  100.875 ]",15,[1.74426525e+09],1744265273.9277468,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.005280849285993288,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,15,-4592064833075157467,"[  93.5625   80.      102.0625  115.       68.9375  184.9375  139.8125
  153.       80.5625   82.125    98.3125  150.       79.25     75.9375
   77.5      60.375  1959.0625   64.0625   63.8125   97.125    70.4375
   94.5625   81.375   101.1875  117.5625   84.8125  178.5625  121.75
  101.5     148.0625  108.9375  143.3125   89.4375  123.5      62.875
   94.5   ]",16,[1.74426555e+09],1744265574.0270205,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.005732230041308143,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],0,16,-4592064833075157467,"[ 68.5625  81.125   99.1875 126.3125  72.375  183.375  334.4375 160.875
  82.25    86.1875  89.0625 124.      87.9375  83.75    79.625   58.6875
  93.0625  78.25    74.5    102.      71.4375  84.5     63.6875 134.6875
 124.8125  82.75   159.5625 128.5     93.375  146.1875 115.     144.8125
 101.625  120.3125  63.      97.375 ]",17,[1.74426585e+09],1744265874.1876621,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.22831816454114356,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],0,17,-4592064833075157467,"[ 83.125   74.4375  60.3125  73.25    29.1875  77.9375  44.1875  85.1875
  32.8125  37.75    22.375   86.3125  49.5625  42.3125  51.6875  46.625
  51.25    47.625  109.     122.6875 190.      70.9375  77.875  251.5625
  53.25    64.6875 153.0625  76.125   91.875  123.8125  74.125  108.
  99.6875 169.1875 153.5625 131.25  ]",18,[1.74426615e+09],1744266252.6423984,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.0745026041748169,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0,18,-4592064833075157467,"[ 71.6875  47.8125  44.3125  52.5     30.      50.125   48.9375  83.75
  31.5625  38.      23.25    93.8125  45.6875  45.3125  47.9375  41.3125
  32.5625  39.625   89.8125 110.6875 219.75    67.9375  84.375   98.9375
  54.3125  78.5    183.6875  74.8125  62.3125 121.625   77.9375 130.625
 255.125  155.9375 113.5    153.8125]",19,[1.74426645e+09],1744266549.4322448,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
0.3673670403019556,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0,19,-4592064833075157467,"[ 95.0625  79.125  105.875  124.1875  65.5    159.1875 159.6875 166.9375
  66.75    82.6875  89.     176.5     78.9375  88.25    75.6875  75.4375
  72.625  372.5625  92.1875 121.9375  88.4375  84.5625  76.0625 143.3125
 137.9375  96.875  190.0625 132.1875 117.0625  86.9375 123.875  130.
 101.5    112.0625  96.25   122.6875]",20,[1.74426675e+09],1744266782.2359242,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
0.19553259972020676,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],0,20,-4592064833075157467,"[ 124.75    133.5     111.625   169.375    76.5     171.      369.75
  168.9375   76.6875   98.1875  100.      151.0625  101.125    87.3125
   79.25     83.75   1281.75     93.8125   92.5625  153.6875  297.25
  114.1875  103.      199.5625  137.1875   84.6875  204.5     143.9375
  117.8125  139.0625  138.1875  174.75    138.8125  154.875   110.0625
  139.    ]",21,[1.74426705e+09],1744267076.9137118,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.07179836385543184,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],0,21,-4592064833075157467,"[106.625  104.1875 116.1875 152.125   78.1875 209.125  346.8125 170.8125
  77.4375  94.625   96.1875 127.375  108.5625  91.125   80.625   92.1875
 115.9375  97.9375  96.3125 129.5    272.875  102.875   96.0625 173.5625
 133.5     89.125  225.0625 127.6875 123.1875 157.125  130.75   151.4375
 129.25   147.75    92.5625 133.5   ]",22,[1.74426735e+09],1744267376.1867359,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
-0.8339239526036941,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],0,22,-4592064833075157467,"[ 64.3125  36.125   42.4375  55.4375  32.75    59.5     53.     106.4375
  34.375   33.9375  24.      92.5625  58.75    47.1875  51.8125  46.9375
  49.5     17.625   37.8125  38.0625  47.0625  51.5     29.8125  62.8125
  61.6875  32.6875  87.5     86.4375  48.875   61.5625  62.3125  49.0625
  49.1875  62.375   38.5     61.6875]",23,[1.74426765e+09],1744267671.184418,1,experiments/online/E6/P4/poisson6.xlsx,6,0,300,P4,Poisson6
