S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_10:210		Capture_11:211		Capture_12:212		Capture_13:213		
337.498	0	337.498	-1	337.498	5	337.498	2	337.498	3	337.498	1	337.498	-3	337.498	2	337.498	1	337.498	-1	337.498	-2	337.498	-1	337.498	-1	337.498	0	
337.947	0	337.947	-4	337.947	1	337.947	2	337.947	-2	337.947	-2	337.947	3	337.947	1	337.947	0	337.947	2	337.947	0	337.947	-1	337.947	0	337.947	0	
338.397	3	338.397	0	338.397	-2	338.397	4	338.397	3	338.397	3	338.397	-4	338.397	5	338.397	-1	338.397	1	338.397	0	338.397	4	338.397	2	338.397	3	
338.846	1	338.846	3	338.846	0	338.846	1	338.846	0	338.846	1	338.846	-1	338.846	-2	338.846	0	338.846	0	338.846	-2	338.846	2	338.846	0	338.846	-4	
339.295	0	339.295	-3	339.295	2	339.295	0	339.295	-2	339.295	2	339.295	-1	339.295	1	339.295	-1	339.295	-3	339.295	3	339.295	0	339.295	-4	339.295	0	
339.745	0	339.745	-1	339.745	1	339.745	0	339.745	-1	339.745	0	339.745	0	339.745	0	339.745	-2	339.745	5	339.745	2	339.745	-4	339.745	3	339.745	0	
340.194	3	340.194	2	340.194	1	340.194	1	340.194	-1	340.194	-1	340.194	1	340.194	4	340.194	2	340.194	-1	340.194	2	340.194	1	340.194	2	340.194	2	
340.644	-4	340.644	-1	340.644	-2	340.644	-1	340.644	-6	340.644	-2	340.644	-5	340.644	0	340.644	-4	340.644	-4	340.644	0	340.644	1	340.644	-6	340.644	-1	
341.094	5	341.094	2	341.094	-2	341.094	2	341.094	2	341.094	1	341.094	2	341.094	1	341.094	0	341.094	-1	341.094	-2	341.094	4	341.094	-4	341.094	-2	
341.544	2	341.544	-1	341.544	2	341.544	4	341.544	1	341.544	1	341.544	3	341.544	2	341.544	4	341.544	2	341.544	1	341.544	0	341.544	1	341.544	-1	
341.994	2	341.994	-2	341.994	-2	341.994	2	341.994	1	341.994	-2	341.994	-1	341.994	0	341.994	-1	341.994	-2	341.994	-1	341.994	4	341.994	-2	341.994	0	
342.444	3	342.444	2	342.444	5	342.444	0	342.444	-1	342.444	2	342.444	2	342.444	3	342.444	0	342.444	-2	342.444	6	342.444	4	342.444	2	342.444	3	
342.894	4	342.894	-1	342.894	6	342.894	4	342.894	4	342.894	4	342.894	4	342.894	1	342.894	0	342.894	2	342.894	-2	342.894	1	342.894	1	342.894	-1	
343.344	-2	343.344	4	343.344	2	343.344	3	343.344	4	343.344	4	343.344	1	343.344	0	343.344	4	343.344	3	343.344	0	343.344	2	343.344	3	343.344	1	
