S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
337.498	-4	337.498	-3	337.498	1	337.498	0	337.498	-2	337.498	0	337.498	-2	337.498	0	337.498	-4	337.498	-3	337.498	-2	337.498	4	337.498	1	337.498	0	
337.947	-1	337.947	-4	337.947	-3	337.947	-6	337.947	-1	337.947	0	337.947	2	337.947	-2	337.947	-3	337.947	-1	337.947	0	337.947	-1	337.947	3	337.947	-4	
338.397	2	338.397	0	338.397	0	338.397	1	338.397	-4	338.397	-1	338.397	0	338.397	2	338.397	-1	338.397	-4	338.397	1	338.397	-2	338.397	-2	338.397	1	
338.846	-1	338.846	-4	338.846	-2	338.846	-3	338.846	-3	338.846	1	338.846	-2	338.846	-3	338.846	-2	338.846	1	338.846	2	338.846	-3	338.846	0	338.846	-6	
339.295	-3	339.295	-4	339.295	-8	339.295	-8	339.295	-5	339.295	-7	339.295	-4	339.295	-1	339.295	-9	339.295	-6	339.295	-5	339.295	-6	339.295	-4	339.295	-5	
339.745	1	339.745	-1	339.745	0	339.745	-2	339.745	2	339.745	-2	339.745	-3	339.745	-3	339.745	1	339.745	0	339.745	6	339.745	4	339.745	3	339.745	2	
340.194	5	340.194	-2	340.194	1	340.194	2	340.194	4	340.194	-3	340.194	0	340.194	-4	340.194	-3	340.194	-3	340.194	0	340.194	0	340.194	1	340.194	-2	
340.644	-6	340.644	-5	340.644	-8	340.644	-5	340.644	-2	340.644	-3	340.644	-8	340.644	1	340.644	-6	340.644	-3	340.644	-5	340.644	-3	340.644	-2	340.644	-3	
341.094	-3	341.094	1	341.094	1	341.094	-3	341.094	1	341.094	-3	341.094	-3	341.094	-2	341.094	-2	341.094	-7	341.094	-2	341.094	0	341.094	-1	341.094	-6	
341.544	2	341.544	-3	341.544	1	341.544	2	341.544	-2	341.544	-3	341.544	-4	341.544	1	341.544	-1	341.544	1	341.544	-1	341.544	-5	341.544	-2	341.544	-1	
341.994	-4	341.994	-2	341.994	-2	341.994	-3	341.994	-3	341.994	-6	341.994	-3	341.994	-5	341.994	-4	341.994	-4	341.994	0	341.994	-2	341.994	-2	341.994	-5	
342.444	-3	342.444	-4	342.444	1	342.444	0	342.444	1	342.444	1	342.444	-3	342.444	4	342.444	1	342.444	0	342.444	0	342.444	-3	342.444	-1	342.444	1	
342.894	-1	342.894	-2	342.894	-4	342.894	-2	342.894	5	342.894	2	342.894	-3	342.894	2	342.894	1	342.894	-1	342.894	0	342.894	3	342.894	3	342.894	2	
343.344	2	343.344	1	343.344	-1	343.344	0	343.344	0	343.344	-2	343.344	0	343.344	0	343.344	-1	343.344	3	343.344	1	343.344	-4	343.344	1	343.344	3	
343.794	-5	343.794	-1	343.794	-6	343.794	-5	343.794	-4	343.794	-4	343.794	-3	343.794	-6	343.794	-4	343.794	-5	343.794	-5	343.794	-6	343.794	-4	343.794	-6	
344.244	4	344.244	3	344.244	-2	344.244	3	344.244	1	344.244	-3	344.244	-2	344.244	1	344.244	-1	344.244	2	344.244	3	344.244	0	344.244	-3	344.244	-2	
344.695	-6	344.695	-1	344.695	-4	344.695	-4	344.695	-2	344.695	-5	344.695	-8	344.695	-1	344.695	-4	344.695	-3	344.695	0	344.695	-4	344.695	-4	344.695	-6	
345.145	-7	345.145	-3	345.145	-4	345.145	-5	345.145	-7	345.145	-7	345.145	-8	345.145	-4	345.145	-3	345.145	-6	345.145	-6	345.145	-6	345.145	-6	345.145	-10	
345.596	1	345.596	0	345.596	-4	345.596	-1	345.596	-5	345.596	0	345.596	-2	345.596	-2	345.596	-4	345.596	-2	345.596	1	345.596	-1	345.596	1	345.596	-1	
346.046	1	346.046	0	346.046	1	346.046	-2	346.046	2	346.046	-5	346.046	0	346.046	4	346.046	-2	346.046	2	346.046	1	346.046	2	346.046	-1	346.046	-1	
346.497	-1	346.497	0	346.497	-2	346.497	-3	346.497	3	346.497	-1	346.497	3	346.497	0	346.497	-2	346.497	-1	346.497	2	346.497	2	346.497	0	346.497	-3	
346.948	-2	346.948	0	346.948	1	346.948	2	346.948	-1	346.948	0	346.948	-1	346.948	-1	346.948	1	346.948	2	346.948	-2	346.948	1	346.948	3	346.948	2	
347.399	3	347.399	-3	347.399	-1	347.399	-3	347.399	0	347.399	-3	347.399	1	347.399	1	347.399	1	347.399	2	347.399	0	347.399	0	347.399	0	347.399	0	
347.85	1	347.85	2	347.85	-1	347.85	-4	347.85	-1	347.85	-2	347.85	-3	347.85	1	347.85	1	347.85	3	347.85	2	347.85	1	347.85	-2	347.85	0	
348.301	0	348.301	-3	348.301	-2	348.301	-5	348.301	-2	348.301	0	348.301	1	348.301	-3	348.301	-4	348.301	-3	348.301	2	348.301	-3	348.301	-1	348.301	-2	
348.752	3	348.752	2	348.752	1	348.752	-2	348.752	1	348.752	1	348.752	0	348.752	-1	348.752	-2	348.752	0	348.752	4	348.752	3	348.752	1	348.752	2	
349.203	-1	349.203	-2	349.203	1	349.203	-3	349.203	-1	349.203	-4	349.203	-4	349.203	-1	349.203	-4	349.203	-1	349.203	0	349.203	-1	349.203	-3	349.203	2	
349.654	1	349.654	0	349.654	2	349.654	-3	349.654	0	349.654	4	349.654	-1	349.654	-2	349.654	-3	349.654	2	349.654	-1	349.654	0	349.654	3	349.654	-1	
350.106	1	350.106	-1	350.106	0	350.106	-1	350.106	-3	350.106	0	350.106	3	350.106	0	350.106	-4	350.106	-2	350.106	0	350.106	0	350.106	1	350.106	-3	
350.557	-1	350.557	-4	350.557	1	350.557	-3	350.557	-1	350.557	-5	350.557	-4	350.557	-3	350.557	-2	350.557	-3	350.557	-4	350.557	-5	350.557	-6	350.557	-2	
351.009	-2	351.009	-2	351.009	-1	351.009	1	351.009	-4	351.009	-4	351.009	-2	351.009	-1	351.009	-1	351.009	-1	351.009	2	351.009	-1	351.009	-2	351.009	-3	
351.46	0	351.46	-3	351.46	-4	351.46	-2	351.46	0	351.46	-3	351.46	1	351.46	1	351.46	-5	351.46	-4	351.46	-2	351.46	-1	351.46	-1	351.46	1	
351.912	-5	351.912	-2	351.912	0	351.912	-3	351.912	-4	351.912	-1	351.912	3	351.912	-4	351.912	-2	351.912	-4	351.912	1	351.912	-2	351.912	0	351.912	-5	
352.364	-8	352.364	-2	352.364	-4	352.364	-4	352.364	-6	352.364	-7	352.364	-5	352.364	-7	352.364	-6	352.364	-5	352.364	-2	352.364	-2	352.364	-3	352.364	-5	
352.816	2	352.816	1	352.816	-3	352.816	-2	352.816	6	352.816	-4	352.816	3	352.816	1	352.816	-2	352.816	-2	352.816	2	352.816	3	352.816	-2	352.816	3	
353.267	0	353.267	-3	353.267	-3	353.267	-4	353.267	1	353.267	-1	353.267	-1	353.267	-3	353.267	-2	353.267	-2	353.267	-4	353.267	-6	353.267	-1	353.267	2	
353.719	-6	353.719	-3	353.719	-1	353.719	1	353.719	-5	353.719	-3	353.719	-2	353.719	3	353.719	-2	353.719	0	353.719	-2	353.719	-1	353.719	-4	353.719	3	
354.172	-1	354.172	-1	354.172	4	354.172	-6	354.172	-2	354.172	-2	354.172	-1	354.172	2	354.172	-1	354.172	0	354.172	2	354.172	2	354.172	-1	354.172	-4	
354.624	3	354.624	-4	354.624	-2	354.624	2	354.624	2	354.624	-5	354.624	2	354.624	2	354.624	0	354.624	-4	354.624	-2	354.624	-2	354.624	-3	354.624	-1	
355.076	0	355.076	-4	355.076	-2	355.076	-2	355.076	-1	355.076	-1	355.076	-2	355.076	-8	355.076	-3	355.076	-2	355.076	1	355.076	-3	355.076	-5	355.076	-4	
355.528	6	355.528	2	355.528	1	355.528	4	355.528	1	355.528	4	355.528	2	355.528	2	355.528	-2	355.528	3	355.528	1	355.528	3	355.528	6	355.528	5	
355.981	-2	355.981	-1	355.981	-2	355.981	-6	355.981	-1	355.981	-3	355.981	-3	355.981	-6	355.981	-5	355.981	-1	355.981	-1	355.981	-2	355.981	-4	355.981	-8	
356.433	-2	356.433	-4	356.433	0	356.433	-1	356.433	2	356.433	-5	356.433	-8	356.433	-4	356.433	1	356.433	-3	356.433	-1	356.433	-3	356.433	-4	356.433	-5	
356.886	-7	356.886	-9	356.886	-6	356.886	-5	356.886	-5	356.886	-6	356.886	-9	356.886	-1	356.886	-10	356.886	-9	356.886	-8	356.886	-9	356.886	-6	356.886	-4	
357.338	-4	357.338	-2	357.338	-5	357.338	-7	357.338	-5	357.338	-4	357.338	-1	357.338	-5	357.338	-2	357.338	1	357.338	-3	357.338	-2	357.338	-2	357.338	-4	
357.791	0	357.791	-1	357.791	-3	357.791	0	357.791	1	357.791	-2	357.791	0	357.791	0	357.791	2	357.791	-4	357.791	-3	357.791	-6	357.791	0	357.791	0	
358.244	1	358.244	4	358.244	8	358.244	6	358.244	5	358.244	0	358.244	5	358.244	3	358.244	1	358.244	-2	358.244	1	358.244	6	358.244	3	358.244	3	
358.697	-1	358.697	-6	358.697	-2	358.697	-10	358.697	-4	358.697	-4	358.697	-7	358.697	-10	358.697	-3	358.697	-6	358.697	-7	358.697	-4	358.697	-6	358.697	-1	
359.15	0	359.15	2	359.15	-1	359.15	2	359.15	2	359.15	0	359.15	0	359.15	1	359.15	-2	359.15	3	359.15	1	359.15	2	359.15	-1	359.15	-1	
359.603	-2	359.603	-4	359.603	-6	359.603	1	359.603	-5	359.603	-5	359.603	-3	359.603	-3	359.603	-8	359.603	-4	359.603	-1	359.603	-3	359.603	0	359.603	-3	
360.056	-2	360.056	-2	360.056	-4	360.056	-3	360.056	1	360.056	-7	360.056	-1	360.056	0	360.056	-4	360.056	-2	360.056	2	360.056	-2	360.056	-1	360.056	-3	
360.509	4	360.509	-3	360.509	1	360.509	3	360.509	0	360.509	-1	360.509	-2	360.509	-3	360.509	1	360.509	-2	360.509	-1	360.509	-3	360.509	3	360.509	1	
360.962	2	360.962	-5	360.962	-4	360.962	-4	360.962	-2	360.962	-6	360.962	-2	360.962	-5	360.962	-7	360.962	1	360.962	-8	360.962	-3	360.962	-4	360.962	-6	
361.416	2	361.416	0	361.416	-2	361.416	3	361.416	2	361.416	0	361.416	2	361.416	1	361.416	1	361.416	3	361.416	4	361.416	4	361.416	4	361.416	0	
361.869	-1	361.869	2	361.869	-1	361.869	-4	361.869	-3	361.869	-4	361.869	-1	361.869	0	361.869	1	361.869	-8	361.869	1	361.869	-4	361.869	3	361.869	-1	
362.323	-1	362.323	-2	362.323	-2	362.323	-7	362.323	2	362.323	-4	362.323	-5	362.323	1	362.323	-4	362.323	-2	362.323	-1	362.323	-3	362.323	0	362.323	-2	
362.776	-5	362.776	-2	362.776	-6	362.776	-9	362.776	-3	362.776	2	362.776	-4	362.776	-3	362.776	-6	362.776	-3	362.776	-1	362.776	-3	362.776	-5	362.776	-6	
363.23	3	363.23	0	363.23	-5	363.23	0	363.23	-4	363.23	-6	363.23	-2	363.23	0	363.23	-2	363.23	-4	363.23	-1	363.23	-2	363.23	-1	363.23	0	
363.684	-3	363.684	-2	363.684	-5	363.684	0	363.684	-5	363.684	-4	363.684	-6	363.684	-2	363.684	-2	363.684	-5	363.684	-4	363.684	-6	363.684	-5	363.684	-8	
364.138	2	364.138	1	364.138	-1	364.138	-3	364.138	2	364.138	0	364.138	-1	364.138	1	364.138	1	364.138	3	364.138	0	364.138	-2	364.138	4	364.138	-1	
364.591	0	364.591	3	364.591	4	364.591	-1	364.591	1	364.591	-2	364.591	3	364.591	-2	364.591	1	364.591	6	364.591	2	364.591	0	364.591	-1	364.591	2	
365.045	-2	365.045	-4	365.045	2	365.045	-2	365.045	-2	365.045	-1	365.045	-4	365.045	0	365.045	-2	365.045	-1	365.045	4	365.045	-3	365.045	-1	365.045	-5	
365.499	2	365.499	0	365.499	3	365.499	1	365.499	-1	365.499	-2	365.499	-1	365.499	2	365.499	-4	365.499	1	365.499	-1	365.499	-1	365.499	1	365.499	-3	
365.954	-1	365.954	1	365.954	-1	365.954	-2	365.954	2	365.954	1	365.954	0	365.954	1	365.954	-2	365.954	0	365.954	3	365.954	-1	365.954	-4	365.954	-1	
366.408	-3	366.408	-2	366.408	-5	366.408	3	366.408	-2	366.408	-4	366.408	-2	366.408	-4	366.408	-5	366.408	-2	366.408	-3	366.408	-6	366.408	0	366.408	-4	
366.862	1	366.862	5	366.862	2	366.862	-1	366.862	-1	366.862	2	366.862	-1	366.862	-1	366.862	1	366.862	-1	366.862	6	366.862	-3	366.862	-1	366.862	0	
367.316	0	367.316	2	367.316	1	367.316	1	367.316	2	367.316	-2	367.316	0	367.316	-3	367.316	-1	367.316	-2	367.316	0	367.316	-1	367.316	5	367.316	2	
367.771	1	367.771	-1	367.771	-2	367.771	-1	367.771	1	367.771	-3	367.771	-3	367.771	-1	367.771	-5	367.771	2	367.771	-4	367.771	-3	367.771	0	367.771	-3	
368.225	4	368.225	0	368.225	-3	368.225	2	368.225	0	368.225	-1	368.225	3	368.225	-1	368.225	-1	368.225	-1	368.225	-3	368.225	2	368.225	2	368.225	3	
368.68	2	368.68	-3	368.68	4	368.68	-3	368.68	3	368.68	3	368.68	1	368.68	-1	368.68	2	368.68	-1	368.68	6	368.68	-2	368.68	1	368.68	3	
369.135	2	369.135	2	369.135	3	369.135	5	369.135	1	369.135	3	369.135	1	369.135	3	369.135	4	369.135	0	369.135	1	369.135	4	369.135	1	369.135	3	
369.59	2	369.59	1	369.59	-1	369.59	-1	369.59	-1	369.59	3	369.59	-2	369.59	1	369.59	-1	369.59	-2	369.59	-4	369.59	1	369.59	1	369.59	1	
370.044	2	370.044	1	370.044	0	370.044	5	370.044	0	370.044	0	370.044	2	370.044	-4	370.044	1	370.044	-3	370.044	4	370.044	-1	370.044	3	370.044	-3	
370.499	-2	370.499	-4	370.499	-4	370.499	-2	370.499	1	370.499	-4	370.499	3	370.499	0	370.499	3	370.499	-2	370.499	0	370.499	-3	370.499	0	370.499	0	
370.954	1	370.954	2	370.954	-2	370.954	-2	370.954	2	370.954	1	370.954	1	370.954	0	370.954	-2	370.954	2	370.954	-5	370.954	-2	370.954	-2	370.954	-1	
371.409	-3	371.409	-6	371.409	-1	371.409	-1	371.409	-1	371.409	0	371.409	-5	371.409	-5	371.409	3	371.409	-4	371.409	0	371.409	-1	371.409	-2	371.409	-5	
371.864	-3	371.864	-4	371.864	-1	371.864	-2	371.864	-2	371.864	-6	371.864	-2	371.864	-1	371.864	-4	371.864	-2	371.864	-1	371.864	0	371.864	-2	371.864	-8	
372.32	2	372.32	-2	372.32	1	372.32	-1	372.32	1	372.32	0	372.32	2	372.32	0	372.32	-2	372.32	1	372.32	-2	372.32	4	372.32	2	372.32	-1	
372.775	4	372.775	6	372.775	1	372.775	0	372.775	2	372.775	0	372.775	1	372.775	5	372.775	0	372.775	3	372.775	-1	372.775	0	372.775	1	372.775	-2	
373.23	-5	373.23	-6	373.23	-3	373.23	-6	373.23	-2	373.23	-3	373.23	-7	373.23	-2	373.23	-5	373.23	-5	373.23	-4	373.23	-5	373.23	-8	373.23	-4	
373.686	-2	373.686	-2	373.686	-2	373.686	-5	373.686	0	373.686	-2	373.686	-2	373.686	-1	373.686	1	373.686	-9	373.686	-2	373.686	-2	373.686	3	373.686	-2	
374.141	-1	374.141	1	374.141	-1	374.141	0	374.141	0	374.141	0	374.141	0	374.141	1	374.141	3	374.141	2	374.141	2	374.141	2	374.141	1	374.141	1	
374.597	-2	374.597	0	374.597	1	374.597	2	374.597	-2	374.597	1	374.597	-3	374.597	0	374.597	3	374.597	-2	374.597	4	374.597	-3	374.597	1	374.597	0	
