S17176_1:101		Capture_1:201		Capture_2:202		Capture_3:203		Capture_4:204		Capture_5:205		Capture_6:206		Capture_7:207		Capture_8:208		Capture_9:209		Capture_10:210		Capture_11:211		Capture_12:212		Capture_13:213		Capture_14:214		
351.46	-1	351.46	-2	351.46	-3	351.46	-5	351.46	0	351.46	0	351.46	-1	351.46	-1	351.46	1	351.46	-1	351.46	-1	351.46	7	351.46	0	351.46	-6	351.46	-3	
351.912	-2	351.912	1	351.912	-1	351.912	0	351.912	1	351.912	1	351.912	-1	351.912	-1	351.912	-1	351.912	2	351.912	3	351.912	3	351.912	-1	351.912	-2	351.912	0	
352.364	-3	352.364	-4	352.364	-3	352.364	-2	352.364	-2	352.364	-4	352.364	-7	352.364	-1	352.364	-3	352.364	-2	352.364	-1	352.364	0	352.364	-5	352.364	1	352.364	-6	
352.816	-1	352.816	2	352.816	3	352.816	-3	352.816	-1	352.816	2	352.816	1	352.816	3	352.816	1	352.816	-1	352.816	4	352.816	4	352.816	3	352.816	4	352.816	1	
353.267	0	353.267	7	353.267	-2	353.267	0	353.267	0	353.267	-4	353.267	1	353.267	2	353.267	1	353.267	2	353.267	2	353.267	1	353.267	3	353.267	1	353.267	-3	
353.719	0	353.719	-2	353.719	-4	353.719	1	353.719	-3	353.719	-3	353.719	2	353.719	-2	353.719	0	353.719	-3	353.719	-2	353.719	-1	353.719	1	353.719	-1	353.719	-5	
354.172	2	354.172	1	354.172	4	354.172	3	354.172	2	354.172	3	354.172	1	354.172	5	354.172	3	354.172	1	354.172	-5	354.172	3	354.172	-1	354.172	2	354.172	3	
354.624	1	354.624	-1	354.624	2	354.624	-4	354.624	-1	354.624	-2	354.624	0	354.624	-3	354.624	2	354.624	-2	354.624	7	354.624	-3	354.624	1	354.624	-3	354.624	1	
355.076	-1	355.076	0	355.076	1	355.076	-7	355.076	0	355.076	-6	355.076	-5	355.076	-3	355.076	-6	355.076	-2	355.076	-4	355.076	-2	355.076	-7	355.076	-2	355.076	0	
355.528	2	355.528	5	355.528	4	355.528	6	355.528	5	355.528	4	355.528	7	355.528	6	355.528	11	355.528	8	355.528	0	355.528	9	355.528	6	355.528	2	355.528	2	
355.981	-1	355.981	0	355.981	0	355.981	0	355.981	-4	355.981	-3	355.981	4	355.981	1	355.981	6	355.981	1	355.981	-2	355.981	-1	355.981	-1	355.981	-1	355.981	-1	
356.433	-4	356.433	-3	356.433	-2	356.433	-2	356.433	-4	356.433	-1	356.433	1	356.433	-1	356.433	-4	356.433	2	356.433	3	356.433	-5	356.433	3	356.433	-1	356.433	-1	
356.886	-4	356.886	1	356.886	0	356.886	-5	356.886	-5	356.886	-5	356.886	1	356.886	-5	356.886	-4	356.886	-4	356.886	-3	356.886	-3	356.886	-6	356.886	-5	356.886	-4	
357.338	2	357.338	1	357.338	1	357.338	1	357.338	1	357.338	-2	357.338	-1	357.338	2	357.338	2	357.338	4	357.338	0	357.338	-2	357.338	0	357.338	-3	357.338	1	
357.791	0	357.791	0	357.791	-3	357.791	4	357.791	0	357.791	-4	357.791	-2	357.791	-1	357.791	4	357.791	3	357.791	-7	357.791	0	357.791	-2	357.791	4	357.791	-2	
358.244	3	358.244	2	358.244	-1	358.244	5	358.244	2	358.244	1	358.244	0	358.244	2	358.244	5	358.244	3	358.244	-1	358.244	5	358.244	0	358.244	-1	358.244	3	
358.697	-7	358.697	0	358.697	-2	358.697	-3	358.697	-4	358.697	-4	358.697	-6	358.697	-2	358.697	-3	358.697	-5	358.697	-2	358.697	-7	358.697	1	358.697	-3	358.697	-4	
359.15	0	359.15	4	359.15	-3	359.15	-1	359.15	-1	359.15	3	359.15	4	359.15	0	359.15	-3	359.15	3	359.15	-1	359.15	-1	359.15	5	359.15	-1	359.15	-2	
359.603	0	359.603	-6	359.603	-5	359.603	-2	359.603	-5	359.603	-5	359.603	0	359.603	-3	359.603	-5	359.603	0	359.603	1	359.603	0	359.603	-1	359.603	-4	359.603	0	
360.056	-1	360.056	-2	360.056	-2	360.056	-4	360.056	-1	360.056	-2	360.056	1	360.056	0	360.056	-6	360.056	-4	360.056	-1	360.056	3	360.056	-2	360.056	-4	360.056	0	
360.509	8	360.509	3	360.509	4	360.509	0	360.509	1	360.509	2	360.509	1	360.509	3	360.509	4	360.509	3	360.509	1	360.509	0	360.509	1	360.509	1	360.509	2	
360.962	-3	360.962	0	360.962	-1	360.962	-1	360.962	-3	360.962	-2	360.962	-1	360.962	1	360.962	-2	360.962	2	360.962	1	360.962	1	360.962	-2	360.962	-2	360.962	0	
361.416	3	361.416	-2	361.416	4	361.416	5	361.416	1	361.416	2	361.416	4	361.416	1	361.416	6	361.416	6	361.416	4	361.416	3	361.416	1	361.416	4	361.416	4	
361.869	-3	361.869	2	361.869	0	361.869	1	361.869	-2	361.869	1	361.869	0	361.869	-2	361.869	3	361.869	1	361.869	-1	361.869	0	361.869	-2	361.869	4	361.869	5	
362.323	0	362.323	3	362.323	2	362.323	4	362.323	3	362.323	0	362.323	1	362.323	2	362.323	1	362.323	5	362.323	3	362.323	5	362.323	2	362.323	0	362.323	3	
362.776	-2	362.776	0	362.776	-2	362.776	-6	362.776	-1	362.776	-5	362.776	-4	362.776	-4	362.776	-1	362.776	0	362.776	-4	362.776	-3	362.776	-4	362.776	-3	362.776	0	
363.23	-5	363.23	0	363.23	4	363.23	-1	363.23	-3	363.23	-2	363.23	-1	363.23	-1	363.23	0	363.23	0	363.23	0	363.23	-1	363.23	-2	363.23	-3	363.23	-3	
363.684	-4	363.684	-2	363.684	-3	363.684	-5	363.684	-4	363.684	-2	363.684	-2	363.684	-3	363.684	-2	363.684	-5	363.684	-3	363.684	0	363.684	-7	363.684	-1	363.684	-1	
364.138	0	364.138	2	364.138	2	364.138	0	364.138	4	364.138	0	364.138	3	364.138	4	364.138	1	364.138	3	364.138	1	364.138	1	364.138	1	364.138	0	364.138	2	
364.591	-4	364.591	2	364.591	-1	364.591	-2	364.591	-2	364.591	0	364.591	-1	364.591	4	364.591	-1	364.591	0	364.591	-2	364.591	0	364.591	-1	364.591	-2	364.591	0	
365.045	1	365.045	-1	365.045	-3	365.045	-1	365.045	1	365.045	2	365.045	2	365.045	-3	365.045	4	365.045	-1	365.045	0	365.045	1	365.045	-2	365.045	-3	365.045	-1	
365.499	2	365.499	2	365.499	-1	365.499	-1	365.499	-1	365.499	2	365.499	0	365.499	-1	365.499	1	365.499	2	365.499	1	365.499	-1	365.499	-3	365.499	2	365.499	0	
365.954	4	365.954	7	365.954	5	365.954	5	365.954	6	365.954	1	365.954	3	365.954	6	365.954	5	365.954	1	365.954	7	365.954	2	365.954	3	365.954	3	365.954	1	
366.408	-4	366.408	-1	366.408	1	366.408	-4	366.408	-6	366.408	-3	366.408	-2	366.408	-4	366.408	-4	366.408	-3	366.408	-5	366.408	-2	366.408	-1	366.408	-8	366.408	-4	
366.862	0	366.862	0	366.862	2	366.862	4	366.862	-5	366.862	1	366.862	0	366.862	4	366.862	2	366.862	1	366.862	2	366.862	3	366.862	-1	366.862	1	366.862	0	
367.316	2	367.316	-2	367.316	0	367.316	6	367.316	5	367.316	4	367.316	6	367.316	2	367.316	4	367.316	6	367.316	3	367.316	2	367.316	3	367.316	2	367.316	3	
367.771	2	367.771	2	367.771	4	367.771	3	367.771	3	367.771	0	367.771	2	367.771	4	367.771	0	367.771	1	367.771	3	367.771	0	367.771	1	367.771	1	367.771	0	
368.225	2	368.225	0	368.225	-1	368.225	-1	368.225	2	368.225	2	368.225	-1	368.225	0	368.225	2	368.225	2	368.225	5	368.225	2	368.225	-1	368.225	-1	368.225	1	
368.68	1	368.68	1	368.68	2	368.68	-2	368.68	2	368.68	2	368.68	2	368.68	-1	368.68	-1	368.68	3	368.68	-2	368.68	3	368.68	-4	368.68	2	368.68	7	
369.135	0	369.135	-3	369.135	-2	369.135	1	369.135	-2	369.135	0	369.135	-1	369.135	3	369.135	0	369.135	2	369.135	4	369.135	0	369.135	3	369.135	0	369.135	1	
369.59	2	369.59	2	369.59	5	369.59	0	369.59	3	369.59	-1	369.59	-1	369.59	2	369.59	5	369.59	3	369.59	2	369.59	-1	369.59	1	369.59	1	369.59	-1	
370.044	-1	370.044	6	370.044	0	370.044	3	370.044	3	370.044	3	370.044	1	370.044	6	370.044	6	370.044	1	370.044	2	370.044	3	370.044	-2	370.044	3	370.044	-3	
370.499	4	370.499	-1	370.499	-1	370.499	-2	370.499	3	370.499	-1	370.499	1	370.499	0	370.499	2	370.499	-2	370.499	0	370.499	0	370.499	0	370.499	-2	370.499	-1	
370.954	2	370.954	0	370.954	4	370.954	0	370.954	-1	370.954	-2	370.954	1	370.954	0	370.954	2	370.954	0	370.954	3	370.954	0	370.954	3	370.954	-4	370.954	-1	
371.409	-6	371.409	-4	371.409	-4	371.409	-4	371.409	-3	371.409	-6	371.409	-4	371.409	2	371.409	-1	371.409	-5	371.409	-6	371.409	-4	371.409	-6	371.409	1	371.409	-4	
371.864	0	371.864	2	371.864	0	371.864	-6	371.864	0	371.864	3	371.864	-1	371.864	-1	371.864	3	371.864	-2	371.864	-2	371.864	1	371.864	-2	371.864	-2	371.864	1	
372.32	-3	372.32	1	372.32	-3	372.32	0	372.32	-3	372.32	-1	372.32	2	372.32	1	372.32	-1	372.32	0	372.32	-2	372.32	-1	372.32	-1	372.32	-1	372.32	-2	
372.775	4	372.775	5	372.775	3	372.775	2	372.775	6	372.775	1	372.775	3	372.775	6	372.775	4	372.775	3	372.775	5	372.775	4	372.775	3	372.775	4	372.775	2	
373.23	-4	373.23	-2	373.23	4	373.23	0	373.23	2	373.23	-2	373.23	-2	373.23	-4	373.23	1	373.23	-2	373.23	1	373.23	-1	373.23	1	373.23	1	373.23	-2	
373.686	2	373.686	-1	373.686	4	373.686	2	373.686	-4	373.686	0	373.686	1	373.686	1	373.686	-2	373.686	-4	373.686	0	373.686	2	373.686	0	373.686	0	373.686	-1	
374.141	2	374.141	1	374.141	-4	374.141	-2	374.141	-1	374.141	2	374.141	0	374.141	-1	374.141	2	374.141	-1	374.141	0	374.141	-6	374.141	3	374.141	1	374.141	0	
374.597	3	374.597	3	374.597	0	374.597	6	374.597	1	374.597	-1	374.597	-1	374.597	5	374.597	0	374.597	4	374.597	4	374.597	4	374.597	2	374.597	1	374.597	4	
375.053	7	375.053	5	375.053	2	375.053	0	375.053	2	375.053	4	375.053	0	375.053	4	375.053	2	375.053	2	375.053	6	375.053	4	375.053	6	375.053	0	375.053	1	
