S17176_1:101		
337.498	3	
337.947	1	
338.397	4	
338.846	1	
339.295	-4	
339.745	1	
340.194	1	
340.644	2	
341.094	-5	
341.544	7	
341.994	1	
342.444	2	
342.894	6	
343.344	7	
343.794	-4	
344.244	2	
344.695	3	
345.145	-2	
345.596	-1	
346.046	-2	
346.497	3	
346.948	5	
347.399	-2	
347.85	1	
348.301	4	
348.752	-1	
349.203	3	
349.654	1	
350.106	-3	
350.557	0	
351.009	1	
351.46	3	
351.912	-4	
352.364	-1	
352.816	6	
353.267	1	
353.719	-4	
354.172	4	
354.624	3	
355.076	1	
355.528	5	
355.981	3	
356.433	4	
356.886	-1	
357.338	-2	
357.791	2	
358.244	5	
358.697	-2	
359.15	1	
359.603	1	
360.056	-2	
360.509	2	
360.962	0	
361.416	8	
361.869	1	
362.323	6	
362.776	-4	
363.23	0	
363.684	-2	
364.138	3	
364.591	4	
365.045	2	
365.499	9	
365.954	8	
366.408	-1	
366.862	1	
367.316	7	
367.771	5	
368.225	2	
368.68	3	
369.135	6	
369.59	6	
370.044	-1	
370.499	-2	
370.954	8	
371.409	3	
371.864	3	
372.32	1	
372.775	6	
373.23	1	
373.686	5	
374.141	1	
374.597	2	
375.053	3	
375.508	2	
375.964	-2	
376.42	0	
376.876	-9	
377.332	2	
377.788	4	
378.244	2	
378.701	8	
379.157	1	
379.614	-2	
380.07	-2	
380.527	6	
380.983	1	
381.44	-1	
381.897	5	
382.354	3	
382.811	2	
383.268	4	
383.725	-1	
384.182	5	
384.639	4	
385.097	5	
385.554	-2	
386.011	1	
386.469	6	
386.927	2	
387.384	5	
387.842	4	
388.3	2	
388.758	3	
389.216	0	
389.674	2	
390.132	2	
390.59	4	
391.049	3	
391.507	2	
391.965	3	
392.424	0	
392.882	6	
393.341	-2	
393.8	-4	
394.259	1	
394.718	2	
395.176	6	
395.635	3	
396.095	4	
396.554	6	
397.013	-4	
397.472	3	
397.932	3	
398.391	2	
398.851	1	
399.31	3	
399.77	-1	
400.23	1	
400.689	5	
401.149	4	
401.609	7	
402.069	1	
402.529	5	
402.989	4	
403.45	-2	
403.91	6	
404.37	2	
404.831	3	
405.291	5	
405.752	5	
406.213	2	
406.673	1	
407.134	6	
407.595	3	
408.056	5	
408.517	5	
408.978	1	
409.439	1	
409.9	1	
410.362	2	
410.823	4	
411.284	10	
411.746	-2	
412.207	6	
412.669	5	
413.131	0	
413.593	3	
414.054	12	
414.516	9	
414.978	3	
415.44	8	
415.902	12	
416.365	12	
416.827	14	
417.289	5	
417.752	10	
418.214	10	
418.677	10	
419.139	15	
419.602	12	
420.065	16	
420.527	18	
420.99	19	
421.453	22	
421.916	17	
422.379	25	
422.842	26	
423.306	28	
423.769	32	
424.232	24	
424.696	35	
425.159	32	
425.623	39	
426.086	43	
426.55	45	
427.014	44	
427.477	46	
427.941	51	
428.405	57	
428.869	56	
429.333	63	
429.797	65	
430.262	72	
430.726	75	
431.19	87	
431.655	88	
432.119	91	
432.584	103	
433.048	109	
433.513	116	
433.977	121	
434.442	133	
434.907	150	
435.372	155	
435.837	156	
436.302	176	
436.767	190	
437.232	200	
437.698	208	
438.163	226	
438.628	241	
439.094	248	
439.559	265	
440.025	270	
440.49	291	
440.956	305	
441.422	323	
441.888	334	
442.354	357	
442.819	375	
443.286	386	
