S17176_1:101		
337.498	3	
337.947	6	
338.397	3	
338.846	-1	
339.295	1	
339.745	-1	
340.194	-2	
340.644	-3	
341.094	-2	
341.544	-2	
341.994	2	
342.444	3	
342.894	1	
343.344	0	
343.794	-1	
344.244	-1	
344.695	-5	
345.145	-3	
345.596	7	
346.046	3	
346.497	2	
346.948	4	
347.399	3	
347.85	6	
348.301	1	
348.752	3	
349.203	4	
349.654	3	
350.106	-2	
350.557	-3	
351.009	-1	
351.46	-3	
351.912	0	
352.364	-2	
352.816	0	
353.267	0	
353.719	3	
354.172	5	
354.624	4	
355.076	2	
355.528	3	
355.981	-1	
356.433	0	
356.886	-4	
357.338	-5	
357.791	-1	
358.244	5	
358.697	6	
359.15	1	
359.603	3	
360.056	-1	
360.509	2	
360.962	-4	
361.416	5	
361.869	-1	
362.323	6	
362.776	-7	
363.23	0	
363.684	-3	
364.138	2	
364.591	-1	
365.045	-2	
365.499	7	
365.954	5	
366.408	2	
366.862	3	
367.316	-1	
367.771	-3	
368.225	7	
368.68	2	
369.135	5	
369.59	4	
370.044	3	
370.499	-2	
370.954	-1	
371.409	2	
371.864	-2	
372.32	3	
372.775	3	
373.23	-3	
373.686	0	
374.141	3	
374.597	2	
375.053	4	
375.508	2	
375.964	0	
376.42	0	
376.876	-9	
377.332	-1	
377.788	5	
378.244	0	
378.701	3	
379.157	0	
379.614	4	
380.07	-2	
380.527	3	
380.983	0	
381.44	7	
381.897	-4	
382.354	-5	
382.811	-1	
383.268	4	
383.725	3	
384.182	1	
384.639	4	
385.097	2	
385.554	5	
386.011	-7	
386.469	1	
386.927	5	
387.384	-1	
387.842	3	
388.3	2	
388.758	7	
389.216	2	
389.674	4	
390.132	8	
390.59	5	
391.049	2	
391.507	4	
391.965	0	
392.424	3	
392.882	4	
393.341	-1	
393.8	1	
394.259	3	
394.718	4	
395.176	4	
395.635	5	
396.095	3	
396.554	0	
397.013	0	
397.472	4	
397.932	-2	
398.391	2	
398.851	0	
399.31	3	
399.77	-1	
400.23	1	
400.689	3	
401.149	4	
401.609	6	
402.069	5	
402.529	5	
402.989	6	
403.45	2	
403.91	6	
404.37	0	
404.831	1	
405.291	6	
405.752	7	
406.213	-1	
406.673	5	
407.134	6	
407.595	7	
408.056	5	
408.517	8	
408.978	11	
409.439	2	
409.9	1	
410.362	-1	
410.823	11	
411.284	8	
411.746	1	
412.207	8	
412.669	9	
413.131	10	
413.593	6	
414.054	11	
414.516	13	
414.978	11	
415.44	9	
415.902	13	
416.365	18	
416.827	17	
417.289	15	
417.752	21	
418.214	18	
418.677	21	
419.139	18	
419.602	24	
420.065	32	
420.527	29	
420.99	26	
421.453	36	
421.916	38	
422.379	42	
422.842	43	
423.306	42	
423.769	47	
424.232	44	
424.696	55	
425.159	57	
425.623	72	
426.086	70	
426.55	74	
427.014	81	
427.477	81	
427.941	88	
428.405	95	
428.869	104	
429.333	109	
429.797	114	
430.262	123	
430.726	135	
431.19	144	
431.655	153	
432.119	167	
432.584	180	
433.048	199	
433.513	207	
433.977	226	
434.442	249	
434.907	269	
435.372	280	
435.837	306	
436.302	325	
436.767	345	
437.232	362	
437.698	387	
438.163	416	
438.628	435	
439.094	460	
439.559	487	
440.025	510	
440.49	545	
440.956	579	
441.422	610	
441.888	646	
442.354	682	
442.819	723	
443.286	774	
443.752	816	
444.218	874	
444.684	924	
445.15	985	
445.617	1070	
446.083	1121	
446.549	1197	
447.016	1277	
447.482	1340	
447.949	1411	
448.416	1472	
448.883	1551	
449.349	1599	
449.816	1663	
450.283	1735	
450.75	1759	
451.217	1808	
451.684	1826	
452.152	1852	
452.619	1893	
453.086	1892	
453.554	1949	
454.021	1912	
454.489	1927	
454.956	1917	
455.424	1937	
455.892	1894	
456.359	1898	
456.827	1881	
457.295	1853	
457.763	1810	
458.231	1800	
458.699	1759	
459.167	1658	
459.635	1598	
460.104	1553	
460.572	1476	
461.04	1372	
461.509	1315	
461.977	1238	
462.446	1166	
462.914	1091	
463.383	1046	
463.852	998	
464.32	961	
464.789	895	
465.258	858	
465.727	825	
466.196	789	
466.665	767	
467.134	730	
467.604	722	
468.073	698	
468.542	671	
469.012	649	
469.481	642	
469.95	627	
470.42	611	
470.89	592	
471.359	566	
471.829	559	
472.299	544	
472.769	523	
473.239	506	
473.709	478	
474.179	466	
474.649	434	
475.119	410	
475.589	390	
476.059	370	
476.529	353	
477	333	
477.47	320	
477.941	305	
478.411	279	
478.882	245	
479.353	251	
479.823	246	
480.294	228	
480.765	218	
481.236	210	
481.707	206	
482.178	197	
482.649	189	
483.12	184	
483.591	181	
484.062	177	
484.533	172	
485.005	162.5	
485.476	153	
485.948	163	
486.419	153	
486.891	156	
487.362	149	
487.834	141	
488.306	142	
488.777	141	
489.249	130	
489.721	130	
490.193	129	
490.665	123	
491.137	123	
491.609	118	
492.081	111	
492.554	111	
493.026	106	
493.498	104	
493.971	99	
494.443	96	
494.915	99	
495.388	97	
495.861	92	
496.333	90.5	
496.806	89	
497.279	90	
497.752	88	
498.224	89	
498.697	90	
499.17	87	
499.643	94	
500.116	88	
500.59	82	
501.063	88	
501.536	88	
502.009	90	
502.483	90	
502.956	94	
503.429	95	
503.903	98	
504.376	99	
504.85	99	
505.324	104	
505.797	101	
506.271	103	
506.745	100	
507.219	105	
507.693	100	
508.167	106	
508.641	110	
509.115	112	
509.589	117	
510.063	115	
510.537	113	
511.012	117	
511.486	123	
511.96	112	
512.435	120	
512.909	122	
513.384	116	
513.858	121	
514.333	124	
514.808	123	
515.283	123	
515.757	128	
516.232	123	
516.707	131	
517.182	130	
517.657	128	
518.132	136	
518.607	138	
519.082	139	
519.557	136	
520.033	139	
520.508	141	
520.983	137	
521.459	146	
521.934	143	
522.41	140	
522.885	146	
523.361	145	
523.836	147	
524.312	148	
524.788	150	
525.264	151	
525.739	147	
526.215	149	
526.691	147	
527.167	151	
527.643	144	
528.119	146	
528.595	147	
529.072	147	
529.548	149	
530.024	150	
530.5	151	
530.977	152	
531.453	155	
531.93	153	
532.406	155	
532.883	155	
533.359	157	
533.836	154	
534.313	151	
534.789	157	
535.266	162	
535.743	159	
536.22	155	
536.697	161	
537.174	169	
537.651	160	
538.128	166	
538.605	162	
539.082	163	
539.559	160	
540.037	158	
540.514	159	
540.991	160	
541.469	158	
541.946	158	
542.424	162	
542.901	160	
543.379	161	
543.856	157	
544.334	161	
544.812	161	
545.289	156	
545.767	153	
546.245	157	
546.723	161	
547.201	156	
547.679	155	
548.157	151	
548.635	153	
549.113	154	
549.591	160	
550.069	154	
550.548	156	
551.026	155	
551.504	158	
551.983	158	
552.461	163	
552.94	162	
553.418	159	
553.897	155	
554.375	161	
554.854	159	
555.333	163	
555.811	163	
556.29	159	
556.769	163	
557.248	150	
557.727	166	
558.206	168	
558.685	161	
559.164	166	
559.643	157	
560.122	167	
560.601	159	
561.08	167	
561.559	162	
562.039	156	
562.518	162	
562.997	159	
563.477	158	
563.956	154	
564.436	157	
564.915	164	
565.395	156	
565.875	159	
566.354	153	
566.834	157	
567.314	154	
567.793	154	
568.273	153	
568.753	158	
569.233	154	
569.713	156	
570.193	156	
570.673	153	
571.153	152	
571.633	155	
572.113	149	
572.594	151	
573.074	155	
573.554	156	
574.034	156	
574.515	159	
574.995	154	
575.476	156	
575.956	161	
576.437	163	
576.917	162	
577.398	155	
577.878	163	
578.359	158	
578.84	162	
579.32	164	
579.801	162	
580.282	161	
580.763	159	
581.244	159	
581.725	160	
582.206	162	
582.687	161	
583.168	160	
583.649	158	
584.13	160	
584.611	163	
585.093	151	
585.574	159	
586.055	163	
586.536	156	
587.018	164	
587.499	157	
587.981	156	
588.462	155	
588.944	158	
589.425	148	
589.907	149	
590.388	153	
590.87	149	
591.352	153	
591.834	152	
592.315	150	
592.797	152	
593.279	149	
593.761	150	
594.243	151	
594.725	146	
595.207	149	
595.689	144	
596.171	149	
596.653	148	
597.135	149	
597.617	144	
598.1	144	
598.582	152	
599.064	145	
599.546	149	
600.029	142	
600.511	145	
600.994	142	
601.476	142	
601.959	140	
602.441	144	
602.924	143.5	
603.406	143	
