DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -1.35207046, -17.33091339,  -1.430384  ,  -1.49806413])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -1.49257833, -17.33091339,  -1.430384  ,  -1.49806413])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.430384  ,  -1.49806413])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.57079465,  -1.49806413])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.70360647,  -1.49806413])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.70360647,  -1.63848103])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -1.62643491, -17.33091339,  -1.70360647,  -1.77676066])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -1.76626485, -17.33091339,  -1.70360647,  -1.77676066])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.70360647,  -1.77676066])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.84334713,  -1.77676066])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.97604694,  -1.77676066])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.97604694,  -1.91645087])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -1.89940681, -17.33091339,  -1.97604694,  -2.05355945])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -2.03856256, -17.33091339,  -1.97604694,  -2.05355945])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -2.17104823, -17.33091339,  -1.97604694,  -2.05355945])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -2.17104823, -17.33091339,  -2.11511539,  -2.05355945])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -2.17104823, -17.33091339,  -2.2476008 ,  -2.05355945])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -2.17104823, -17.33091339,  -2.2476008 ,  -2.19253166])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -2.17104823, -17.33091339,  -2.2476008 ,  -2.32852807])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -2.30953298, -17.33091339,  -2.2476008 ,  -2.32852807])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -2.44140519, -17.33091339,  -2.2476008 ,  -2.32852807])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -2.44140519, -17.33091339,  -2.38599591,  -2.32852807])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -2.44140519, -17.33091339,  -2.51818095,  -2.32852807])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -2.44140519, -17.33091339,  -2.51818095,  -2.46679035])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -2.44140519, -17.33091339,  -2.51818095,  -2.60173101])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -2.57922171, -17.33091339,  -2.51818095,  -2.60173101])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -2.71051094, -17.33091339,  -2.51818095,  -2.60173101])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -2.71051094, -17.33091339,  -2.65590248,  -2.60173101])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -2.71051094, -17.33091339,  -2.78771567,  -2.60173101])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -2.71051094, -17.33091339,  -2.78771567,  -2.73929088])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -2.71051094, -17.33091339,  -2.78771567,  -2.87322885])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -2.84766176, -17.33091339,  -2.78771567,  -2.87322885])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 0, 'action vals for state': array([ -2.97838879, -17.33091339,  -2.78771567,  -2.87322885])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -2.97838879, -17.33091339,  -2.92476413,  -2.87322885])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 2, 'action vals for state': array([ -2.97838879, -17.33091339,  -3.05614655,  -2.87322885])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -2.97838879, -17.33091339,  -3.05614655,  -3.01009326])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -2.97838879, -17.33091339,  -3.05614655,  -3.14307778])}
DEBUG:exp:{'x': 24, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 1, 'action vals for state': array([ -2.97838879, -16.03214836,  -3.05614655,  -3.14307778])}
DEBUG:exp:{'x': 25, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -3.11162931, -16.03214836,  -3.05614655,  -3.14307778])}
DEBUG:exp:{'x': 13, 'pi': array([0.025, 0.025, 0.925, 0.025]), 'a': 2, 'action vals for state': array([ -3.11162931, -16.03214836,  -3.18894259,  -3.14307778])}
DEBUG:exp:{'x': 25, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 2, 'action vals for state': array([ -3.11162931, -16.03214836, -13.21378446,  -3.14307778])}
DEBUG:exp:{'x': 36, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -3.26926461, -16.03214836, -13.21378446,  -3.14307778])}
DEBUG:exp:{'x': 24, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -3.41436084, -16.03214836, -13.21378446,  -3.14307778])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -3.41436084, -16.03214836, -13.21378446,  -3.30115543])}
DEBUG:exp:{'x': 12, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -3.41436084, -16.03214836, -13.21378446,  -3.4580475 ])}
DEBUG:exp:{'x': 12, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -3.41436084, -16.03214836, -13.21378446,  -3.60983108])}
DEBUG:exp:{'x': 12, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -3.57089254, -16.03214836, -13.21378446,  -3.60983108])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -3.72625026, -16.03214836, -13.21378446,  -3.60983108])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 0, 'action vals for state': array([ -3.86996507, -16.03214836, -13.21378446,  -3.60983108])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -3.86996507, -16.03214836, -13.21378446,  -3.76554709])}
DEBUG:exp:{'x': 0, 'pi': array([0.025, 0.025, 0.025, 0.925]), 'a': 3, 'action vals for state': array([ -3.86996507, -16.03214836, -13.21378446,  -3.92009523])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 3, 'action vals for state': array([ -3.86996507, -16.03214836, -13.21378446,  -4.06897255])}
DEBUG:exp:{'x': 0, 'pi': array([0.925, 0.025, 0.025, 0.025]), 'a': 0, 'action vals for state': array([ -4.02422759, -16.03214836, -13.21378446,  -4.06897255])}
