steps,frame,state,reward,area,time,config_id,seed,action,experiment.step_duration,experiment.update_freq,filepath,environment.zone,compatibility_mode,environment,algorithm
1,0,[1.74416103e+09],-0.20249942249057054,"[131.6875 220.0625 152.75   165.     144.     226.375  171.875  110.
 138.75   129.3125 119.6875 203.9375 243.1875 215.25   130.8125 115.0625
 115.4375 158.6875 318.3125 153.25   124.875  591.375  117.9375 589.125
 195.8125 138.1875 110.75   153.1875 166.5625 220.6875 217.375  141.1875
 121.1875 158.4375 398.4375 149.375 ]",1744161054.8931015,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
2,1,[1.74416133e+09],0.05938850882979723,"[119.625  223.125  159.75   178.125  170.     225.5625 389.8125 109.125
 126.     135.4375 154.125  232.6875 240.5    203.8125 149.625  127.125
 146.75   171.0625 295.25   142.5625 120.875  609.8125 239.9375 522.5625
 201.1875 131.0625 139.125  146.375  155.75   339.25   175.375  138.5
 129.875  136.6875 189.6875 152.5   ]",1744161353.4448588,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
3,2,[1.74416163e+09],-0.021894247940962862,"[144.125  232.9375 168.5    198.8125 157.1875 203.1875 246.75   124.3125
 131.625  125.375  148.1875 222.125  253.875  203.25   124.5625 107.4375
 134.75   174.75   320.125  421.1875 131.1875 135.75   166.6875 989.
 213.1875 134.25   131.3125 149.3125 194.125  337.625  188.625  141.5625
 124.5    144.3125 161.5625 148.3125]",1744161651.1554008,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
4,3,[1.74416193e+09],0.02777900295865776,"[136.25   254.6875 179.4375 182.3125 181.     210.8125 356.1875 149.3125
 146.25   146.     147.625  207.75   269.5625 209.3125 154.3125 113.375
 139.5625 152.8125 238.3125 179.4375  94.375  703.25    85.75   739.5625
 203.5    130.625  109.3125 150.875  162.75   312.1875 194.4375 166.5625
 134.125  142.5625 164.875  185.375 ]",1744161951.6924262,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
5,4,[1.74416223e+09],-0.04744972938257448,"[141.5625 261.4375 140.0625 186.75   162.9375 229.1875 176.5625 107.
 141.5625 134.75   131.375  211.375  234.5    218.     177.     109.5
 137.8125 163.8125 327.3125 169.875  118.     706.5    175.3125 646.1875
 182.4375 129.125  132.     157.625  185.     215.8125 180.     120.
 107.     148.0625 180.125  129.75  ]",1744162251.6213512,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
6,5,[1.74416253e+09],0.04650986164131684,"[105.0625 118.3125  94.5625 104.4375  55.375  122.375  192.25   148.25
 206.0625 166.3125 117.125  201.4375 359.125  216.4375 424.1875 177.3125
 561.625  165.      86.6875 105.875  147.5     90.25   155.8125 279.4375
 124.5625 127.5    185.8125 846.75   416.5625 208.5    152.4375 140.125
 155.125  207.4375 226.75   299.4375]",1744162552.5239491,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
7,6,[1.74416283e+09],0.03422782334309943,"[ 95.5    122.4375  85.3125 107.625   63.     104.125  185.5625 175.5
 197.5625 172.1875 138.4375 191.1875 478.5    233.5625 532.125  216.
 295.1875 160.0625 100.25   104.3125 195.125  300.6875 159.875  162.5625
 135.4375 148.375  127.0625 636.375  470.5    198.3125 159.0625 183.875
 113.8125 250.4375 391.5625 157.0625]",1744162852.3992777,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
8,7,[1.74416313e+09],-0.06620630987974463,"[105.4375 129.1875  93.9375 117.6875 104.625  142.6875 213.875  141.5
 170.9375 147.0625 134.375  180.5625 239.0625 192.5625 149.6875 147.375
 167.875  151.8125 144.     124.375  215.4375 213.1875 121.9375 302.25
 198.8125 125.4375 147.     275.25   323.375  221.375  163.25   174.0625
 166.125  162.1875 377.125  277.9375]",1744163155.313135,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
9,8,[1.74416343e+09],0.027205661188049995,"[153.8125 221.125  175.625  196.1875 164.375  229.0625 183.125  155.
 140.3125 141.6875 110.6875 203.4375 246.5625 213.125  135.9375  99.1875
 146.0625 141.375  357.6875 394.8125  97.0625 476.4375 162.375  648.8125
 188.4375 140.3125 111.4375 154.3125 197.125  254.75   171.375  147.4375
 125.9375 157.8125 186.125  159.5   ]",1744163451.6785834,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
10,9,[1.74416373e+09],0.00735694614256713,"[ 91.25    98.5625  88.      97.9375  69.625  119.625  178.625  205.0625
 195.75   209.875   99.9375 230.625  293.1875 268.9375 353.6875 240.8125
 345.5    176.875   55.1875  92.4375 175.5    190.75   136.375  255.9375
 139.9375 145.25   149.0625 170.4375 823.5    181.1875 196.375  127.375
 132.125  183.5    236.375  320.625 ]",1744163751.8229678,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
11,10,[1.74416403e+09],0.04389483029114235,"[ 84.5625 120.9375  74.1875  92.5     65.1875 112.625  194.25   101.5625
 181.875  200.1875  89.25   204.6875 339.0625 301.5625 360.25   262.625
 463.     179.4375  86.625   97.1875 188.25   141.375  141.     193.0625
 147.125  164.     188.0625 564.     499.75   380.375  158.8125 104.875
 131.25   226.3125 238.6875 288.8125]",1744164052.967821,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
12,11,[1.74416433e+09],-0.019473157138211263,"[ 72.3125 129.      79.3125  89.5625  86.375   97.4375 179.125  169.5625
 202.6875 214.     112.125  207.6875 452.5    266.25   475.125  199.8125
 581.3125 179.75    73.6875 109.75   238.     143.125  168.5    195.0625
 123.0625 127.625  147.125  539.0625 328.5    276.1875 162.75   114.9375
 171.625  234.9375 208.625  253.5   ]",1744164352.3508291,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
13,12,[1.74416463e+09],0.015606472696185215,"[ 83.1875  89.5     80.875   90.625   70.0625 114.5    181.1875 158.6875
 187.5625 189.875  140.875  222.75   389.0625 249.6875 409.     244.5
 283.0625 227.0625  57.6875 119.5625 380.0625 214.25   150.5    183.6875
 112.125  129.5    119.5625 186.875  934.875  349.375  156.9375  92.5
 118.5625 221.0625 321.625  273.75  ]",1744164654.0264604,-8163832926060245032,0,[0.26865 0.51435 0.2187  0.      0.2241  0.40905],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
14,13,[1.74416493e+09],0.02153798722000769,"[ 98.75   126.1875  90.625   93.4375  69.125  115.375  156.875  201.5625
 242.25   237.1875 112.125  234.5625 316.4375 219.3125 345.5625 203.
 337.1875 211.875   61.      97.9375 262.375  108.6875 151.     316.4375
 155.8125 131.875  196.3125 514.9375 489.     315.375  163.8125 212.125
 112.6875 147.6875 242.     151.8125]",1744164953.017813,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
15,14,[1.74416523e+09],-0.07363534481676692,"[ 122.9375  223.5625  151.      191.625   176.0625  238.125   229.5
  116.3125  154.5625  147.25    143.25    234.875   228.8125  238.375
  149.9375   95.625   150.5625  159.1875  305.0625  169.6875  162.
  143.9375  168.875  1040.25    188.4375  150.6875  124.625   183.6875
  199.0625  348.0625  223.8125  132.6875  117.5625  120.125   157.375
  163.0625]",1744165250.603423,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
16,15,[1.74416553e+09],-0.04809574076929463,"[ 156.5     219.9375  175.5625  195.5     170.3125  219.3125  375.3125
  113.75    144.625   158.5625  120.1875  191.125   246.25    223.125
  145.4375  103.75    126.5     158.9375  334.5     170.4375  117.1875
  124.8125  169.6875 1212.0625  196.375   115.125   124.875   145.5
  173.625   206.3125  209.625   140.      108.125   156.5     150.8125
  149.125 ]",1744165550.8822641,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
17,16,[1.74416583e+09],0.049505807056102365,"[147.125  230.75   167.6875 178.375  168.5    229.4375 251.875  118.
 132.5    138.8125 130.1875 193.875  240.0625 212.6875 143.375  108.125
 157.125  159.125  304.1875 418.6875 137.5625 463.4375 167.9375 526.8125
 217.5625 128.75   122.75   162.125  183.5625 192.875  199.875  141.375
 113.3125 135.5625 145.625  181.75  ]",1744165851.4888098,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
18,17,[1.74416613e+09],0.02144237084911031,"[128.     236.25   168.75   217.375  169.5625 259.9375 183.375  132.
 160.4375 138.5    104.8125 198.5    284.625  222.125  143.75   107.5
 132.6875 158.625  302.3125 410.0625 104.1875 474.625  157.1875 660.1875
 187.     137.3125 121.9375 143.5    198.875  212.6875 204.     157.5625
 134.0625 149.875  206.125  159.0625]",1744166151.5804389,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
19,18,[1.74416643e+09],-0.0188951393267413,"[137.75   229.     180.375  208.75   178.3125 234.875  204.0625 129.
 152.5625 148.125  139.625  217.25   239.5625 223.25   145.25    92.25
 132.125  170.1875 322.8125 173.1875 107.     715.9375 133.625  691.6875
 184.75   146.75   126.5    160.6875 191.4375 339.75   182.625  166.25
 136.625  139.5    177.875  154.125 ]",1744166450.7424614,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
20,19,[1.74416673e+09],-0.022208732249877156,"[110.875  146.75   107.6875 129.1875  87.75   150.75   197.8125 127.5625
 171.6875 160.375  148.1875 191.5625 229.0625 232.3125 205.3125 171.6875
 233.     167.5625 135.25   114.9375 160.375  145.     170.0625 146.125
 230.4375 176.1875 176.25   238.4375 197.625  151.75   187.9375 140.5625
 169.125  214.0625 182.875  251.875 ]",1744166756.3601556,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
21,20,[1.74416703e+09],0.028059004050909456,"[141.5    115.1875 114.9375 162.75   110.3125 148.5625 189.8125 175.1875
 196.875  155.8125  98.3125 195.1875 244.4375 269.3125 186.1875 202.125
 265.3125 161.6875 151.1875 134.4375 197.4375 168.8125 158.125  186.6875
 155.125  135.75   145.1875 271.4375 233.0625 217.125  212.875  133.9375
 143.0625 184.     278.75   200.25  ]",1744167055.4804366,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
22,21,[1.74416733e+09],0.0014098976586911969,"[190.875  161.625  121.9375 167.75   117.6875 138.3125 190.5625 197.625
 206.125  177.8125 136.5625 231.3125 248.25   269.75   115.75   171.0625
 336.875  177.25    94.125   99.5625 171.9375 130.4375 143.125  108.0625
 206.125  157.6875 155.375  360.0625 266.0625 215.25   138.5    139.25
 224.5625 188.8125 180.6875 237.625 ]",1744167356.4594958,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
23,22,[1.74416763e+09],-0.015141800626052023,"[127.0625 149.875  153.5625 159.5    157.25   170.8125 204.0625 137.5
 156.4375 183.0625 193.25   202.3125 245.25   236.8125 202.5    183.5
 222.75   200.375  112.125   85.5    123.625  143.9375 267.8125 153.
 132.875  124.1875 148.5625 248.5625 221.75   177.5625 135.4375 151.4375
 191.4375 195.9375 189.625  204.75  ]",1744167656.611548,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
24,23,[1.74416793e+09],0.07185623453784729,"[ 129.625   192.3125  124.125   109.5625  109.5625  177.75    213.1875
  198.1875  203.6875  187.3125  123.1875  247.6875  368.0625  255.1875
  564.6875  156.      280.6875  160.25    211.5625  172.9375  119.4375
  102.875   140.9375  124.1875  179.75    124.375  1513.125   258.6875
  208.5     276.4375  136.4375  166.9375  196.3125  191.8125  447.5
  173.5625]",1744167964.3456342,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
25,24,[1.74416823e+09],-0.012793291316608075,"[ 128.1875  396.9375  119.      122.8125  111.125   191.5     182.25
  166.0625  213.3125  196.25    111.3125  211.125   265.875   242.6875
  264.3125  176.      447.4375  165.5     196.      161.      156.25
  108.0625  142.4375  111.875   153.75    125.75    137.625  1673.875
  196.625   350.125   151.375   171.625   180.0625  217.1875  524.75
  160.6875]",1744168264.5745482,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
26,25,[1.74416853e+09],0.08335806763389586,"[122.5    165.6875 121.1875 128.8125 108.25   194.625  192.625  179.75
 193.     186.375   99.375  216.875  285.125  240.5625 340.875  175.3125
 244.9375 185.0625 228.1875 134.0625 173.25   635.125  149.8125 628.3125
 160.125  132.8125 422.1875 273.75   212.5    356.875  151.75   141.8125
 210.1875 215.6875 505.875  119.    ]",1744168567.0044897,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
27,26,[1.74416883e+09],-0.1259733057030497,"[129.875  238.3125 176.125  199.125  157.125  233.75   210.25   131.375
 141.8125 140.75   117.625  203.3125 229.1875 214.4375 127.5     91.0625
 142.125  160.1875 334.4375 377.6875 260.0625 459.3125 160.8125 486.875
 184.5625 139.5    132.125  162.3125 172.3125 193.8125 215.3125 139.6875
 120.9375 113.125  176.375  158.    ]",1744168850.4520714,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
28,27,[1.74416913e+09],0.0028230417041195796,"[141.1875 230.9375 184.1875 201.6875 176.4375 230.875  201.4375 115.625
 153.4375 138.25   147.4375 205.     249.875  229.3125 171.0625 104.625
 141.25   153.0625 228.25   181.125  119.875  722.3125 205.375  477.5625
 195.375  143.5625 144.     165.5625 198.875  222.     190.875  125.75
 118.3125 138.8125 173.125  156.75  ]",1744169150.3840597,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
29,28,[1.74416943e+09],-0.04430778743278605,"[134.875  199.625  162.25   177.75   186.5625 215.8125 239.9375 125.25
 137.75   146.625  133.1875 204.     204.625  220.6875 143.75   105.25
 155.625  157.5625 198.4375 144.5625 135.1875 758.3125 154.5625 501.3125
 195.6875 140.9375 122.5    153.3125 189.8125 205.4375 187.25   143.75
 101.     152.375  204.8125 163.625 ]",1744169450.9069731,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
30,29,[1.74416973e+09],0.02959158718513084,"[157.3125 217.125  158.3125 201.6875 187.     233.75   384.5    124.0625
 130.6875 140.0625 148.25   211.75   198.     239.1875 135.3125 114.6875
 151.375  175.5    253.625  141.4375 139.3125 713.375  177.25   500.875
 217.75   133.6875 121.125  155.8125 191.5    210.9375 196.375  141.
  97.5    126.125  208.375  146.9375]",1744169750.7161677,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
31,30,[1.74417003e+09],0.012430386939674782,"[132.3125 248.875  160.5    210.25   171.6875 219.625  370.     127.3125
 156.5    150.9375 118.75   193.875  227.375  228.125  159.0625 108.1875
 145.5    210.8125 213.6875 167.25   101.8125 745.4375 151.875  513.3125
 212.0625 139.375  120.125  157.8125 200.625  206.25   198.9375 177.875
 128.8125 138.5625 180.1875 165.5625]",1744170051.7849963,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
32,31,[1.74417033e+09],-0.011276555112276253,"[150.8125 255.875  169.5    190.375  170.1875 230.1875 369.875  117.375
 146.8125 141.9375 112.     200.3125 225.625  246.5    143.3125 100.25
 137.25   170.875  318.5625 159.1875 116.75   706.     161.     515.6875
 191.75   140.1875 106.     153.9375 191.875  226.5    172.8125 183.875
 137.25   132.25   161.5625 168.3125]",1744170350.722928,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
33,32,[1.74417063e+09],-0.02098964750954565,"[147.6875 225.3125 180.8125 186.6875 174.6875 240.1875 237.375  134.9375
 141.875  131.1875 114.     187.25   234.     212.875  154.375  110.625
 143.5    156.4375 331.     149.9375  96.     757.5    191.6875 490.3125
 184.5    139.25   120.125  154.9375 189.375  219.8125 170.3125 157.0625
 118.5    135.5    156.4375 158.1875]",1744170651.323847,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
34,33,[1.74417093e+09],0.013207560834717276,"[155.5625 212.625  182.375  180.5625 186.625  214.9375 204.625  126.875
 143.9375 141.625  115.     179.375  232.75   203.375  153.75    96.25
 150.6875 185.8125 324.625  168.5    121.25   832.25   195.875  520.0625
 216.0625 117.9375 144.1875 174.5    186.4375 235.     165.8125 134.875
 114.4375 149.375  169.9375 157.3125]",1744170950.981878,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
35,34,[1.74417123e+09],0.02764915574944094,"[138.5    244.5    152.75   206.1875 192.125  238.3125 200.875  117.9375
 152.1875 149.875  100.125  188.6875 229.125  212.5    162.875  117.3125
 134.6875 170.3125 316.4375 152.875  535.3125 472.375  169.5    519.0625
 202.1875 140.     129.5625 157.75   180.5    208.625  191.6875 179.125
 130.4375 159.1875 174.6875 155.25  ]",1744171250.9659002,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
36,35,[1.74417153e+09],-0.01859986083104675,"[166.375  139.5    109.3125 131.125  116.8125 128.8125 170.9375 188.25
 196.375  154.3125 108.6875 150.     278.625  251.25   171.5    193.125
 216.625  130.875   88.5625 131.1875 181.5    221.75   152.375  195.125
 181.25   166.125  130.4375 460.     551.3125 233.6875 141.8125 170.3125
 181.9375 197.9375 228.9375 231.4375]",1744171555.9054792,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
37,36,[1.74417183e+09],0.0629183120092305,"[116.0625 108.5625  94.8125 134.     118.125  180.3125 187.75   193.8125
 179.6875 172.25   139.75   190.75   249.0625 213.8125 248.4375 179.75
 398.3125 225.5625 123.8125 122.75   125.75   147.     171.875  237.3125
 171.     158.375  152.4375 533.3125 366.4375 278.3125 145.0625 171.9375
 233.625  197.25   367.875  269.4375]",1744171855.8177538,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
38,37,[1.74417213e+09],-0.0246838713229274,"[166.9375 495.25   161.1875 203.0625 206.5    240.875  258.9375 112.75
 156.375  145.1875 114.5    225.4375 272.375  226.     148.     101.0625
 156.4375 173.5    213.5625 163.8125 138.875  596.0625 174.875  499.75
 201.875  145.3125 130.5625 153.0625 176.875  269.4375 240.875  139.3125
 118.375  150.9375 136.1875 170.0625]",1744172150.818823,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
39,38,[1.74417243e+09],-0.041735014864470496,"[137.0625 237.8125 163.125  195.75   191.0625 214.8125 245.0625 141.625
 173.75   158.3125 140.25   196.1875 240.9375 217.5    146.0625 104.4375
 133.0625 151.625  345.25   149.875  119.8125 769.5    167.3125 493.25
 200.0625 126.5625 149.4375 153.0625 159.0625 364.75   174.75   136.5625
 128.375  148.     174.9375 169.5625]",1744172450.7903643,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
40,39,[1.74417273e+09],-0.021167934241993976,"[143.9375 224.3125 174.25   196.4375 167.1875 235.9375 220.8125 120.4375
 168.8125 129.75   105.625  203.     269.75   224.1875 131.875  114.8125
 141.5    151.     328.625  165.6875 114.125  601.9375 182.9375 510.375
 216.8125 131.4375 119.125  161.     176.1875 208.25   177.9375 127.3125
 125.     134.6875 169.6875 154.3125]",1744172750.6985788,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
41,40,[1.74417303e+09],0.1562813897757537,"[ 148.5625  202.875   132.875   130.9375  110.1875  210.125   234.6875
  207.375   192.875   162.0625  115.125   190.6875  242.      307.9375
  380.75    163.      232.25    190.75    275.625   149.25    150.875
  113.625   130.375  1236.875   191.875   124.      159.5625  462.
  194.8125  308.375   141.6875  354.375   213.625   216.      533.625
  137.    ]",1744173064.1274958,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
42,41,[1.74417333e+09],0.003236111439626382,"[ 153.4375  204.      111.1875  128.1875  125.4375  206.375   207.5
  204.5625  208.625   165.125   109.      185.1875  429.9375  265.75
  528.3125  162.25    232.25    145.8125  266.      260.0625  149.3125
  120.6875  131.625  1435.      171.5     117.4375   99.0625  476.375
  215.25    408.4375  134.75    144.75    192.0625  218.3125  494.625
  153.3125]",1744173364.511033,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
43,42,[1.74417363e+09],-0.029219599754942194,"[147.625  162.25   145.6875 130.5625 115.875  182.9375 232.5    194.1875
 182.1875 185.0625 113.1875 190.125  258.375  259.3125 556.0625 174.0625
 399.75   161.125  230.25   144.625  140.5625 727.5    114.0625 639.6875
 171.4375 141.625  173.5    264.375  182.8125 209.25   152.6875 157.0625
 191.625  212.375  508.9375 182.125 ]",1744173663.7152948,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
44,43,[1.74417393e+09],-0.010053483818985728,"[139.625  190.0625 128.0625 109.8125  98.875  184.4375 205.375  196.
 182.5    178.     118.125  230.625  257.     265.375  308.1875 183.1875
 224.875  144.375  187.5    163.25   134.     757.125  127.6875 559.3125
 207.875  148.     177.4375 413.8125 220.25   204.6875 152.4375 194.4375
 178.5    232.125  484.0625 157.    ]",1744173963.4690793,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
45,44,[1.74417423e+09],-0.09823547656784112,"[130.5625 255.5625 166.4375 199.0625 187.375  251.     194.3125 129.375
 155.75   153.375  117.4375 200.9375 242.375  228.375  169.9375 110.1875
 149.4375 173.8125 340.0625 198.8125 109.0625 637.0625 162.125  502.5625
 179.1875 139.     110.4375 145.6875 165.9375 238.3125 208.8125 121.125
 119.875  134.4375 156.625  169.8125]",1744174250.3415232,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
46,45,[1.74417453e+09],-0.011976343737024536,"[143.75   224.5625 186.5625 212.375  177.0625 227.0625 226.     132.875
 121.8125 137.     123.0625 208.8125 207.25   216.75   132.9375 105.0625
 145.375  142.9375 339.25   171.625  125.1875 630.125  114.625  560.1875
 206.3125 126.6875 128.25   163.125  178.4375 355.3125 198.5    161.5
 110.0625 143.5    180.9375 185.4375]",1744174550.510004,-8163832926060245032,0,[0.657496 1.258824 0.535248 0.       0.548464 1.001112],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
47,46,[1.74417483e+09],-0.004032977947661642,"[159.0625 233.     155.0625 184.0625 156.5625 230.8125 238.25   125.5625
 139.875  136.     133.6875 199.375  225.625  215.8125 151.0625  93.1875
 142.75   157.9375 334.375  159.3125 134.375  703.75   185.9375 477.25
 170.5    148.5    125.875  155.0625 198.1875 206.8125 193.8125 151.0625
 124.375  129.625  178.6875 161.9375]",1744174851.117221,-8163832926060245032,0,[0.398 0.762 0.324 0.    0.332 0.606],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
48,47,[1.74417513e+09],0.22013922631306101,"[ 135.1875  403.1875  120.625   111.1875  110.25    196.625   416.375
  200.625   189.5625  159.0625  119.0625  214.9375  218.0625  288.125
  549.375   176.1875  256.75    137.4375  248.      153.1875  173.8125
  126.375   128.4375 1166.5     225.8125  139.25    187.3125  470.1875
  213.3125  382.5625  155.8125  141.9375  318.5625  203.375   484.9375
  190.625 ]",1744175166.6327586,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
49,48,[1.74417543e+09],-0.21095679309112134,"[135.9375 121.5625 129.4375 114.6875  92.0625 131.5    210.     138.75
 237.1875 190.6875 183.9375 204.75   222.5625 227.25   175.25   181.125
 265.6875 157.1875  91.5    145.5    138.5    163.1875 160.875  179.25
 132.9375 176.8125 140.5625 243.625  233.875  271.5625 218.4375 140.
 135.0625 211.1875 175.5    199.1875]",1744175457.116287,-8163832926060245032,0,[0.1393 0.2667 0.1134 0.     0.1162 0.2121],300,1,experiments/online/E6/P1/poisson1.xlsx,1,0,P1,Poisson1
