state,steps,frame,action,reward,config_id,seed,time,area,representation.tilings,environment.zone,representation.tiles,environment.path,representation.which_tc,epsilon,experiment.update_freq,experiment.step_duration,experiment.checkpoint,lambda,alpha,experiment.image_save_keys,representation.wrap_time,environment,algorithm,compatibility_mode,filepath
[0.01269676 1.69309437],11,10,0,1.4964712858200073,-3368738093455022160,0,1743748194.626679,"[ 90.5625 362.8125 338.5625 650.25   442.0625 349.875  145.1875 387.875
 438.3125 601.6875 194.75   490.875  427.0625 443.6875 285.     366.1875
 402.6875 471.875  521.     315.5    110.5625 497.0625 531.75   146.0625
 393.375  362.75   473.75   414.4375 224.875  353.8125 406.6875 507.3125
 306.6875 360.75   481.25   368.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.01614583 -0.67540157],12,11,3,1.6930943727493286,-3368738093455022160,0,1743748206.5868878,"[ 97.     350.0625 312.375  598.125  331.4375 280.375  136.375  342.125
 429.8125 569.875  188.5625 447.625  363.4375 434.1875 266.8125 378.4375
 397.4375 496.9375 465.4375 299.     128.4375 491.375  540.75   177.9375
 328.5    348.6875 473.625  320.6875 189.375  375.125  339.75   327.1875
 277.5625 349.9375 473.6875 346.75  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.0196412  1.16991758],13,12,1,-0.6754015684127808,-3368738093455022160,0,1743748219.293647,"[ 82.3125 356.6875 337.25   670.9375 366.5625 339.8125 145.625  387.125
 438.     568.8125 192.8125 494.5625 439.875  438.25   288.     360.9375
 402.25   473.6875 444.75   312.125  108.25   485.9375 528.1875 144.0625
 391.375  364.25   471.1875 417.25   217.75   352.0625 414.875  496.1875
 303.8125 358.1875 481.0625 369.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.0230787  -0.58144629],14,13,2,1.1699175834655762,-3368738093455022160,0,1743748230.9347525,"[134.375  331.4375 308.5    642.875  339.75   270.375  138.375  340.5625
 421.1875 553.6875 184.6875 458.5    392.375  437.125  268.4375 356.1875
 394.125  475.6875 468.5    286.9375 111.5625 486.6875 519.125  162.625
 335.1875 349.3125 417.25   339.9375 206.75   377.625  359.8125 337.25
 252.4375 364.125  467.     352.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.02658565 0.73231322],15,14,1,-0.5814462900161743,-3368738093455022160,0,1743748243.6246784,"[ 86.     356.8125 337.3125 630.6875 374.5    336.25   143.25   352.5625
 443.9375 565.875  194.375  498.1875 438.6875 445.625  284.375  355.625
 409.1875 477.5625 450.375  308.0625 111.     494.4375 516.25   153.3125
 388.5    373.3125 606.4375 329.5625 219.125  344.5625 422.1875 399.4375
 228.     369.1875 501.5    375.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[ 0.03002315 -0.30381832],16,15,3,0.7323132157325745,-3368738093455022160,0,1743748255.6930742,"[132.75   349.1875 321.5625 591.8125 325.25   275.8125 135.8125 328.75
 435.5    562.125  176.5    452.375  385.25   439.0625 253.9375 342.
 409.1875 489.375  476.75   280.625  104.0625 487.75   501.375  185.5625
 331.625  347.5    470.5    403.8125 188.6875 420.0625 346.8125 320.25
 203.875  351.9375 474.75   354.6875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.03353009 0.82350296],17,16,1,-0.30381831526756287,-3368738093455022160,0,1743748268.1112404,"[ 84.9375 341.125  342.0625 628.75   385.75   312.625  143.9375 391.4375
 442.4375 572.9375 190.25   530.375  398.     446.5    275.5    348.125
 414.1875 469.9375 455.0625 323.3125  95.375  497.6875 508.5    148.125
 396.0625 367.     494.6875 414.875  225.5625 350.125  416.625  402.125
 240.375  364.5625 493.625  368.125 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.03696759 0.48786563],18,17,3,0.8235029578208923,-3368738093455022160,0,1743748278.449552,"[140.     341.3125 350.     718.     370.875  287.4375 138.9375 385.9375
 444.5625 555.     184.75   466.625  384.375  433.8125 265.5625 355.
 391.875  477.6875 563.6875 312.375  110.4375 483.4375 509.5625 143.875
 368.0625 346.0625 466.6875 418.     220.625  361.25   384.5    365.4375
 267.1875 366.125  495.125  378.75  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.04047454 0.71896958],19,18,1,0.4878656268119812,-3368738093455022160,0,1743748291.2087688,"[ 82.4375 340.0625 341.6875 628.4375 361.625  326.3125 143.5    384.125
 437.875  587.875  190.4375 468.9375 389.75   442.0625 283.0625 348.875
 411.0625 473.375  449.375  316.1875 108.25   496.3125 498.125  144.6875
 388.8125 365.75   471.0625 414.0625 224.625  356.     412.4375 397.6875
 308.3125 356.3125 488.0625 369.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.04394676 0.86839944],20,19,1,0.7189695835113525,-3368738093455022160,0,1743748304.2113664,"[ 82.625  361.625  338.6875 631.1875 403.25   333.6875 142.1875 391.8125
 434.5    595.125  192.625  471.4375 393.875  445.6875 275.375  352.4375
 412.     472.9375 454.     318.4375 105.625  500.625  503.125  153.875
 390.75   372.625  477.25   413.875  228.875  351.4375 412.5    410.875
 311.875  360.0625 482.25   358.625 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
