state,steps,frame,action,reward,config_id,seed,time,area,representation.tilings,environment.zone,representation.tiles,environment.path,representation.which_tc,epsilon,experiment.update_freq,experiment.step_duration,experiment.checkpoint,lambda,alpha,experiment.image_save_keys,representation.wrap_time,environment,algorithm,compatibility_mode,filepath
[0.35642361 0.55582029],110,109,3,0.5299986004829407,-3368738093455022160,0,1743749356.7558353,"[149.25   369.6875 347.875  583.4375 390.875  259.     142.1875 349.0625
 475.375  630.9375 177.0625 425.     371.25   428.1875 292.8125 356.1875
 395.     533.1875 569.25   313.3125 136.4375 522.6875 506.875  149.9375
 323.75   300.      31.5625 411.9375 279.     401.875  371.4375 341.375
 729.8125 370.5625 504.4375 368.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.35988426 0.30349979],111,110,1,0.5558202862739563,-3368738093455022160,0,1743749369.1864707,"[ 93.9375 310.875  316.875  568.4375 327.375  327.5    138.25   341.875
 364.375  603.625  191.5    436.0625 375.     345.0625 286.25   370.3125
 403.4375 537.4375 409.875  272.875  101.1875 472.875  486.625  173.5
 311.25   283.5    424.625  412.875  220.25   410.75   354.75   332.125
 271.3125 348.6875 474.0625 343.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.36336806 0.53069329],112,111,3,0.3034997880458832,-3368738093455022160,0,1743749379.7973294,"[148.3125 359.5625 349.25   578.4375 365.875  261.0625 147.5625 357.5
 378.8125 613.0625 174.     428.8125 385.5625 417.5625 274.9375 349.6875
 393.8125 532.8125 529.125  309.8125 100.5625 503.     505.5    151.5625
 330.4375 316.125  425.5625 419.0625 257.9375 411.8125 375.75   345.1875
 326.875  370.9375 503.8125 369.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.36685185 0.68268436],113,112,0,0.5306932926177979,-3368738093455022160,0,1743749392.6637478,"[ 71.4375 364.3125 339.75   586.3125 363.5    348.8125 152.375  343.3125
 435.     624.4375 189.625  473.1875 396.3125 416.75   290.125  363.125
 410.5625 543.625  457.1875 291.6875 104.25   499.5    426.375  242.
 359.875  367.25   417.1875 429.625  241.9375 387.75   412.125  502.3125
 305.375  384.5625 526.6875 374.1875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.3703125  0.57626814],114,113,3,0.6826843619346619,-3368738093455022160,0,1743749403.8626022,"[134.9375 368.875  352.9375 585.0625 363.75   267.     147.0625 371.5
 463.4375 617.4375 172.5    418.8125 406.375  437.5625 309.875  351.4375
 391.3125 531.0625 517.6875 321.5625 103.4375 513.75   502.6875 169.3125
 330.6875 308.375  421.25   427.125  273.5625 393.4375 378.0625 344.1875
 253.     366.1875 511.375  360.125 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.3737963  0.71083921],115,114,1,0.5762681365013123,-3368738093455022160,0,1743749416.371707,"[ 75.9375 331.375  341.625  592.9375 368.8125 357.4375 146.5625 348.5
 473.9375 623.     189.1875 475.3125 409.9375 425.     292.625  356.3125
 418.8125 552.4375 445.8125 286.375  104.875  492.4375 421.3125 239.0625
 358.1875 359.375  412.0625 428.9375 251.1875 374.     411.125  502.3125
 395.125  373.8125 537.5625 370.625 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.37726852 0.68255007],116,115,1,0.7108392119407654,-3368738093455022160,0,1743749428.816689,"[ 75.875  360.4375 338.9375 587.0625 397.0625 322.5625 149.1875 380.4375
 457.     627.5625 189.8125 477.875  390.6875 429.75   302.6875 359.875
 403.875  543.5    442.875  278.8125 109.4375 496.6875 413.6875 238.25
 368.6875 354.25   416.125  426.9375 248.6875 362.5625 411.9375 503.75
 324.375  373.1875 540.5    371.8125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.38075231 0.66145641],117,116,1,0.6825500726699829,-3368738093455022160,0,1743749441.4506073,"[ 73.25   333.125  334.125  598.1875 390.     322.75   150.625  347.25
 444.25   628.5625 187.75   473.375  362.625  338.4375 299.3125 364.4375
 408.4375 545.4375 445.3125 282.5    104.3125 499.9375 512.375  138.125
 353.75   360.75   500.375  429.125  252.25   363.875  417.125  508.125
 326.125  376.75   535.125  369.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.38423611 0.68067032],118,117,1,0.6614564061164856,-3368738093455022160,0,1743749454.9531863,"[ 78.625  331.     343.9375 598.5    396.9375 364.1875 153.375  350.1875
 451.25   620.125  188.875  471.9375 368.125  335.     292.9375 361.5625
 409.6875 552.1875 452.6875 283.0625  99.5625 501.6875 509.5    134.125
 357.375  362.375  494.5625 430.6875 248.0625 364.625  414.125  505.3125
 315.875  377.1875 528.25   373.9375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.38767361 0.47874385],119,118,2,0.6806703209877014,-3368738093455022160,0,1743749465.5950363,"[156.8125 362.     362.3125 583.1875 359.9375 286.6875 139.4375 352.1875
 458.     599.5625 176.375  382.8125 374.625  334.75   282.625  352.4375
 384.8125 540.0625 533.1875 298.75    89.0625 503.5625 493.9375 153.5
 310.6875 308.375  501.1875 415.3125 278.5    376.0625 377.5625 351.375
 226.5    373.1875 493.4375 369.8125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.39115741 0.61775136],120,119,1,0.47874385118484497,-3368738093455022160,0,1743749477.7367043,"[ 79.9375 332.8125 343.8125 591.9375 389.6875 322.625  144.5    342.6875
 454.625  581.8125 185.3125 460.875  374.125  422.5625 283.625  363.1875
 402.3125 542.     440.9375 289.6875 105.5    489.25   491.9375 140.1875
 340.25   355.25   519.4375 420.5625 243.5    370.4375 402.     504.625
 227.3125 370.125  501.25   370.9375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.39460648 0.25305355],121,120,3,0.6177513599395752,-3368738093455022160,0,1743749489.2935834,"[ 97.9375 325.1875 303.875  550.25   338.125  270.0625 131.9375 343.125
 425.6875 614.25   168.9375 451.5625 342.6875 329.9375 285.6875 347.125
 389.8125 542.5625 402.5    260.0625 110.     474.75   477.9375 168.8125
 250.75   312.625  475.3125 408.25   214.6875 391.9375 350.625  324.8125
 235.4375 367.     471.875  333.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.39809028 0.50813007],122,121,3,0.25305354595184326,-3368738093455022160,0,1743749499.9830441,"[122.0625 370.5    355.3125 580.25   342.4375 260.4375 144.625  341.125
 436.1875 646.6875 184.375  420.5    373.6875 338.875  286.375  360.125
 397.     544.75   444.1875 314.      87.125  516.3125 498.5625 157.5625
 320.25   369.875  497.3125 426.25   230.9375 435.5    367.25   351.5
 220.0625 374.     512.8125 379.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.40155093 0.49024299],123,122,3,0.5081300735473633,-3368738093455022160,0,1743749509.9514792,"[ 97.75   335.9375 350.1875 586.375  350.8125 271.75   143.     340.9375
 420.6875 637.6875 186.     447.625  367.9375 326.5    282.875  364.9375
 387.875  535.3125 446.0625 290.0625  86.3125 486.75   503.8125 138.5
 335.875  335.0625 556.8125 414.8125 242.625  389.6875 389.9375 372.5625
 223.0625 388.625  529.375  379.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.40502315 0.50106478],124,123,3,0.49024298787117004,-3368738093455022160,0,1743749519.3093147,"[106.25   335.875  351.25   582.25   352.     277.25   148.4375 337.9375
 426.5    641.5625 178.25   442.4375 359.125  330.625  289.3125 357.4375
 385.75   528.25   449.75   287.3125  87.     491.3125 522.375  136.3125
 325.1875 332.6875 561.5    426.25   256.3125 394.     389.625  360.75
 232.875  388.     534.125  377.9375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.40853009 0.62266624],125,124,1,0.5010647773742676,-3368738093455022160,0,1743749531.9904926,"[ 74.875  326.75   336.75   586.375  363.375  301.5    146.875  341.625
 427.75   644.5    191.5    505.9375 384.3125 334.25   283.5    362.8125
 402.25   533.0625 446.875  286.0625  93.     502.25   523.75   141.5
 355.3125 364.625  498.     426.75   258.     376.8125 416.5625 501.0625
 229.0625 378.875  536.625  372.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.41196759 0.48501191],126,125,3,0.6226662397384644,-3368738093455022160,0,1743749541.8779194,"[100.25   336.9375 353.125  592.375  383.125  277.125  143.8125 337.5
 430.8125 571.9375 179.0625 456.875  334.9375 326.1875 282.25   353.9375
 387.875  517.875  461.125  289.5     80.9375 501.4375 525.25   151.0625
 342.5625 332.9375 506.1875 331.6875 254.375  394.3125 393.3125 367.5625
 245.     387.5    545.875  378.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.41543981 0.34790102],127,126,3,0.48501190543174744,-3368738093455022160,0,1743749553.3683572,"[103.3125 335.0625 308.4375 559.25   342.625  257.6875 133.9375 327.625
 386.5    575.0625 178.6875 472.625  351.6875 405.75   282.125  349.3125
 400.875  558.625  419.125  263.5     96.4375 490.125  553.8125 173.4375
 316.125  273.4375 493.9375 412.1875 249.5    382.0625 344.125  330.3125
 260.625  338.5    456.8125 366.125 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.41894676 0.67652744],128,127,1,0.34790101647377014,-3368738093455022160,0,1743749565.6433358,"[ 74.6875 326.375  338.125  592.5    366.1875 343.5    151.5625 337.5
 425.9375 582.     187.125  472.9375 362.     419.4375 288.625  356.5625
 414.3125 536.0625 452.875  293.9375  98.5625 499.9375 432.125  256.875
 364.3125 361.875  497.     427.1875 247.0625 367.9375 409.375  499.5
 328.0625 373.3125 499.8125 375.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.42237269 0.6291818 ],129,128,1,0.6765274405479431,-3368738093455022160,0,1743749575.0934048,"[ 98.25   335.9375 350.75   675.4375 389.3125 337.1875 140.6875 344.3125
 446.25   572.375  180.875  456.5    369.875  417.625  296.5625 359.
 408.75   546.8125 448.0625 306.5     97.125  497.3125 431.5625 255.875
 331.375  338.6875 489.3125 422.9375 236.8125 390.5625 388.25   366.9375
 325.8125 389.3125 551.375  383.1875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.42584491 0.57226056],130,129,3,0.6291818022727966,-3368738093455022160,0,1743749584.5357404,"[ 88.75   335.0625 350.9375 664.     381.25   321.375  140.3125 342.
 422.6875 566.3125 177.4375 454.625  373.     327.5625 293.9375 361.875
 396.875  532.375  452.75   284.9375 101.75   475.9375 526.6875 150.75
 336.     342.625  412.125  417.9375 261.5625 385.6875 382.1875 370.5
 415.1875 387.625  557.     374.625 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.42935185 0.65061098],131,130,1,0.5722605586051941,-3368738093455022160,0,1743749596.9165528,"[ 73.0625 329.     337.0625 579.3125 364.6875 316.75   145.875  343.6875
 434.25   656.8125 189.     471.0625 358.6875 421.0625 293.3125 363.125
 414.375  537.125  442.9375 280.25    98.3125 509.0625 418.75   246.
 364.0625 366.4375 452.8125 428.625  238.75   373.125  413.125  506.
 333.9375 372.8125 536.625  381.4375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.43283565 0.62083393],132,131,1,0.6506109833717346,-3368738093455022160,0,1743749609.666094,"[ 77.1875 325.4375 338.8125 593.9375 394.3125 325.875  146.9375 345.625
 426.3125 657.4375 189.9375 467.25   349.8125 334.3125 294.5625 360.3125
 415.     546.625  445.375  287.5625  98.375  491.3125 420.375  232.5625
 359.8125 362.8125 489.5    420.5    244.5    366.     414.1875 505.0625
 339.4375 372.75   520.     368.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.43628472 0.52416188],133,132,3,0.6208339333534241,-3368738093455022160,0,1743749620.3721395,"[138.125  355.75   358.6875 591.4375 355.9375 259.125  138.5625 363.8125
 443.75   642.25   173.5    441.5    379.1875 425.9375 283.75   354.3125
 393.375  530.0625 446.     305.0625  85.9375 507.375  483.3125 136.75
 319.0625 361.875    6.0625 425.75   258.875  403.0625 370.625  355.9375
 745.25   376.8125 522.25   377.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.43974537 0.37926859],134,133,3,0.5241618752479553,-3368738093455022160,0,1743749631.9803278,"[109.8125 322.5    310.75   553.625  343.125  297.6875 148.6875 329.8125
 448.1875 606.25   198.875  447.625  350.75   402.375  283.875  357.4375
 395.0625 538.     416.5625 264.375   99.6875 482.5    488.125  201.5
 316.6875 295.9375 478.0625 331.     234.125  405.875  352.5    346.5
 267.1875 351.75   474.5    353.5   ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.44324074 0.6899153 ],135,134,1,0.3792685866355896,-3368738093455022160,0,1743749643.3885067,"[ 77.5625 334.0625 343.25   592.5    373.5625 346.4375 149.375  347.5625
 436.1875 614.4375 190.5625 475.1875 357.8125 430.25   282.875  358.1875
 405.3125 547.6875 449.4375 283.25    98.4375 495.3125 512.1875 139.25
 368.1875 368.0625 409.875  428.3125 246.     380.125  416.4375 508.3125
 385.875  379.     507.5    377.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.44668981 0.55123782],136,135,3,0.6899152994155884,-3368738093455022160,0,1743749652.9066997,"[106.8125 337.3125 350.5625 595.5    376.8125 321.125  142.8125 345.3125
 363.25   614.625  182.8125 447.9375 334.5    420.375  291.5    362.8125
 395.5    543.25   461.9375 293.5     85.75   494.3125 514.3125 136.5
 323.25   339.5625 478.3125 421.     239.5625 389.5625 388.375  368.25
 294.6875 388.25   522.25   384.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.45017361 0.5149588 ],137,136,3,0.5512378215789795,-3368738093455022160,0,1743749663.8840659,"[169.875  368.5625 355.25   589.     340.9375 254.375  154.8125 351.25
 445.8125 618.5625 172.75   437.0625 375.0625 427.8125 281.9375 351.0625
 393.9375 551.25   442.75   303.375  112.375  507.5    491.625  165.3125
 311.3125 338.1875 494.0625 405.3125 250.75   396.9375 380.75   348.375
 236.     369.875  518.4375 378.1875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.45364583 0.54291338],138,137,3,0.5149587988853455,-3368738093455022160,0,1743749674.868541,"[138.25   362.5625 351.8125 586.6875 369.5    261.375  134.5625 349.375
 464.9375 637.5    186.9375 442.75   375.125  431.8125 282.8125 352.875
 393.6875 533.3125 447.125  291.4375  98.625  501.1875 492.1875 143.0625
 332.375  308.625  510.625  419.0625 251.75   396.5625 383.75   352.375
 219.6875 370.5625 525.4375 381.125 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.45712963 0.69787896],139,138,1,0.5429133772850037,-3368738093455022160,0,1743749687.1544669,"[ 75.1875 328.     336.125  583.6875 365.5    358.4375 146.5625 342.375
 436.5    646.4375 190.5    472.5625 356.5625 420.6875 293.     355.9375
 411.     539.375  452.     282.625   90.5625 500.1875 414.5    251.3125
 366.875  357.9375 508.875  429.9375 247.3125 377.625  412.625  512.6875
 365.6875 374.6875 543.75   379.9375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.46060185 0.72091562],140,139,1,0.6978789567947388,-3368738093455022160,0,1743749699.7882245,"[ 74.75   332.125  346.9375 606.25   361.25   372.875  151.4375 347.75
 447.8125 665.75   191.4375 478.3125 395.     417.125  298.75   370.5625
 414.5625 544.5    449.8125 281.3125 109.875  499.1875 417.6875 253.8125
 355.4375 309.25   510.6875 429.5625 252.5    379.0625 413.75   510.3125
 377.3125 379.5625 549.5    379.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.46408565 0.68968713],141,140,1,0.7209156155586243,-3368738093455022160,0,1743749712.9072516,"[ 71.625  329.125  337.9375 596.1875 358.5625 323.6875 149.8125 339.875
 441.3125 658.5625 189.5    466.0625 369.3125 415.5    290.875  366.75
 402.875  545.     446.8125 285.625   92.4375 504.8125 423.125  238.9375
 363.     357.5625 494.125  432.3125 253.9375 374.3125 410.0625 507.4375
 412.125  374.5625 539.75   377.75  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.46755787 0.71439356],142,141,1,0.6896871328353882,-3368738093455022160,0,1743749725.5943933,"[ 80.25   331.5    341.5    598.1875 362.5625 331.1875 153.75   347.875
 448.5625 666.8125 190.5625 474.6875 364.1875 416.1875 302.     369.375
 407.875  549.75   451.0625 290.375  100.875  498.5625 428.3125 239.1875
 358.875  368.3125 497.125  427.4375 248.5    379.5    413.625  504.625
 413.6875 377.     539.25   379.6875]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.47103009 0.71136618],143,142,1,0.7143935561180115,-3368738093455022160,0,1743749738.358042,"[ 78.25   328.0625 337.125  598.5625 401.4375 320.5    146.5    339.6875
 464.3125 673.4375 194.375  470.0625 360.1875 412.3125 298.8125 362.75
 396.875  543.875  444.6875 290.3125  97.875  506.     424.875  243.5625
 361.0625 363.5    506.9375 428.375  255.3125 378.1875 413.5    499.125
 406.6875 378.5625 532.5625 377.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.47450231 0.63181633],144,143,1,0.7113661766052246,-3368738093455022160,0,1743749751.463936,"[ 76.875  329.25   335.4375 591.875  360.375  321.8125 147.6875 341.125
 289.75   686.75   189.875  468.5    366.875  409.25   290.4375 366.3125
 404.25   552.5625 449.5625 282.3125  96.875  500.875  513.6875 139.125
 366.     360.6875 415.375  429.25   247.875  381.375  422.     509.
 437.5625 379.4375 533.625  380.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.47797454 0.6669578 ],145,144,1,0.6318163275718689,-3368738093455022160,0,1743749764.126255,"[ 76.25   329.1875 343.5    592.125  393.3125 322.5    147.4375 341.5625
 463.6875 689.375  188.5    506.75   370.875  316.0625 297.5625 368.8125
 402.25   536.25   446.     293.5625 106.3125 502.1875 496.125  141.3125
 358.8125 366.5625 490.8125 434.0625 250.25   386.3125 417.3125 500.5625
 308.8125 378.125  530.1875 376.5   ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.48142361 0.47340527],146,145,1,0.6669577956199646,-3368738093455022160,0,1743749774.8657467,"[151.25   364.9375 348.5    599.625  363.4375 240.625  151.5625 357.375
 477.5    695.75   184.25   419.6875 350.375  342.375  282.4375 358.875
 385.75   543.3125 442.625  286.5    125.1875 502.25   491.25   139.375
 255.8125 309.125  495.625  422.8125 275.5    398.8125 373.75   350.375
 274.6875 381.3125 523.5625 376.3125]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.48491898 0.61461133],147,146,1,0.47340527176856995,-3368738093455022160,0,1743749787.7951128,"[ 71.625  323.625  331.375  594.     384.5    304.0625 143.8125 341.5625
 436.     681.0625 190.     469.0625 348.6875 330.1875 288.4375 365.3125
 409.5    545.6875 444.875  275.6875  99.     507.625  501.625  135.375
 353.6875 309.     491.625  428.875  253.625  384.875  426.6875 502.375
 342.125  378.4375 522.9375 379.0625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.48835648 0.41914451],148,147,3,0.6146113276481628,-3368738093455022160,0,1743749797.7772696,"[ 86.6875 339.125  345.625  600.8125 355.3125 292.5625 146.9375 338.3125
 436.5    671.1875 185.5    455.625  326.6875 323.75   279.625  366.9375
 401.375  539.9375 449.75   260.125   79.5    477.875  494.     136.375
 260.9375 271.1875 391.9375 408.5    238.8125 376.875  387.9375 365.9375
 379.3125 375.1875 530.3125 376.875 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.4918287  0.46599469],149,148,3,0.41914451122283936,-3368738093455022160,0,1743749807.696279,"[105.4375 332.75   341.9375 589.5    362.75   288.375  146.4375 337.4375
 438.5    649.125  184.125  470.625  328.     323.5    281.     360.125
 399.375  538.0625 442.6875 277.4375  78.625  488.3125 515.625  135.1875
 264.375  333.875  511.5625 418.0625 241.25   391.6875 385.5    367.1875
 234.875  375.25   543.625  388.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.4953125  0.46748543],150,149,0,0.4659946858882904,-3368738093455022160,0,1743749818.389433,"[172.0625 362.125  352.3125 606.     354.     264.6875 138.5    350.25
 463.5625 667.0625 178.875  461.25   332.875  342.625  287.4375 355.375
 405.75   558.6875 456.125  298.0625  99.125  512.4375 487.25   153.
 257.875  348.625  502.125  332.5    277.6875 402.125  367.875  353.25
 229.25   381.25   494.9375 384.75  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.49877315 0.31695488],151,150,3,0.4674854278564453,-3368738093455022160,0,1743749830.1685092,"[ 92.375  338.9375 309.0625 552.375  338.5    260.625  136.875  339.125
 456.4375 648.4375 186.9375 450.0625 306.3125 398.875  276.9375 342.6875
 401.1875 534.25   418.5    252.875   84.875  491.5625 525.3125 181.0625
 240.75   298.25   438.875  332.125  219.5625 417.9375 353.875  342.25
 272.4375 360.5    467.375  362.25  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.50228009 0.75030065],152,151,1,0.3169548809528351,-3368738093455022160,0,1743749842.6632996,"[ 77.6875 328.     335.3125 586.875  389.6875 358.4375 158.0625 344.
 445.0625 650.25   194.5    479.     347.25   425.5    299.5    367.3125
 416.1875 557.4375 452.75   286.75   107.125  507.9375 523.375  143.6875
 353.75   361.9375 506.75   439.     253.375  380.3125 425.125  511.9375
 375.9375 385.25   546.625  392.5625]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.50575231 0.72998965],153,152,1,0.7503006458282471,-3368738093455022160,0,1743749856.0577602,"[ 76.9375 328.6875 342.     594.25   392.625  360.0625 158.0625 343.5625
 442.9375 648.     194.1875 479.75   355.125  428.5    296.     361.875
 422.125  554.6875 458.     286.1875 103.75   500.375  419.6875 244.8125
 362.5    371.9375 505.125  437.5    258.0625 380.125  412.375  508.5
 369.4375 381.0625 548.0625 383.75  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.50918981 0.57866746],154,153,1,0.7299896478652954,-3368738093455022160,0,1743749865.7152605,"[127.0625 356.5    342.875  583.875  373.4375 316.5    155.625  344.0625
 436.875  648.5    184.875  479.0625 331.375  409.4375 287.5625 362.9375
 396.375  535.125  465.3125 277.9375  89.5    488.25   522.875  160.5
 330.625  335.9375 412.     344.     247.     390.75   394.875  374.125
 414.     391.5    550.25   384.9375]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.51269676 0.68208516],155,154,1,0.5786674618721008,-3368738093455022160,0,1743749878.9019186,"[ 77.4375 325.5625 338.125  589.5625 368.0625 322.     152.1875 342.875
 446.4375 661.125  193.8125 474.4375 351.75   422.3125 295.6875 364.
 415.5    557.5    456.25   287.8125  93.6875 489.9375 524.625  147.625
 356.8125 377.75   497.9375 436.5    242.5625 375.1875 419.125  514.625
 302.625  375.3125 531.375  380.    ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.51614583 0.49932149],156,155,3,0.6820851564407349,-3368738093455022160,0,1743749889.45293,"[157.1875 357.625  348.875  582.25   374.375  284.9375 146.875  360.
 466.5    649.375  181.8125 422.75   338.25   329.25   287.4375 346.625
 382.1875 540.4375 475.     283.375  103.75   504.1875 486.25   149.9375
 254.     316.125  421.5625 428.5    274.875  405.75   380.25   353.875
 342.875  378.6875 530.     387.375 ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
[0.51962963 0.64564663],157,156,1,0.49932149052619934,-3368738093455022160,0,1743749901.6563914,"[ 77.75   329.25   336.625  593.625  362.375  322.5625 149.5    343.1875
 464.8125 662.3125 195.9375 479.4375 354.8125 335.5    292.75   362.4375
 407.     553.25   456.5    291.375   93.75   504.25   500.1875 145.875
 356.8125 367.75   492.25   434.375  250.3125 385.     412.0625 502.5625
 299.125  378.6875 528.75   374.75  ]",32,2,4,data/online/E5/P1/ESARSA/z2,RichTileCoder,0.1,1,0.01,0,0.9,0.1,*,1,P2,tc-ESARSA,,
