time,steps,action,reward,seed,config_id,area,frame,state,experiment.update_freq,lambda,alpha,representation.tiles,representation.wrap_time,environment.zone,representation.tilings,epsilon,experiment.step_duration,representation.which_tc,environment,algorithm
1743751533.615872,12,3,-0.06463771313428879,0,-7091294343972981023,"[ 87.125  253.8125 319.9375 468.     226.125  272.625  147.75   332.8125
 267.6875 703.4375 196.75   468.5    326.1875 329.25   288.75   395.
 433.8125 561.0625 441.     219.375   83.4375 497.5625 504.8125 167.5
 327.1875 285.     395.375  334.1875 247.5625 409.9375 366.8125 326.8125
 293.125  327.5625 468.75   401.9375]",11,[ 0.3092956  -1.87149477],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743751836.694527,13,1,-1.8714947700500488,0,-7091294343972981023,"[ 81.625  237.3125 345.1875 503.1875 386.0625 289.625  157.8125 349.6875
 383.4375 769.5    224.125  411.625  379.8125 354.6875 299.4375 407.875
 469.25   559.8125 453.5625 235.8125 101.625  457.6875 553.0625 133.8125
 353.4375 290.1875 439.375  338.     272.1875 396.125  411.     394.75
 332.125  343.4375 547.9375 420.75  ]",12,[0.31276782 0.1268909 ],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743752133.5691793,14,1,0.1268908977508545,0,-7091294343972981023,"[143.625  270.875  364.6875 577.0625 365.875  248.5625 146.875  359.1875
 403.75   667.6875 203.9375 359.875  400.25   352.25   303.3125 382.125
 420.625  573.125  450.6875 237.8125  68.625  500.4375 503.4375 158.3125
 305.875  273.625  441.     334.625  329.9375 423.75   366.625  333.6875
 211.8125 355.     499.4375 413.6875]",13,[ 0.31624004 -0.41653594],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743752434.4880385,15,1,-0.4165359437465668,0,-7091294343972981023,"[155.75   275.9375 348.375  589.9375 371.4375 252.75   147.25   365.3125
 396.4375 691.25   190.1875 352.375  382.     373.5625 303.125  381.75
 438.625  565.8125 457.75   252.6875  94.1875 512.4375 500.75   188.25
 245.0625 304.375  457.6875 338.0625 298.9375 436.375  386.8125 342.25
 211.1875 361.5    534.875  414.5625]",14,[ 0.31971226 -0.26577425],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743752734.3690112,16,3,-0.2657742500305176,0,-7091294343972981023,"[169.5    257.875  354.8125 499.75   373.     268.5    147.5625 365.625
 393.5625 684.9375 196.3125 354.25   390.875  343.6875 303.1875 382.3125
 410.9375 565.5    462.5625 242.5625  94.9375 502.6875 508.375  183.9375
 326.375  311.     457.125  424.8125 268.1875 429.625  387.0625 341.6875
 209.25   357.6875 498.75   415.    ]",15,[ 0.32318449 -0.06680556],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743753036.0977228,17,1,-0.06680556386709213,0,-7091294343972981023,"[ 83.3125 240.4375 335.1875 501.1875 396.6875 300.1875 160.375  351.75
 391.75   547.3125 210.8125 415.1875 380.625  349.625  306.5625 410.125
 417.4375 583.9375 464.8125 299.375   95.75   458.5625 413.0625 299.25
 374.375  304.125  444.4375 425.9375 269.4375 383.25   410.3125 498.5625
 237.875  380.625  521.4375 415.5   ]",16,[0.32665671 0.59567457],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743753334.0466993,18,3,0.5956745743751526,0,-7091294343972981023,"[162.     268.25   356.     581.3125 367.     256.3125 151.375  371.875
 399.5    691.625  202.375  357.     394.1875 350.375  309.3125 377.625
 411.8125 566.0625 471.5625 309.0625  91.375  505.875  492.9375 198.4375
 324.625  301.75   442.125  427.25   293.25   415.375  367.3125 346.4375
 210.125  365.6875 493.875  405.6875]",17,[0.33012893 0.11098322],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743753636.0350692,19,1,0.1109832152724266,0,-7091294343972981023,"[ 80.8125 245.4375 344.5    506.875  407.3125 314.5625 163.6875 360.75
 391.75   651.8125 217.3125 480.875  382.1875 348.5625 301.375  413.375
 416.9375 582.8125 456.0625 303.8125  99.125  471.375  415.625  294.6875
 288.4375 358.5625 443.6875 432.     274.8125 386.875  411.5625 499.625
 231.125  377.5625 509.3125 424.375 ]",18,[0.33360115 0.75943208],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743753933.7034307,20,0,0.7594320774078369,0,-7091294343972981023,"[169.625  266.9375 366.875  567.75   387.25   234.6875 167.375  371.1875
 482.8125 669.125  202.4375 360.8125 384.875  434.5625 290.25   367.625
 426.     561.5    463.6875 245.      84.25   507.     474.5625 173.375
 321.875  289.5    451.25   424.6875 287.3125 440.75   386.6875 354.6875
 207.3125 382.125  494.875  407.0625]",19,[0.33707338 0.33931118],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743754233.156686,21,1,0.3393111824989319,0,-7091294343972981023,"[112.8125 257.4375 313.0625 532.5625 370.1875 251.75   143.     338.75
 367.625  653.5    203.1875 450.9375 372.5625 415.     281.     389.5625
 436.6875 570.3125 438.6875 209.8125  82.6875 485.5625 414.6875 327.5625
 244.875  280.375  446.5625 409.4375 248.9375 407.0625 362.125  363.375
 215.0625 348.3125 477.125  380.75  ]",20,[ 0.3405456  -0.23088969],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743754533.7559717,22,3,-0.230889692902565,0,-7091294343972981023,"[174.625  275.5    356.625  505.75   369.0625 258.5625 168.9375 371.4375
 406.6875 663.5625 197.125  364.625  394.     435.8125 298.5625 386.0625
 434.375  581.125  456.     235.3125  91.6875 502.8125 513.125  183.4375
 321.1875 308.625  448.25   345.4375 265.5625 437.375  372.625  338.5
 215.25   354.4375 513.75   420.5   ]",21,[0.34401782 0.18130152],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743754836.328488,23,1,0.1813015192747116,0,-7091294343972981023,"[ 86.6875 240.4375 343.875  503.1875 405.375  325.1875 163.8125 359.3125
 392.9375 717.625  221.9375 479.75   395.5625 432.625  308.875  407.
 421.6875 573.4375 450.5    299.1875  98.875  460.8125 410.25   302.375
 356.625  355.8125 441.0625 348.375  269.1875 404.5    419.75   490.8125
 224.25   395.25   502.5    416.3125]",22,[0.34749004 0.84647214],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743755133.5180683,24,3,0.8464721441268921,0,-7091294343972981023,"[169.5    389.375  359.9375 504.9375 357.875  255.6875 176.9375 365.25
 396.5    647.4375 203.     349.5    396.25   364.875  288.75   366.4375
 409.125  575.6875 460.9375 239.9375  88.5625 484.8125 502.875  171.25
 320.5625 286.25   444.8125 266.75   285.6875 418.6875 384.9375 350.4375
 212.1875 384.5    551.8125 417.25  ]",23,[0.35096226 0.06122355],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743755436.489232,25,1,0.06122354790568352,0,-7091294343972981023,"[ 84.0625 240.25   340.375  508.375  402.1875 316.625  168.1875 359.375
 396.4375 551.3125 220.4375 490.9375 381.5625 344.75   305.6875 412.8125
 428.5625 594.75   454.9375 234.625   87.9375 463.9375 409.875  309.875
 348.4375 356.8125 449.     351.1875 280.9375 385.1875 414.125  493.5
 234.75   398.5625 513.     432.6875]",24,[0.35443449 0.68277264],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
1743755734.260955,26,3,0.6827726364135742,0,-7091294343972981023,"[158.25   273.5625 354.875  503.0625 243.     256.0625 164.875  368.4375
 400.75   644.75   191.9375 410.75   394.75   357.125  302.8125 373.875
 402.5    560.5    496.5625 248.625   88.375  503.8125 461.3125 193.3125
 321.875  293.125  447.75   345.875  266.625  419.0625 382.25   341.6875
 208.3125 374.0625 532.9375 425.6875]",25,[ 0.35790671 -0.01999809],1,0.9,0.1,4,1,2,32,0.1,300,RichTileCoder,P4,tc-ESARSA
