action,reward,area,config_id,time,seed,state,frame,steps,actions,experiment.step_duration,experiment.update_freq,environment.zone,environment,algorithm,filepath,compatibility_mode
[0.    0.324 0.324 0.    1.    0.606],0.035793790118186695,"[189.625  198.125  236.625  184.6875 151.5625 189.5    293.4375 147.375
 169.75   211.375  149.3125  35.75   364.6875 295.3125 101.75    84.9375
 260.625   27.3125 129.3125 134.     342.8125 255.375  126.8125  62.8125
 188.375  101.5    162.625  163.0625 159.125  109.875   92.875  132.8125
 132.875  276.9375 471.625  437.4375]",-7841620881086865490,1744670522.280077,0,[1.74467048e+09],410,411,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.05201769789507816,"[159.1875 148.25   167.625  152.6875 143.5625 189.625  300.     139.625
 144.125  161.9375 142.625   33.4375 366.8125 330.8125 105.375  245.125
 130.5625  61.625  120.9375 122.     313.4375 230.375  123.6875  60.0625
 198.0625  95.125  151.5625 148.5625 151.6875 105.      92.375  155.625
 134.75   312.8125 344.75   448.1875]",-7841620881086865490,1744671120.4802463,0,[1.74467108e+09],411,412,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.006503158677071721,"[132.125  163.3125 189.75   137.     144.25   214.5625 263.     163.
 165.125  196.375  142.875   29.875  396.25   315.      99.3125  91.375
 294.875   38.5625 116.4375 127.5625 319.0625 251.0625 135.1875  60.75
 220.375  130.4375 188.     151.875  149.375  114.75    98.25   124.9375
 141.875  224.5    244.375  449.375 ]",-7841620881086865490,1744671724.1281993,0,[1.74467168e+09],412,413,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.04457037177814255,"[141.8125 162.8125 199.125  145.375  157.8125 222.3125 241.875  148.0625
 200.5625 197.6875 144.6875  40.25   397.625  331.8125 111.0625  85.125
 265.5     46.3125 132.3125 145.3125 331.75   261.625  118.1875  61.25
 224.25   149.9375 156.9375 144.125  165.625   96.875  103.125  134.4375
 128.8125 313.25   326.4375 443.1875]",-7841620881086865490,1744672319.9841814,0,[1.74467228e+09],413,414,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.031589743265358766,"[176.     149.0625 173.375  159.4375 151.4375 200.125  307.375  151.4375
 159.875  168.4375 147.3125  34.875  385.25   275.125   80.9375 208.125
 111.625   50.875  142.625  146.0625 333.875  289.75   125.8125  65.5
 214.75    95.6875 162.0625 164.1875 170.     104.375  112.625  162.375
 148.625  208.625  346.3125 445.375 ]",-7841620881086865490,1744672918.6142192,0,[1.74467288e+09],414,415,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.051542437484050595,"[168.5    142.875  176.3125 161.125  153.8125 175.3125 251.8125 143.9375
 159.9375 180.     152.0625  34.1875 380.625  305.3125 107.375  107.8125
 262.625   53.375  115.375  125.5625 337.5625 246.625  115.1875  59.3125
 162.0625  95.3125 161.5    149.375  159.25    94.6875  89.6875 131.5
 123.875  268.5    253.5    438.4375]",-7841620881086865490,1744673519.9814494,0,[1.74467348e+09],415,416,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.09476042055018771,"[168.     183.75   217.75   150.125  155.0625 233.     318.375  171.125
 168.1875 198.5625 152.625   34.8125 394.25   316.875  106.25   105.25
 267.9375  60.25   135.125  137.5625 336.6875 260.25   139.125   57.9375
 234.5    114.4375 163.     149.375  153.5     87.25   101.3125 139.5
 147.1875 280.3125 248.3125 442.375 ]",-7841620881086865490,1744674121.6165926,0,[1.74467408e+09],416,417,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.06620982477797258,"[192.3125 167.75   208.9375 150.8125 150.4375 196.3125 269.     164.3125
 169.9375 215.75   148.4375  35.375  403.4375 254.9375 111.75   224.625
 143.75    35.5625 116.5    119.625  310.1875 199.9375 116.1875  60.1875
 152.      85.6875 148.8125 147.625  289.1875  95.1875  84.875  135.5
 104.6875 197.6875 326.1875 442.625 ]",-7841620881086865490,1744674721.4664876,0,[1.74467468e+09],417,418,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.01322099698319207,"[169.875  166.625  206.75   120.0625 140.1875 209.125  237.3125 165.1875
 173.4375 206.4375 153.125   39.3125 380.5625 270.5    103.875  241.375
 108.6875  54.     117.5625 126.4375 334.5    214.375  122.1875  58.5
 148.5625 100.5    147.     153.625  156.375   92.      91.625  132.4375
 130.75   301.875  464.3125 441.3125]",-7841620881086865490,1744675322.1112382,0,[1.74467528e+09],418,419,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.07113761041486072,"[156.25   166.8125 196.625  142.9375 154.3125 209.8125 270.9375 150.3125
 159.75   177.     158.875   38.4375 361.     315.4375  99.3125  91.5
 246.9375  37.5625 128.     135.9375 331.1875 265.4375 143.5     62.25
 238.5    104.5    204.75   173.375  168.4375  94.375   96.8125 166.
 150.4375 281.375  484.5    440.3125]",-7841620881086865490,1744675923.661289,0,[1.74467588e+09],419,420,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.014363259489065083,"[198.4375 168.625  208.4375 152.3125 183.8125 197.125  245.25   168.9375
 168.375  193.     142.125   32.1875 374.75   281.9375 102.875  223.5625
 119.5     42.     127.8125 134.5625 337.5    269.0625 132.3125  60.6875
 221.8125  87.375  155.3125 163.625  165.3125 106.9375  96.9375 155.6875
 140.8125 329.375  261.5625 444.25  ]",-7841620881086865490,1744676519.1454182,0,[1.74467648e+09],420,421,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.017184694700761834,"[197.8125 133.9375 235.25   196.375  160.875  227.3125 230.875  154.25
 172.125  212.6875 151.5     35.9375 375.5    275.5    125.0625  91.375
 273.125   56.1875 126.4375 126.4375 330.125  254.5625 117.75    59.625
 199.125  102.875  142.375  151.6875 159.25    92.1875 101.25   138.8125
 113.75   260.6875 244.4375 441.75  ]",-7841620881086865490,1744677118.6993654,0,[1.74467708e+09],421,422,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.029514358001143062,"[196.5    191.8125 217.0625 215.5    159.125  217.     321.8125 173.5625
 182.3125 221.     155.625   29.1875 392.1875 297.9375 103.375  101.125
 267.3125  46.25   115.6875 129.625  312.1875 221.5    133.25    59.9375
 106.875  102.6875 152.     149.625  152.1875 105.625   97.125  135.75
 122.0625 308.375  416.625  442.25  ]",-7841620881086865490,1744677724.1562192,0,[1.74467768e+09],422,423,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],2.530612967577709e-05,"[176.     166.     194.1875 163.0625 153.6875 211.75   296.875  165.
 176.25   211.3125 138.5625  34.3125 390.3125 345.8125 106.875  230.125
 131.625   38.8125 128.75   136.8125 333.625  255.9375 120.9375  58.625
 204.4375  85.9375 177.75   160.3125 150.1875  98.0625  92.875  130.125
 131.375  304.3125 472.5625 442.375 ]",-7841620881086865490,1744678321.1839435,0,[1.74467828e+09],423,424,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.08836413503121895,"[208.25   161.3125 186.25   148.3125 142.9375 186.75   249.375  173.875
 176.125  188.1875 158.5     29.     359.75   233.1875  91.1875 210.9375
 122.      33.75   115.6875 124.3125 296.1875 196.8125 130.6875  62.875
 134.875   78.4375 158.     140.0625 158.      97.3125  91.875  170.
 123.1875 250.1875 417.3125 437.4375]",-7841620881086865490,1744678922.6520717,0,[1.74467888e+09],424,425,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.05668919688272216,"[160.6875 163.25   218.25   177.0625 154.5    204.1875 182.875  177.25
 180.25   206.125  155.25    23.4375 375.875  256.0625  80.875  232.375
 140.5     51.5    144.3125 136.1875 335.75   259.25   144.125   60.375
 200.4375  93.625  158.875  165.4375 151.8125 106.1875  96.875  124.6875
 143.5625 258.375  365.375  441.1875]",-7841620881086865490,1744679519.974187,0,[1.74467948e+09],425,426,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.06481673317663751,"[148.1875 149.25   194.5    150.9375 158.125  212.5    283.25   172.3125
 173.6875 198.375  147.4375  40.6875 368.     284.375  108.875   79.25
 220.875   41.     115.6875 123.5625 310.3125 216.     114.75    57.375
 146.8125  89.1875 151.625  144.25   151.9375  91.5     83.6875 119.3125
 119.75   220.75   329.375  442.9375]",-7841620881086865490,1744680123.8653538,0,[1.74468008e+09],426,427,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.06689888313687978,"[143.9375 206.5    181.375  151.5    147.9375 210.5625 188.75   151.1875
 166.4375 227.375  145.1875  33.875  363.375  270.8125 107.375  100.875
 251.6875  46.9375 134.5    131.375  345.25   284.5    114.625   63.875
 200.      89.1875 166.625  163.625  157.875   78.625   91.5625 124.5
 158.9375 333.5625 452.5    438.3125]",-7841620881086865490,1744680721.0186143,0,[1.74468068e+09],427,428,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.0172373997190515,"[159.1875 161.0625 208.8125 150.875  184.125  193.75   283.125  171.875
 185.     194.9375 151.625   33.5625 370.5    269.8125  96.8125  94.8125
 260.5     38.875  134.625  133.6875 341.9375 253.9375 129.      59.8125
 207.75    88.9375 156.5625 160.9375 158.375   89.9375 100.75   139.5625
 127.25   327.1875 472.     444.625 ]",-7841620881086865490,1744681322.8181584,0,[1.74468128e+09],428,429,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.021776223655682055,"[160.125  157.125  225.5    155.125  154.875  200.375  233.6875 162.75
 157.4375 213.75   155.      38.875  383.8125 269.25   101.0625 251.3125
 138.875   30.5625 125.4375 124.875  347.5625 249.75   112.5625  57.1875
 194.125  107.4375 155.3125 140.     151.5625  98.625   89.     138.125
 126.9375 319.625  467.875  436.5   ]",-7841620881086865490,1744681920.5224006,0,[1.74468188e+09],429,430,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.003523007001205357,"[176.     134.1875 168.6875 192.1875 151.8125 198.75   269.4375 178.9375
 164.0625 174.8125 140.3125  28.5625 379.1875 338.3125 105.25   225.6875
 130.9375  58.875  130.125  125.5    340.625  256.75   122.375   60.125
 133.25   105.375  162.5    152.4375 153.375   98.8125  96.375  137.
 143.25   293.6875 457.9375 437.25  ]",-7841620881086865490,1744682518.3828247,0,[1.74468248e+09],430,431,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.01097555465958782,"[165.3125 160.5    207.6875 152.0625 149.8125 184.4375 300.3125 168.375
 161.125  200.5    144.9375  29.4375 364.3125 266.1875  96.6875  97.8125
 242.      53.0625 115.0625 127.4375 325.1875 214.375  130.3125  60.875
 136.1875 108.6875 155.1875 168.0625 156.6875  92.3125  90.875  147.125
 137.4375 337.9375 350.3125 445.9375]",-7841620881086865490,1744683122.1669242,0,[1.74468308e+09],431,432,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.022415088293542322,"[152.3125 153.8125 178.1875 116.0625 182.125  198.8125 217.4375 146.9375
 151.125  184.9375 142.1875  32.375  326.125  267.375  103.625   84.875
 258.75    42.25   127.8125 138.0625 331.3125 262.4375 124.625   57.
 194.3125 176.6875 209.1875 162.1875 162.625   96.125   95.     150.875
 138.875  359.625  340.625  440.4375]",-7841620881086865490,1744683722.645422,0,[1.74468368e+09],432,433,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.02197431774030209,"[163.5625 165.4375 190.0625 156.1875 134.75   211.75   320.0625 158.3125
 167.625  201.8125 136.875   32.9375 367.9375 376.375  130.8125 200.9375
 127.9375  37.5625 123.4375 145.1875 341.4375 255.25   129.1875  58.1875
 198.875  106.625  158.375  164.6875 161.0625 102.875  100.25   134.6875
 134.5625 303.3125 482.6875 444.25  ]",-7841620881086865490,1744684318.748034,0,[1.74468428e+09],433,434,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.05134294735181229,"[147.375  186.4375 248.     234.125  163.0625 197.6875 291.4375 200.75
 181.875  233.875  173.      38.625  399.625  276.6875 107.1875 248.125
 121.875   32.6875 129.0625 136.5    341.     260.8125 118.3125  59.125
 210.8125  91.375  218.     162.125  168.9375  98.5     99.5    151.875
 112.9375 306.375  345.6875 436.1875]",-7841620881086865490,1744684918.5580142,0,[1.74468488e+09],434,435,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.13332647797286992,"[135.5    145.375  153.     123.375  156.875  210.5625 217.8125 135.4375
 159.375  166.     147.4375  38.125  357.9375 316.875  111.9375 231.9375
 132.75    47.75   121.8125 127.3125 334.5625 230.375  129.75    58.625
 177.8125 110.6875 156.625  155.0625 162.25    89.25    92.3125 141.375
 133.875  253.625  465.875  437.125 ]",-7841620881086865490,1744685517.6076632,0,[1.74468548e+09],435,436,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.007022474962694814,"[106.3125 143.3125 165.4375 114.75   181.125  216.6875 189.125  149.6875
 154.1875 177.25   144.9375  30.1875 355.25   254.125   94.375  231.0625
 129.      33.1875 120.8125 134.25   338.625  248.8125 124.0625  60.125
 188.25   133.5625 150.75   153.625  157.4375  89.125   95.25   113.875
 149.25   284.0625 327.625  436.5   ]",-7841620881086865490,1744686119.4980385,0,[1.74468608e+09],436,437,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.00904380562090728,"[105.375  186.6875 159.1875 110.4375 144.25   201.4375 202.625  142.625
 154.125  160.875  140.375   31.1875 362.4375 235.      99.6875 239.3125
 120.9375  36.0625 137.875  128.875  335.25   251.3125 122.875   57.9375
 203.1875  85.6875 167.     150.75   154.3125  91.75   106.5    141.8125
 151.4375 281.625  254.1875 439.5625]",-7841620881086865490,1744686715.1409516,0,[1.74468668e+09],437,438,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.037849303232427176,"[134.375  138.1875 182.3125 139.0625 169.1875 199.625  181.8125 145.4375
 139.875  155.375  140.5     38.25   319.75   355.0625  83.125   85.
 274.      32.125  116.0625 131.5    330.0625 285.4375 129.125   54.75
 221.0625 115.0625 148.5625 178.4375 166.4375  91.1875 102.9375 152.
 136.8125 324.5    257.9375 438.    ]",-7841620881086865490,1744687320.8755121,0,[1.74468728e+09],438,439,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.05431140127935273,"[118.75   154.75   160.8125 121.     150.1875 218.625  236.5625 155.4375
 152.375  178.75   144.1875  32.25   334.125  227.3125 100.5625  90.9375
 274.625   34.625  113.375  124.125  317.6875 190.375  113.625   59.75
 140.25   117.9375 167.9375 158.4375 171.6875  92.0625  83.8125 123.3125
 140.875  253.     329.9375 438.    ]",-7841620881086865490,1744687920.1134326,0,[1.74468788e+09],439,440,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.09519937616586138,"[150.6875 150.25   181.8125 123.875  180.1875 234.3125 225.375  163.875
 157.6875 175.3125 156.8125  30.625  355.625  269.      92.5    241.6875
 119.8125  32.     133.     131.875  327.875  250.75   123.1875  57.5625
 207.4375 117.3125 207.5    148.5625 274.75    90.      91.4375 119.1875
 143.     274.125  260.3125 439.625 ]",-7841620881086865490,1744688516.9014432,0,[1.74468848e+09],440,441,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.05678557249835946,"[107.9375 141.8125 165.3125 121.8125 150.9375 213.3125 205.5625 136.8125
 156.9375 179.     172.0625  38.1875 349.3125 341.     110.75    84.
 281.375   55.5    123.3125 133.     342.9375 250.5    126.375   57.875
 176.6875 100.9375 158.5    155.125  156.1875  93.8125  86.5625 140.75
 129.4375 282.     307.3125 443.    ]",-7841620881086865490,1744689118.9190922,0,[1.74468908e+09],441,442,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.030389430236077087,"[140.     139.     137.3125 122.25   154.25   198.6875 173.6875 119.4375
 178.6875 175.4375 176.625   35.     356.375  235.9375  92.625  102.75
 273.875   46.1875 115.9375 125.8125 329.5    236.625  114.9375  58.375
 109.75    93.5625 160.6875 150.25   152.5     88.75   102.     160.5
 154.875  345.5    467.     441.4375]",-7841620881086865490,1744689715.2125168,0,[1.74468968e+09],442,443,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.0551285388559339,"[147.875  148.5625 144.375  138.0625 146.6875 205.9375 273.3125 142.75
 177.8125 164.375  148.0625  33.     372.4375 288.375   96.75   233.25
 117.375   40.     114.5625 131.4375 321.75   254.     123.75    58.125
 204.75   106.5    155.75   163.75   144.5     98.875   90.75   159.5
 140.125  307.4375 330.1875 438.0625]",-7841620881086865490,1744690317.3279445,0,[1.74469028e+09],443,444,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.022820816683523718,"[106.5625 142.9375 158.5625 122.8125 147.8125 218.0625 250.5625 145.6875
 142.5625 188.5625 178.8125  38.5    325.5    342.3125  98.25   216.8125
 120.3125  50.6875 128.5625 132.875  282.9375 243.625  126.1875  58.4375
 186.5     97.625  157.625  147.25   150.875   88.9375  89.25   129.3125
 136.5    332.0625 485.375  442.375 ]",-7841620881086865490,1744690918.474734,0,[1.74469088e+09],444,445,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.0018979873344301473,"[160.8125 159.875  196.4375 107.625  147.     197.875  206.9375 138.0625
 152.     174.25   144.25    32.3125 329.25   263.375   95.375   94.3125
 261.3125  51.6875 130.625  131.     362.5    260.6875 130.1875  59.375
 193.125  100.125  168.625  159.875  165.5     96.375   86.375  134.9375
 114.75   296.3125 333.875  436.9375]",-7841620881086865490,1744691517.4402215,0,[1.74469148e+09],445,446,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.04724330443822618,"[138.375  163.8125 155.3125 152.8125 156.375  198.3125 273.25   151.5
 153.4375 177.875  155.5     33.9375 385.     290.5625 100.1875  86.25
 297.375   61.3125 131.375  125.875  356.5625 269.75   116.5     59.5
 209.625  117.1875 158.75   155.5    159.375   91.0625  93.3125 149.875
 130.25   330.1875 347.6875 435.0625]",-7841620881086865490,1744692119.9696133,0,[1.74469208e+09],446,447,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.03265078977792889,"[155.375  161.4375 185.25   154.375  177.8125 227.4375 253.75   146.0625
 145.4375 168.125  155.875   38.875  312.125  275.0625  94.75   226.125
 134.125   27.     115.875  127.625  289.6875 247.1875 115.5625  58.625
 178.1875 101.4375 148.9375 149.0625 157.4375  93.0625  89.125  126.625
 137.3125 312.5    417.125  435.0625]",-7841620881086865490,1744692718.6519475,0,[1.74469268e+09],447,448,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.023091030727042612,"[185.5    140.9375 164.6875 141.3125 146.125  212.5625 201.125  147.5
 156.3125 177.4375 144.75    32.75   393.625  222.5     88.3125 237.5625
 139.      62.75   124.375  127.25   272.75   247.125  112.      59.
 173.5     79.875  159.0625 153.0625 168.0625 109.375   88.8125 153.375
 148.5    292.4375 447.5    443.375 ]",-7841620881086865490,1744693317.3052406,0,[1.74469328e+09],448,449,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.025892956618325507,"[142.8125 135.875  150.625  110.75   147.4375 219.8125 179.0625 139.5
 157.4375 150.25   147.375   39.125  333.8125 240.5     82.1875 101.625
 249.875   54.5    121.     119.125  302.1875 249.75   119.75    61.25
 195.25    95.8125 166.625  141.5    158.375  104.1875  95.625  149.75
 134.875  307.     327.125  440.    ]",-7841620881086865490,1744693920.9536245,0,[1.74469388e+09],449,450,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.006473543595791749,"[153.4375 138.5    151.     139.4375 140.375  207.625  195.75   129.4375
 127.0625 175.25   140.1875  31.0625 336.6875 255.     103.125  214.3125
 121.4375  40.     124.3125 123.875  339.0625 248.4375 116.0625  55.9375
 183.0625  94.8125 165.5    150.625  148.9375  93.125   86.9375 148.1875
 129.9375 341.8125 419.625  438.    ]",-7841620881086865490,1744694515.468385,0,[1.74469448e+09],450,451,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.047626246547372804,"[144.3125 122.4375 176.5    156.125  146.875  221.25   232.25   178.9375
 163.8125 179.75   146.6875  34.4375 358.375  347.     115.8125 224.75
 120.1875  42.0625 130.25   127.     310.4375 243.0625 111.1875  59.
 174.0625  91.0625 163.25   157.1875 168.      93.8125  88.375  150.3125
 121.125  302.4375 319.0625 440.0625]",-7841620881086865490,1744695118.4845996,0,[1.74469508e+09],451,452,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],-0.05001230978523431,"[143.6875 137.875  146.5    111.125  148.5    195.3125 237.25   142.8125
 166.3125 179.1875 145.125   32.1875 341.1875 265.25   103.75   217.3125
 126.375   41.4375 132.75   128.4375 356.25   250.25   135.0625  59.625
 128.0625 101.9375 160.375  152.25   154.1875  88.875   89.625  148.8125
 126.75   270.     450.5    448.5   ]",-7841620881086865490,1744695719.6521385,0,[1.74469568e+09],452,453,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.    0.324 0.324 0.    1.    0.606],0.027650306012809267,"[169.5    158.     188.625  145.75   154.6875 218.     219.3125 143.3125
 164.875  178.1875 145.75    34.     381.1875 242.3125  97.0625 103.125
 269.8125  51.5625 125.0625 124.625  259.75   213.8125 114.5     56.375
 167.3125  96.125  179.0625 156.     149.5     87.8125  94.6875 142.5
 148.25   306.9375 332.75   435.0625]",-7841620881086865490,1744696317.94662,0,[1.74469628e+09],453,454,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],-0.04376178761190214,"[174.75   134.25   173.5    142.75   146.8125 221.625  283.5    146.75
 142.9375 184.375  163.6875  34.5    373.0625 232.9375  91.5    225.4375
 137.5     54.875  111.8125 121.625  308.     197.25   125.75    56.625
 159.5625  89.6875 152.375  144.4375 148.75    93.0625  89.9375 123.
 122.375  181.5625 287.     438.0625]",-7841620881086865490,1744696921.4134338,0,[1.74469688e+09],454,455,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],0.5217675925009735,"[357.625  325.3125 413.875  202.      74.6875   8.3125 489.875  354.5625
 306.625  285.875   87.875    7.25   549.0625 586.375  583.9375 200.0625
 125.0625  21.25   272.4375 375.5625 209.8125 188.0625 102.4375  18.75
 235.25   527.375  233.8125 174.6875 295.5     41.25   240.0625 360.875
 470.8125 340.6875 341.3125 355.4375]",-7841620881086865490,1744697513.8255594,0,[1.74469748e+09],455,456,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],-0.057680107252751085,"[399.     345.5625 414.5625 226.6875  73.875    3.9375 523.9375 254.3125
 395.625  244.5     82.1875   6.75   613.1875 556.375  451.5625 180.6875
 100.375   15.3125 381.625  276.125  221.5625 139.6875 102.125   12.625
 280.375  552.9375 196.3125 154.8125 195.3125  37.125  159.5    293.4375
 395.4375 392.125  293.75   354.875 ]",-7841620881086865490,1744698114.413792,0,[1.74469808e+09],456,457,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],0.012565851334363302,"[351.4375 348.375  376.4375 251.875   74.9375   8.5    413.1875 387.4375
 372.8125 250.25    81.8125   7.75   485.6875 631.125  494.3125 254.5625
 102.1875  22.     274.125  347.0625 183.3125 122.375  100.6875  17.9375
 247.5625 558.875  225.25   160.375  297.9375  56.875  187.5625 313.1875
 431.5    315.8125 249.4375 353.8125]",-7841620881086865490,1744698715.0284622,0,[1.74469868e+09],457,458,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],-0.02188166076939903,"[436.5625 322.25   406.875  197.5625  74.375    4.3125 468.9375 308.5625
 345.6875 249.4375 106.5      7.8125 357.8125 665.4375 484.5625 159.875
 132.375   16.625  332.25   241.6875 202.25   168.875   93.75    18.5
 232.5    667.75   220.1875 151.8125 198.25    69.25   179.0625 349.75
 442.5625 327.5    311.0625 359.1875]",-7841620881086865490,1744699315.2262895,0,[1.74469928e+09],458,459,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],-0.018650499155639218,"[357.9375 321.5    365.625  213.9375  74.75     7.6875 470.5    251.875
 322.5625 270.875  102.6875   8.4375 464.1875 451.875  539.875  183.
 112.9375  12.9375 365.125  322.375  175.375  134.4375  96.6875  12.5625
 341.6875 652.125  184.4375 135.25   219.5625  17.375  208.5    315.75
 343.5625 339.     267.6875 352.5   ]",-7841620881086865490,1744699913.0938776,0,[1.74469988e+09],459,460,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
[0.      0.2187  0.2187  0.      0.675   0.40905],0.04452297660330589,"[400.875  376.375  442.6875 206.9375  74.4375   8.6875 507.375  263.75
 353.125  286.      89.3125   8.625  447.6875 539.9375 612.0625 147.
 100.5     15.125  432.375  317.625  231.1875 158.5625  94.25    13.5625
 266.9375 212.     579.5625 145.9375 216.875   22.875  194.1875 313.25
 426.75   291.5625 294.6875 353.    ]",-7841620881086865490,1744700513.2173994,0,[1.74470048e+09],460,461,,600,1,1,P5,Poisson1,experiments/online/E6/P5/poisson1.xlsx,0
