steps,reward,config_id,time,state,area,action,seed,frame,environment.zone,experiment.update_freq,compatibility_mode,filepath,experiment.step_duration,environment,algorithm
11,-0.032852512260065955,-7474599382848119081,1744228574.4783764,[1.74422855e+09],"[ 78.75    87.4375  91.5625 104.25    73.625  151.5    145.0625 143.25
  84.25    73.125   86.     127.625   80.      74.5625  70.0625  51.6875
  77.1875  78.      56.25    98.      56.75    98.4375  62.625   92.75
 121.875   82.25   181.9375 125.875   92.875  150.25   109.4375 129.9375
  87.1875 121.4375  59.9375  87.875 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,10,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
12,0.03237147991379259,-7474599382848119081,1744228636.6424203,[1.74422861e+09],"[ 88.9375  77.5     94.1875 108.4375  67.5625 195.625  154.6875 137.5625
  77.4375  92.8125 106.75   139.125   71.4375  74.625   75.125   58.0625
  75.9375  78.0625  62.375   93.3125 183.125   92.0625  89.      91.875
 114.5625  88.9375 167.3125 118.25   100.625   96.5    108.5625 138.4375
  93.625  120.1875  63.0625  83.25  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,11,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
13,-0.03538152236981607,-7474599382848119081,1744228699.2901766,[1.74422867e+09],"[ 76.6875  95.3125  81.6875 107.1875  57.25   200.75   381.875  132.5625
  81.375   89.125   88.25   129.8125  73.9375  75.0625  70.375   52.875
  74.4375  70.1875  53.375   90.375   56.8125  99.375   86.5625  88.25
 115.8125  89.3125 153.9375 113.375   94.25   165.375  110.3125 129.1875
  82.3125 128.3125  73.75    85.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,12,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
14,0.03469397096817977,-7474599382848119081,1744228763.327609,[1.74422874e+09],"[ 78.3125  68.75    91.0625 110.5625  60.125  181.0625 339.4375 148.6875
  65.125   96.3125  89.25   181.75    86.125   78.75    73.6875  55.25
  89.8125  75.375   55.6875  92.5     57.5625 110.875   77.      91.375
 122.625   83.1875 172.875  116.875   91.0625 154.125  118.625  143.0625
 100.125  122.625   64.5     84.875 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,13,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
15,0.035081415153362494,-7474599382848119081,1744228826.8684447,[1.7442288e+09],"[  76.625    91.5      89.5625   99.9375   61.1875  206.8125  141.625
  145.       67.3125   94.625    91.875   138.625    78.125    81.9375
   82.3125   57.5    2001.3125   82.5      55.4375  100.125    53.5
   94.6875   66.3125   95.8125  120.75     93.9375  166.625   120.8125
  121.3125  170.9375  113.25    153.25    101.3125  124.4375   62.75
   92.25  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,14,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
16,-0.07424592874797771,-7474599382848119081,1744228889.2384598,[1.74422886e+09],"[ 61.4375  84.8125  89.375  103.9375  67.875  174.1875 373.1875 141.75
  69.1875  93.875   95.5    128.875   69.3125  79.5     76.3125  53.8125
  82.125   70.4375  55.375  105.0625  56.4375  99.875   86.75    98.4375
 118.5     84.5625 159.5625 113.6875  97.6875 121.     109.125  128.0625
  85.9375 109.125   68.3125  83.25  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,15,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
17,0.030462881406167364,-7474599382848119081,1744228952.3933249,[1.74422892e+09],"[ 82.625   92.5     96.8125 111.875   76.875  190.25   351.9375 145.0625
  78.9375  82.625   97.0625 198.9375  69.875   70.25    78.6875  57.1875
  92.5625  73.8125  55.9375 100.6875  57.5    102.875   69.6875 109.5
 126.      79.     158.9375 110.5     99.3125  98.5    110.125  149.875
  86.8125 124.1875  58.1875  84.9375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,16,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
18,0.013807963103797035,-7474599382848119081,1744229016.084183,[1.74422899e+09],"[  77.5625   82.1875   92.0625  103.4375   65.3125  186.      309.625
  153.5625   70.375    89.1875   90.3125  137.0625   86.6875   66.9375
   78.4375   57.625  1932.0625   70.25     61.9375  107.25     56.875
   99.875    58.375   105.1875  122.125    98.      168.4375  121.0625
  106.625    88.625   109.6875  137.25    104.      123.375    62.125
   90.5625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,17,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
19,-0.0014156531876800321,-7474599382848119081,1744229079.849962,[1.74422905e+09],"[ 74.375   64.9375  85.5    106.6875  79.9375 186.3125 367.5    153.
  69.5     91.6875  96.125  129.9375  76.375   80.625   78.5625  56.
  78.      72.375   60.5625  97.6875  78.125   93.9375  90.375  103.875
 121.625   87.3125 164.4375 110.1875 101.6875 172.8125 121.     155.875
  98.5625 115.375   62.1875  86.9375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,18,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
20,0.006422947075126294,-7474599382848119081,1744229142.710109,[1.74422912e+09],"[  81.4375   83.8125  101.1875  108.9375   63.3125  173.5     401.375
  148.625    96.25     87.9375   86.625   145.625    92.0625   79.9375
   79.0625   52.875  1995.       67.8125   60.5      79.5      59.5
  100.875    67.5625   98.625   124.875    76.875   169.9375  123.6875
   97.1875  100.5     114.875   134.6875   97.9375  119.5      63.9375
   92.9375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,19,6,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet6
