steps,reward,config_id,time,state,area,action,seed,frame,environment.zone,experiment.update_freq,compatibility_mode,filepath,experiment.step_duration,environment,algorithm
33,-0.059672760579547554,3108156734688364896,1744229635.5735347,[1.74422961e+09],"[278.5    171.6875  95.3125 190.5625  90.125  110.3125 154.1875 144.8125
 122.9375 141.5625 110.375  200.1875 247.25   154.375  129.125  128.4375
 240.375  223.0625 151.3125 120.125  161.6875 199.6875 147.375  138.3125
 168.4375  75.0625 227.25   160.3125 117.25    83.25   169.25   128.3125
  92.3125 117.3125 240.375  160.8125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,32,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
34,0.010735815028559123,3108156734688364896,1744229696.3776014,[1.74422967e+09],"[279.5    169.25   129.     215.75   100.5    122.0625 143.5625 150.125
 125.125  111.9375 131.125  195.875  258.25   168.4375 191.625  171.8125
 238.125   99.875  134.125  118.875  148.5    457.9375 183.75   140.5625
 204.875  101.875  212.8125 109.6875  90.125   87.25   173.9375 119.25
 123.     117.9375 216.     159.3125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,33,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
35,0.06282012859305325,3108156734688364896,1744229756.1382587,[1.74422973e+09],"[304.9375 182.8125 201.     198.3125 211.75    92.75   130.125  156.9375
 158.625   95.75   126.6875 210.8125 265.625  171.8125 165.75   159.625
 108.     405.5625 136.125  165.25   154.6875 175.125  386.875  150.375
 224.625   88.1875 219.25   117.75   118.5     99.75   157.0625 130.3125
 126.5625 124.4375 232.0625 154.0625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,34,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
36,-0.05606031799673259,3108156734688364896,1744229816.2046094,[1.74422979e+09],"[296.5    166.125  110.375  225.375   77.8125 144.0625 127.375  171.25
 134.5625 112.4375 202.75   208.3125 180.     134.4375 142.875  168.75
 247.5625  84.3125 135.875  130.6875 175.0625 200.1875 170.6875 132.1875
 163.4375  84.9375 280.375  148.9375  95.9375 109.125  170.5625 122.8125
 135.4375 133.375  224.25   163.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,35,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
37,0.03389735247401548,3108156734688364896,1744229875.5348577,[1.74422985e+09],"[293.1875 164.5    156.625  216.5     75.4375 125.5    122.625  149.875
 110.75   134.3125 128.75   201.8125 285.125  147.3125 179.9375 136.0625
 233.75   311.375  200.9375 146.6875 175.3125 221.5    162.1875 218.8125
 199.875   80.6875 174.0625 133.3125  87.5625  78.3125 132.75   123.75
 123.3125 112.125  231.25   137.8125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,36,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
38,-0.016329881753702768,3108156734688364896,1744229935.9630563,[1.74422991e+09],"[312.5    159.8125 158.9375 227.1875 102.     107.375  127.125  162.875
 112.5    137.625  111.25   211.125  235.625  182.625  140.9375 155.6875
 189.5625 277.75   122.3125 129.125  161.5    288.1875 175.5625 157.3125
 207.125  102.     229.125  135.      99.8125 109.0625 155.9375 138.4375
 126.0625 125.8125 216.9375 129.3125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,37,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
39,0.05032601677691804,3108156734688364896,1744229996.9716527,[1.74422997e+09],"[277.875  173.3125 131.5625 218.75   133.5    131.8125 131.     166.9375
 148.1875 178.5    178.0625 227.25   225.5625 151.625  131.625  155.1875
 271.1875 283.     157.5625 157.625  184.625  200.5    153.125  150.375
 208.3125  67.     198.375  161.4375 114.1875 123.8125 172.625  146.625
 116.75    98.0625 205.75   146.4375]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,38,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
40,-0.018667880725526723,3108156734688364896,1744230056.4654646,[1.74423003e+09],"[311.625  162.5    172.875  227.     135.625  154.     146.4375 172.125
 141.     132.5625 161.0625 216.375  178.4375 140.1875 133.3125 149.75
 137.4375 258.625  188.6875 119.5625 189.5625 248.625  219.9375 173.3125
 189.375   89.375  196.9375 122.0625  83.875  122.375  138.625  173.0625
 117.5    102.6875 261.125  143.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,39,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
41,-0.07638019920916962,3108156734688364896,1744230115.8092911,[1.74423009e+09],"[284.125  158.3125 114.125  222.      90.8125 132.125  130.25   153.125
 134.875  122.     158.625  210.0625 167.4375 146.5625 147.5    154.4375
 101.875  123.     130.875  136.25   167.75   219.25   224.4375 109.25
 215.625  107.     189.8125 131.25   113.0625 123.875  175.5    168.5
 103.4375 117.4375 238.0625 152.625 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,40,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
42,0.047338766041179856,3108156734688364896,1744230175.9886825,[1.74423015e+09],"[283.875  168.5625 118.6875 225.      89.25   123.75   133.     140.5
 126.3125 136.4375 146.4375 217.125  340.75   155.75   153.875  147.625
 169.5625 278.     145.8125 122.0625 184.75   250.1875 185.625  133.3125
 182.75    95.25   214.6875 113.6875 121.8125 118.5    190.5    125.8125
 106.9375 115.5625 257.75   153.3125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,41,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
43,0.03392571799735306,3108156734688364896,1744230236.840399,[1.74423021e+09],"[305.0625 189.5625 146.25   220.625  164.9375 114.5    150.9375 158.25
 162.0625 109.8125 135.4375 202.1875 283.75   153.75   118.5    137.125
 222.6875 260.125  253.4375  93.6875 179.3125 247.5625 183.25   132.3125
 191.75    92.     231.5    136.375  106.8125 109.8125 186.8125 130.5625
 119.875  119.9375 216.5625 150.    ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,42,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
44,-0.06479673161960485,3108156734688364896,1744230295.9290333,[1.74423027e+09],"[286.5    158.1875 109.9375 217.625  100.125  118.375  125.9375 167.1875
 195.875  105.625  120.4375 212.25   234.625  141.875  138.5    140.875
  88.625  394.3125 135.5625 138.     181.8125 170.375  190.4375 116.0625
 179.625   73.6875 248.     124.9375 138.      98.5625 178.5625 148.0625
 103.75   121.75   232.375  161.25  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,43,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
45,0.04712805843202505,3108156734688364896,1744230356.2975314,[1.74423033e+09],"[300.4375 167.9375 110.5625 215.875   72.25   111.75   167.75   151.1875
 138.4375 133.8125 141.     201.125  166.     172.875  154.5    169.6875
 238.     246.     178.1875 130.3125 163.5    249.875  228.5    158.1875
 199.8125  82.125  195.375  156.1875  76.5     93.8125 137.     145.9375
 107.0625 106.1875 209.9375 160.8125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,44,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
46,-0.05856528194513655,3108156734688364896,1744230416.9634433,[1.74423039e+09],"[295.125  164.6875  99.125  196.125   92.     101.3125 111.375  164.375
 137.75    93.6875 181.0625 196.875  264.5    181.6875 152.1875 156.5625
 177.625  298.8125 165.625  119.0625 185.3125 179.1875 133.3125 137.5625
 182.875  107.25   196.625  120.625  101.3125 112.6875 160.     136.6875
 163.3125 119.8125 190.875  138.625 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,45,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
47,-0.011141487082471991,3108156734688364896,1744230475.8868244,[1.74423045e+09],"[293.4375 175.25   154.25   214.5625  83.125  102.5625 130.5625 182.5
 117.375  134.0625 115.4375 230.25   196.3125 161.8125 145.125  159.375
  85.3125 124.625  143.9375 147.8125 180.     212.375  172.5625 134.
 197.625   92.125  196.125  150.9375  97.3125 114.125  137.6875 130.9375
  94.5    115.75   249.6875 147.375 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,46,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
48,0.0497304846031732,3108156734688364896,1744230536.3134706,[1.74423051e+09],"[317.8125 169.125  172.125  220.6875  80.1875  98.625  157.625  163.1875
 142.1875 140.625  107.125  186.0625 219.8125 174.875  131.875  152.4375
 185.3125  92.25   166.125  147.3125 176.3125 293.     193.5625 138.5625
 215.5    113.4375 242.0625 151.75   131.4375  94.     155.9375 133.375
 120.4375 119.5    199.5625 125.6875]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,47,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
49,-0.055653102187070876,3108156734688364896,1744230596.193872,[1.74423057e+09],"[281.5    177.25   113.3125 213.875   86.8125 114.75   133.625  145.5
 147.8125 146.875  112.5    180.4375 342.375  163.875  135.     162.3125
 166.125  120.8125 148.1875 112.9375 161.25   205.8125 556.1875 129.8125
 190.0625 109.125  177.0625 136.1875 117.875  123.125  153.875  136.9375
  96.625  125.875  173.6875 152.75  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,48,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
50,-0.006916249625213678,3108156734688364896,1744230655.9537935,[1.74423063e+09],"[305.125  196.0625 112.375  196.5625  79.1875 110.     142.6875 162.125
  96.4375 126.1875 132.3125 199.3125 269.6875 130.125  137.875  142.6875
 119.25   403.3125 128.3125  92.4375 182.1875 238.3125 194.75    99.9375
 178.625   76.75   217.8125 125.     122.      98.375  134.75   151.75
 122.75   122.4375 195.75   142.5   ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,49,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
51,0.06168125388833344,3108156734688364896,1744230715.4104755,[1.74423069e+09],"[330.9375 199.0625  90.4375 187.     175.5    157.4375 140.875  147.625
 124.6875 125.25   138.3125 218.625  217.75   152.125  154.9375 314.0625
 157.375  109.125  198.125  108.9375 140.9375 184.125  566.3125 135.875
 181.6875 102.4375 190.9375 139.1875  97.9375 118.0625 146.375  135.25
 119.75   147.875  246.6875 143.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,50,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
52,0.0010394779190759772,3108156734688364896,1744230775.3767252,[1.74423075e+09],"[296.1875 162.125   81.875  179.25    90.4375 114.5625 141.6875 162.625
 121.9375 115.1875  99.75   239.3125 258.8125 146.4375 108.5625 164.
  66.875  307.875  195.1875 123.8125 208.125  299.625  189.8125 167.5
 178.1875  96.     277.125  129.4375 114.125  105.8125 139.875  196.75
 115.0625 113.875  230.5625 169.1875]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,51,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
53,0.02958498183305581,3108156734688364896,1744230835.4864028,[1.74423081e+09],"[313.3125 175.125  168.0625 201.8125  83.875  122.6875 123.75   150.125
 130.8125  99.125  132.25   241.0625 284.5625 172.5625 143.5625 162.875
 253.25   132.8125 148.875  135.4375 185.3125 533.25   390.125  139.
 182.25    89.75   216.25   131.8125  79.125  104.6875 200.0625 182.6875
 127.6875  92.25   223.375  136.125 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,52,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
54,-0.01953261168853229,3108156734688364896,1744230896.2134142,[1.74423087e+09],"[286.25   210.0625 118.9375 215.25   128.5625 129.8125 152.6875 152.375
 117.875  106.5    195.625  194.125  232.8125 136.375  126.1875 157.0625
 263.9375 239.25   143.1875 111.6875 153.8125 191.9375 201.625  138.4375
 173.0625  86.875  217.1875 154.3125 107.0625 120.375  144.125  135.25
 127.5625 133.3125 232.125  134.6875]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,53,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
55,-0.06930227960236407,3108156734688364896,1744230956.1819491,[1.74423093e+09],"[272.0625 180.375   88.625  202.0625  83.5625 136.875  139.9375 147.625
 135.0625 120.0625 134.3125 233.75   244.375  153.6875 152.25   162.0625
 116.125  124.875  158.9375 143.6875 160.25   183.8125 197.8125 105.5625
 199.125   84.5625 234.75   143.5    102.625  116.     139.9375 142.1875
 112.0625 124.4375 203.5625  95.875 ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,54,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
56,0.024860344194114942,3108156734688364896,1744231017.071992,[1.74423099e+09],"[306.4375 190.9375 130.0625 207.625  106.6875 116.9375 135.0625 156.875
  96.8125 124.75   119.9375 204.     229.9375 154.6875 145.375  147.625
 235.375  128.9375 138.25   139.0625 166.25   229.3125 166.1875 120.1875
 163.25    94.3125 296.1875 119.625  126.0625 115.625  140.375  141.8125
 126.5    124.8125 232.5625 148.5625]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,55,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
57,0.024084826483709146,3108156734688364896,1744231075.958216,[1.74423105e+09],"[304.6875 174.5    112.6875 212.375  109.5625 123.     133.75   152.5
 132.625  126.1875 157.875  212.375  204.4375 149.3125 159.125  178.8125
 224.9375 106.625  147.25   130.875  178.625  179.625  169.1875 144.5
 182.375   73.4375 230.125  150.25   117.9375 114.6875 166.125  131.8125
 139.75   115.3125 263.375  161.25  ]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,56,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
58,-0.022083783374431676,3108156734688364896,1744231136.3178155,[1.74423111e+09],"[285.375  156.25    94.5625 213.375   79.625  116.0625 135.375  163.5625
 124.6875  89.6875 227.875  216.25   173.5625 152.5625 160.625  171.8125
  84.9375 221.125  132.125  116.375  165.5    203.8125 150.25   119.625
 186.125   64.0625 210.3125 123.125  108.125  124.375  174.1875 181.375
 119.125  116.0625 236.5    142.3125]",[0.26865 0.51435 0.2187  0.      0.2241  0.40905],0,57,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
59,0.07055582278149058,3108156734688364896,1744231195.4822595,[1.74423117e+09],"[296.9375 147.5625 141.875  224.1875 115.375  119.     151.5625 138.875
 125.4375 106.625  122.25   219.     247.25   155.25   154.5    161.125
 270.0625 271.625  149.5    121.375  160.0625 269.25   342.75   201.4375
 188.875   84.3125 211.0625 141.      86.75   112.875  124.375  129.125
 115.75   125.0625 260.125  142.1875]",[0.19802252 0.37912853 0.16120426 0.         0.16518461 0.30151167],0,58,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
60,-0.0045445582106566984,3108156734688364896,1744231257.2549324,[1.74423123e+09],"[317.125  169.25   104.375  217.4375  81.375  106.8125 136.3125 141.375
 147.625  132.0625 132.9375 202.125  251.4375 181.5    217.9375 205.8125
 265.5625 103.6875 171.375  146.125  189.875  297.25   635.4375 132.5
 176.625  112.9375 243.     165.875  105.5    129.375  141.875  132.5625
 113.1875 102.625  196.     142.3125]",[0.14257832 0.27297658 0.11606878 0.         0.11893468 0.21709161],0,59,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
61,-0.12031606604573823,3108156734688364896,1744231320.2830696,[1.74423129e+09],"[184.5625  72.5625 147.4375 156.5625 112.0625 166.8125 120.25   171.0625
 115.25   113.1875 160.1875 241.875  163.3125 105.875  113.4375 114.625
 132.5625 204.875  126.1875 176.875  119.625  161.625  164.1875 144.5625
 126.1875  72.5625 172.125  143.125  141.9375 179.25   155.     107.625
 159.375  149.8125 128.1875 170.75  ]",[0.14469881 0.27703642 0.11779501 0.         0.12070353 0.2203203 ],0,60,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
62,0.12159030947489076,3108156734688364896,1744231383.686088,[1.74423136e+09],"[216.5625 197.3125 164.6875 173.     121.9375 154.1875 162.9375 158.3125
 150.1875 106.0625 146.0625 192.5625 172.8125 147.0625 113.875  114.625
 105.1875 161.     174.25   145.3125 181.3125 184.4375 170.8125 176.125
 183.0625  97.125  141.5    164.5625 161.75   204.75   183.4375 165.6875
 175.125  147.0625 173.75   194.5625]",[0.14693933 0.28132605 0.11961895 0.         0.12257251 0.22373174],0,61,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
63,-0.09616404989033876,3108156734688364896,1744231447.7332902,[1.74423142e+09],"[151.9375 130.     131.75   137.125   87.5    175.75   123.6875 212.25
 124.125  111.5625 129.75   203.8125 138.75   155.8125 159.6875 118.9375
 141.4375 189.6875 159.125  169.75   155.6875 142.4375 174.6875 137.375
 184.375  127.3125 169.3125 146.5625 116.5625 153.75   141.3125 142.6875
 150.75   134.9375 179.4375 145.375 ]",[0.14917279 0.28560218 0.12143715 0.         0.1244356  0.22713245],0,62,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
64,0.0380601187438038,3108156734688364896,1744231507.8484178,[1.74423148e+09],"[229.8125 156.4375 134.1875 176.625  129.1875 156.4375 131.3125 144.4375
 135.     110.8125 127.5    203.625  204.625  191.25   140.875  126.375
 149.9375 160.9375 179.5625 175.9375 156.625  131.1875 168.625  127.875
 178.75   175.875  178.5    191.75   148.5    132.375  151.0625 137.8125
 135.125  146.625  140.8125 146.5625]",[0.15137699 0.28982228 0.12323152 0.         0.12627427 0.23048858],0,63,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
65,0.03206372258484699,3108156734688364896,1744231567.7937796,[1.74423154e+09],"[235.     166.5    127.0625 153.3125 117.9375 103.     140.9375 149.875
 159.5625 128.     118.625  224.8125 156.8125 208.4375 201.5    151.125
 132.6875 256.0625 125.8125 143.     165.125  202.1875 169.1875 166.1875
 239.3125 137.3125 155.375  168.875  116.     151.4375 189.5    178.8125
 144.8125 145.1875 193.125   87.375 ]",[0.15348311 0.2938546  0.12494605 0.         0.12803114 0.23369539],0,64,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
66,-0.0002681270266255924,3108156734688364896,1744231625.818753,[1.7442316e+09],"[227.4375 118.75   118.375  150.5    113.75   159.125  107.4375 152.375
 116.0625 164.3125 154.4375 207.125  255.0625 184.6875 160.0625 247.3125
 199.75   135.625  155.875  160.4375 173.6875 233.9375 115.1875 153.
 186.9375  95.875  204.4375 162.8125 134.6875 208.     117.6875 175.8125
 143.75   110.125  170.5625 145.125 ]",[0.15558254 0.2978741  0.12665513 0.         0.12978242 0.236892  ],0,65,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
67,0.0006207299801924745,3108156734688364896,1744231682.393636,[1.74423166e+09],"[249.4375 135.375  110.5    197.4375 102.375   91.3125 143.75   193.625
 170.375  130.6875 114.0625 243.     197.9375 183.6875 122.6875 142.1875
 140.3125 269.0625 198.5625 155.1875 170.875  215.625  174.125  139.1875
 177.375  139.6875 176.5    131.4375 188.875  151.6875 152.5625 150.625
 134.875  110.     207.75   106.1875]",[0.1576184  0.30177192 0.12831247 0.         0.13148068 0.23999184],0,66,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
68,-0.010148440108860698,3108156734688364896,1744231740.153808,[1.74423172e+09],"[234.125  119.5625 114.875  195.1875  87.9375 118.25   145.9375 171.75
 120.375  151.625  160.3125 260.75   201.4375 169.4375 173.6875 164.3125
 208.375  230.75   130.3125 147.625  187.625  243.3125 179.125  111.375
 192.125  127.1875 210.125  156.875  129.6875 126.9375 140.8125 137.125
 124.125  117.4375 179.8125  99.875 ]",[0.15964435 0.30565073 0.12996173 0.         0.13317066 0.24307657],0,67,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
69,0.07386774012839786,3108156734688364896,1744231798.463607,[1.74423177e+09],"[242.4375 142.5625 111.5625 175.875   80.625   91.5625 208.6875 201.75
 132.     124.4375 160.125  227.375  202.8125 205.9375 178.9375 240.25
 179.9375 128.75   165.0625 161.3125 190.875  158.5625 188.5625 140.0625
 175.875  160.9375 213.     209.375  117.0625 130.0625 156.8125 200.1875
 156.375  125.9375 226.1875 148.875 ]",[0.16166275 0.30951511 0.13160485 0.         0.13485435 0.24614981],0,68,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
70,0.05952695461980942,3108156734688364896,1744231856.5418975,[1.74423183e+09],"[336.375  182.625  109.625  209.0625  93.6875 142.75   163.4375 179.125
 174.25   141.3125 173.875  213.3125 271.75   257.4375 191.5    157.
 205.125  115.875  230.5    150.1875 221.8125 253.3125 341.625  119.4375
 204.0625 114.5625 198.5625 163.     129.25   130.125  165.625  165.8125
 148.3125 124.6875 318.75   218.    ]",[0.16378324 0.31357494 0.13333108 0.         0.1366232  0.2493785 ],0,69,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
71,0.0317387020579895,3108156734688364896,1744231918.0715706,[1.74423189e+09],"[285.8125 202.25    82.75   201.5625 148.625  149.8125 142.4375 164.4375
 179.9375 135.     200.3125 216.3125 292.6875 181.125  169.375  192.3125
 319.4375 231.5625 172.75   151.5625 236.0625 246.0625 255.875  180.
 210.9375 109.9375 250.1875 146.375  162.75   184.8125 145.875  183.625
 115.      92.375  193.3125 195.8125]",[0.16590373 0.31763478 0.13505731 0.         0.13839206 0.25260719],0,70,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
72,-0.030779488634210803,3108156734688364896,1744231975.9794123,[1.74423195e+09],"[334.625  185.4375  81.5625 198.375  116.6875 123.375  199.1875 177.
 185.6875 121.5625 140.625  232.9375 274.5    165.6875 178.625  152.625
 269.875  247.4375 224.1875 191.0625 180.125  251.25   195.6875 176.125
 234.125  101.5625 238.75   170.75   141.375  126.1875 166.8125 133.8125
 138.25   137.6875 248.1875 128.1875]",[0.16802422 0.32169461 0.13678354 0.         0.14016091 0.25583587],0,71,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
73,0.023350134810375657,3108156734688364896,1744232036.5391932,[1.74423201e+09],"[322.4375 211.625  105.     185.625   82.125  111.75   165.8125 197.
 237.4375 151.9375 140.25   194.375  185.9375 203.1875 184.5    176.8125
 316.6875 224.9375 122.0625 170.625  252.25   331.     259.5    133.8125
 220.0625 150.625  242.75   175.8125 130.8125 163.     126.875  209.3125
 164.875  114.4375 240.125  174.4375]",[0.17014471 0.32575445 0.13850977 0.         0.14192976 0.25906456],0,72,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
74,-0.050917347585150596,3108156734688364896,1744232096.4693255,[1.74423207e+09],"[302.25   202.5     95.1875 223.875   74.1875 102.5    135.3125 185.9375
 150.3125 123.9375 135.5625 205.3125 280.25   193.875  282.125  209.5
 131.5    161.625  150.9375 188.125  243.875  335.8125 327.8125 161.3125
 163.5625 129.9375 204.0625 174.4375 138.8125 110.125  170.375  163.5
 169.6875  75.8125 187.625  185.9375]",[0.17226521 0.32981429 0.140236   0.         0.14369861 0.26229325],0,73,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
75,-0.017955395627866418,3108156734688364896,1744232156.0407486,[1.74423213e+09],"[337.25   165.875  109.5    180.625   83.625  108.375  129.5    165.25
 138.625  145.8125 173.25   276.125  247.625  180.25   174.0625 173.875
 300.3125 366.625  194.4375 168.     213.875  306.0625 171.3125 143.5625
 217.5625 103.625  201.0625 164.375  107.875  139.4375 166.9375 124.75
 115.25   106.375  233.4375 172.1875]",[0.1743857  0.33387412 0.14196223 0.         0.14546747 0.26552194],0,74,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
76,-0.022900283844988822,3108156734688364896,1744232217.0761383,[1.74423219e+09],"[292.6875 173.1875  93.5625 215.625   84.875  124.4375 154.1875 200.25
 170.8125 128.1875 139.125  211.25   225.75   209.0625 175.875  176.625
 134.4375 290.4375 166.     150.875  207.0625 292.3125 186.5    135.25
 204.625  115.5625 186.1875 165.4375 125.875  165.25   179.125  155.875
  90.25   127.6875 188.375  129.1875]",[0.17650619 0.33793396 0.14368845 0.         0.14723632 0.26875063],0,75,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
77,0.04547321690327367,3108156734688364896,1744232276.9999237,[1.74423225e+09],"[318.8125 180.8125 105.8125 206.125   75.875  106.4375 182.8125 197.75
 232.125  154.375  136.9375 206.8125 264.4375 178.5    177.3125 168.5625
 211.625  248.4375 160.375  146.25   228.1875 254.25   203.8125 144.875
 207.875  122.1875 232.9375 170.9375 146.4375 123.75   176.875  139.625
 113.75   102.4375 177.625  175.1875]",[0.17862668 0.34199379 0.14541468 0.         0.14900517 0.27197932],0,76,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
78,-0.016212781015836602,3108156734688364896,1744232336.9642813,[1.74423231e+09],"[362.625  151.25   104.0625 199.     124.25   107.375  166.5625 174.4375
 183.1875 121.4375 139.3125 188.9375 262.5    194.5625 163.1875 182.6875
 260.5625 292.25   123.625  162.3125 217.8125 271.1875 266.     144.4375
 181.875  121.3125 230.     160.625  127.375  151.125  156.875  161.5
 132.75   116.0625 190.5625 172.8125]",[0.18074717 0.34605363 0.14714091 0.         0.15077402 0.27520801],0,77,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
79,0.01626373815520323,3108156734688364896,1744232396.1169066,[1.74423237e+09],"[321.125  163.5625 118.0625 202.4375  87.1875 128.4375 161.6875 205.375
 157.8125 104.125   93.     286.0625 308.875  172.875  156.0625 171.25
 236.625  325.625  166.125  163.125  194.875  322.0625 207.0625 173.0625
 187.25    99.5625 262.375  161.75   155.1875 140.5    164.625  133.25
 123.4375 137.     226.1875 148.625 ]",[0.18286766 0.35011347 0.14886714 0.         0.15254288 0.27843669],0,78,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
80,-0.046764596848231935,3108156734688364896,1744232456.0834663,[1.74423243e+09],"[329.3125 171.0625  87.3125 205.3125  92.     112.3125 156.3125 187.875
 136.5    137.     143.75   195.3125 250.875  205.8125 181.25   153.75
 169.125  436.5625 180.5    146.375  183.3125 228.25   242.375  163.4375
 174.5    126.8125 207.0625 160.125  154.3125  98.625  158.8125 139.5
 115.6875 126.625  235.8125 136.375 ]",[0.18498816 0.3541733  0.15059337 0.         0.15431173 0.28166538],0,79,2,1,0,experiments/online/E6/P2/plant_reaction_test.xlsx,60,P2,Spreadsheet2
